name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err
2MASS J01071607-1517577,2MASS J01071607-1517577,16.817,-15.2994,2600,1.79,4.0,-2.87,0.02
SDSSp J010752.33+004156.1,2MASS J01075242+0041563,16.968,0.6991,1700,0.6,5.0,-4.57,0.07
SDSS J010840.49+134739.3,2MASS J01084048+1347390,17.1687,13.7942,2400,0.96,4.0,-3.56,0.07
2MASS J01165457-1357342,SIPS J0116-1357,19.2274,-13.9595,2400,1.55,3.5,-3.15,0.02
2MASSI J0117474-340325,2MASS J01174748-3403258,19.4479,-34.0572,1900,1.32,4.0,-3.69,0.03
SDSS J011912.22+240331.6,2MASS J01191207+2403317,19.8005,24.0588,1400,0.72,5.5,-4.74,0.11
HIP 6217C,2MASS J01194467+0006181,19.9361,0.1051,2700,1.4,4.5,-3.0,0.04
SIMP J01205253+1518277,2MASS J01205253+1518277,20.2191,15.3076,2300,1.32,3.5,-3.36,0.22
WISEPA J012333.21+414203.9,WISE J012333.23+414203.8,20.886,41.7006,1000,0.85,4.0,-5.18,0.07
SSSPM J0124-4240,SSSPM J0124-4240,20.9961,-42.6687,2500,1.12,4.5,-3.36,0.02
SERC 296A,2MASS J01245068-3844389,21.2112,-38.7442,2800,3.3,5.0,-2.21,0.02
