name,name_simbadable,ref_discovery,flag,ref_flag,age_category,age_category_justification,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,designation_P1_formula,g_P1,gerr_P1,ref_g_P1,r_P1,rerr_P1,ref_r_P1,i_P1,ierr_P1,ref_i_P1,z_P1,zerr_P1,ref_z_P1,y_P1,yerr_P1,ref_y_P1,designation_2mass,J_2MASS,Jerr_2MASS,ref_J_2MASS,H_2MASS,Herr_2MASS,ref_H_2MASS,Ks_2MASS,Kserr_2MASS,ref_Ks_2MASS,designation_ukidss,J_ukidss,Jerr_ukidss,H_ukidss,Herr_ukidss,K_ukidss,Kerr_ukidss,J_MKO,Jerr_MKO,ref_J_MKO,H_MKO,Herr_MKO,ref_H_MKO,K_MKO,Kerr_MKO,ref_K_MKO,designation_WISE,W1,W1err,ref_W1,W2,W2err,ref_W2,W3,W3err,ref_W3,W4,W4err,ref_W4,ch1,ch1err,ch2,ch2err,ref_Spitzer,plx_formula,plxerr_formula,ref_plx_formula,grav_opt,ref_grav_opt,grav_ir,ref_grav_ir,spt_opt,ref_spt_opt,spt_ir,ref_spt_ir,sptnum_opt_formula,sptnum_ir_formula,sptnum_formula,dist_formula,disterr_formula,dist_formula_source,spex_slit_size,spex_prism_snr,spex_prism_ref,best_fit_atmo_model_name,reduced_chi2_best_fit,teff_atmo,radius_atmo,logg_atmo,log_lbol_lsun,log_lbol_lsun_err,lbol_flag,evo_model_name,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
WISEPA J020625.26+264023.6,2MASS J02062493+2640237,Kirk11,v-red,Kirk11;Liu_16,Field,UCS+BANYAN,31.6048,26.673,PS1,PSO J031.6053+26.6731,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,19.728,0.052,Cham16,18.705,0.031,Cham16,2MASS J02062493+2640237,16.53,0.114,Cutr03,15.096,0.076,Cutr03,14.523,0.076,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.471,0.016,Schn23b,15.059,0.051,Schn23b;UCS_23,14.347,0.009,Schn23b,CWISE J020625.45+264023.3,13.421,0.02,Maro21,12.865,0.017,Maro21,11.167,0.197,Cutr13,8.742,NaN,Cutr13,13.075,0.017,12.867,0.017,Kirk11,52.1,1.4,Liu_16,Null,Null,Null,Null,Null,Null,L8 (red),Liu_16,NaN,18,18,19.2,0.5,dist_plx_formula,0.5,23.0; 58.0; 60.0; 54.0; 68.0; 74.0,Kirk11,BT-Settl,13.6,1700,0.52,5,-4.69,0.03,FALSE,SM08,1187,95,1.07,0.17,26.58,21.45,4.78,0.49
SDSS J020735.60+135556.3,SDSS J020735.60+135556.3,Hawl02,Null,Null,SDSS J020735.60+135556.3,system_age,31.8983,13.9323,Gaia23,PSO J031.8991+13.9316,NaN,NaN,Null,21.924,0.087,Cham16,19.733,0.025,Cham16,18.427,0.021,Cham16,17.459,0.019,Cham16,2MASS J02073557+1355564,15.462,0.049,Cutr03,14.474,0.046,Cutr03,13.808,0.046,Cutr03,ULAS J020735.73+135554.9,15.369,0.005,14.532,0.004,13.829,0.005,15.369,0.005,Lawr12,14.532,0.004,Lawr12,13.829,0.005,Lawr12,CWISE J020735.85+135553.5,13.487,0.013,Maro21,13.298,0.011,Maro21,12.706,NaN,Cutr13,9.305,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,26.7,0.7,Gaia23,Null,Null,FLD-G,Sang23,L3,Hawl02,L3:,Knap04,13,13,13,37.5,1,dist_plx_formula,0.5,21.0; 45.0; 33.0; 33.0; 17.0; 19.0,Fahe10,BT-Settl,6.8,1800,1.22,5.5,-3.84,0.03,FALSE,BHAC15,2022,17,0.97,0.01,79.17,0.53,5.34,0.01
SDSS J020742.48+000056.2,2MASS J02074284+0000564,Geba02,Argus?,Zhan21a,ARG,UCS+BANYAN,31.9285,0.0155,PS1,PSO J031.9290+00.0155,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,21.002,0.055,Cham16,19.366,0.041,Cham16,2MASS J02074284+0000564,16.799,0.156,Cutr03,16.396,NaN,Cutr03,15.412,NaN,Cutr03,ULAS J020742.90+000056.2,16.73,0.013,16.805,0.039,16.721,0.051,16.73,0.013,Lawr12,16.805,0.039,Lawr12,16.721,0.051,Lawr12,CWISE J020743.00+000056.1,16.353,0.033,Maro21,14.988,0.03,Maro21,12.547,NaN,Cutr13,8.898,NaN,Cutr13,15.59,0.06,14.98,0.05,Luhm09b,29,4,Maro10a,Null,Null,Null,Null,Null,Null,T4.5,Burg06b,NaN,24.5,24.5,34,5,dist_plx_formula,0.5,15.0; 27.0; 8.0; 9.0; 4.0; 10.0,Burg06b,ATMO 2020,3.9,1200,0.93,4.5,-4.78,0.12,FALSE,SM08,1016,27,1.31,0.01,7.86,0.75,4.08,0.04
2MASSW J0208183+254253,2MASS J02081833+2542533,Kirk00,Null,Null,FLD-G,Sang23,32.0766,25.7148,Gaia23,PSO J032.0779+25.7146,NaN,NaN,Null,20.843,0.032,Cham16,18.361,0.005,Cham16,16.919,0.003,Cham16,15.95,0.008,Cham16,2MASS J02081833+2542533,13.989,0.026,Cutr03,13.107,0.027,Cutr03,12.588,0.027,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,13.872,0.003,Schn23b,13.18,0.027,Best21,12.53,0.003,Schn23b,CWISE J020818.80+254252.8,12.201,0.013,Maro21,11.969,0.009,Maro21,11.111,NaN,Cutr13,8.698,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,43.1,0.3,Gaia23,Null,Null,FLD-G,Sang23,L1,Kirk00,L1.5,Schn14,11,11.5,11,23.2,0.16,dist_plx_formula,0.5,78.0; 170.0; 150.0; 142.0; 122.0; 124.0,Burg08c,BT-Settl,45.5,1800,1.46,5.5,-3.69,0.02,FALSE,BHAC15,1831,90,1.41,0.14,18.53,12.14,4.38,0.27
2MASSW J0208236+273740,2MASSW J0208236+273740,Kirk00,Null,Null,FLD-G,Sang23,32.0986,27.6277,PS1,PSO J032.0994+27.6273,NaN,NaN,Null,NaN,NaN,Null,20.77,0.03,Cham16,18.986,0.021,Cham16,17.966,0.025,Cham16,2MASS J02082363+2737400,15.714,0.061,Cutr03,14.56,0.051,Cutr03,13.872,0.051,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,15.646,0.009,Schn23b,14.684,0.05,Schn23b;UCS_23,13.924,0.006,Schn23b,CWISE J020823.90+273738.2,13.295,0.014,Maro21,13.016,0.011,Maro21,12.379,0.473,Cutr13,8.534,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,21.3,2.7,Best20,Null,Null,FLD-G,Sang23,L5,Kirk00,L5,Burg10a,15,15,15,47,6,dist_plx_formula,0.5,29.0; 85.0; 82.0; 78.0; 79.0; 81.0,Burg10a,BT-Settl,12.4,1800,1.42,5,-3.71,0.11,FALSE,BHAC15,1796,103,1.43,0.14,17.99,12.21,4.35,0.28
PSO J032.2211+67.4179,Null,Alle16b; Sang23,lowg,Alle16b,INT-G,Alle16b,32.2202,67.4181,Gaia23,PSO J032.2211+67.4179,NaN,NaN,Null,NaN,NaN,Null,19.651,0.014,Cham16,18.344,0.007,Cham16,17.59,0.019,Cham16,2MASS J02085285+6725052,15.961,0.106,Cutr03,15.4,0.13,Cutr03,14.959,0.116,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,15.903,0.106,Best21,15.43,0.13,usyn23,14.989,0.116,usyn23,CWISE J020853.12+672504.5,14.66,0.036,Maro21,14.471,0.033,Maro21,12.431,NaN,Cutr13,8.976,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,6,0.5,Gaia23,Null,Null,INT-G,Alle16b,Null,Null,M6.6 INT-G,Alle16b,NaN,6.6,6.6,167,14,dist_plx_formula,0.5,65.0; 75.0; 56.0; 51.0; 47.0; 49.0,Alle16b; Sang23,BT-Settl,15.7,2500,2,4,-2.85,0.08,FALSE,BHAC15,2748,151,1.66,0.16,64.18,24.31,4.78,0.23
2MASSW J0208549+250048,2MASSW J0208549+250048,Kirk00,Null,Null,Field,UCS+BANYAN,32.2292,25.0135,PS1,PSO J032.2290+25.0136,NaN,NaN,Null,NaN,NaN,Null,21.233,0.023,Cham16,19.293,0.016,Cham16,18.291,0.02,Cham16,2MASS J02085499+2500488,16.206,0.093,Cutr03,14.974,0.069,Cutr03,14.405,0.069,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.032,0.01,Schn23b,15.02,0.05,Schn23b;UCS_23,14.383,0.008,Schn23b,CWISE J020854.97+250049.2,13.662,0.013,Maro21,13.291,0.012,Maro21,11.397,NaN,Cutr13,8.718,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,L5,Kirk00,L5.9,Bard14,15,15.9,15,29,4,dist_W2_formula,0.5,44.0; 105.0; 97.0; 91.0; 87.0; 91.0,Bard14,BT-Settl,24.4,1800,0.72,5,-4.31,0.12,FALSE,SM08,1485,137,1.06,0.19,44.93,24.24,5.02,0.47
WISE J021010.25+400829.6,WISE J021010.25+400829.6,Mace13a,Null,Null,Field,UCS+BANYAN,32.5437,40.1423,PS1,PSO J032.5425+40.1415,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,20.795,0.015,Cham16,19.104,0.016,Cham16,Null,16.77,0.19,Skru06,16.06,0.18,Skru06,15.88,NaN,Skru06,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.487,0.018,Schn23b,16.042,0.053,Schn23b;UCS_23,16.619,0.06,Schn23b,CWISE J021010.09+400829.0,16.263,0.031,Maro21,14.828,0.026,Maro21,12.503,NaN,Cutr13,8.558,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,Null,Null,T4.5,Mace13a,NaN,24.5,24.5,28,4,dist_W2_formula,0.5,28.0; 71.0; 23.0; 29.0; 8.0; 21.0,Mace13a,ATMO 2020,6.5,1200,0.84,4.5,-4.88,0.13,FALSE,SM08,1063,90,1.07,0.17,23.32,19.96,4.72,0.5
PSO J033.2936+20.4493,Null,Sang23,Null,Null,Field,UCS+BANYAN,33.2934,20.4497,PS1,PSO J033.2936+20.4493,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,20.726,0.062,Cham16,19.485,0.043,Cham16,2MASS J02131039+2026586,17.152,0.205,Cutr03,16.351,0.293,Cutr03,16.043,0.293,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,17.157,0.025,Sang23,16.432,0.057,Sang23,15.881,0.057,Sang23,CWISE J021310.47+202657.5,15.152,0.02,Maro21,14.517,0.022,Maro21,12.165,NaN,Cutr13,8.053,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,Null,Null,T0,Sang23,NaN,20,20,40,9,dist_Ks_2MASS_formula,0.8,11.0; 24.0; 20.0; 21.0; 16.0; 21.0,Sang23,BT-Settl,4.7,1400,0.88,5.5,-4.58,0.2,FALSE,SM08,1264,117,1.06,0.17,31.45,23.28,4.86,0.49
2MASS J02132062+3648506C,PSO J033.3327+36.8105,Deac17a,Null,Null,2MASS J02132062+3648506C,system_age,33.3326,36.8104,PS1,PSO J033.3327+36.8105,NaN,NaN,Null,NaN,NaN,Null,22.073,0.138,Cham16,19.216,0.028,Cham16,17.573,0.01,Cham16,Null,15.297,0.53,Skru06,14.765,0.62,Skru06,14.77,0.115,Skru06,Null,NaN,NaN,NaN,NaN,NaN,NaN,15.158,0.013,Deac17a,14.887,0.021,Deac17a,14.93,0.02,Deac17a,Null,14.204,0.123,Deac17a,13.43,0.128,Deac17a,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,NaN,NaN,Null,70.02,0.2,Gaia23,Null,Null,Null,Null,Null,Null,T3,Deac17a,NaN,23,23,14.28,0.04,dist_plx_formula,0.8,39.0; 59.0; 32.0; 38.0; 15.0; 26.0,Deac17a,BT-Settl,11.9,1200,0.87,5.5,-4.84,0.04,FALSE,SM08,1198,37,0.88,0.05,53.04,11.43,5.25,0.15
2MASSI J0218291-313322,2MASSI J0218291-313322,Cruz03,Null,Null,Field,UCS+BANYAN,34.6213,-31.5564,Gaia23,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,2MASS J02182913-3133230,14.728,0.04,Cutr03,13.808,0.035,Cutr03,13.154,0.035,Cutr03,VIKING J021829.00-313324.42,NaN,NaN,NaN,NaN,NaN,NaN,14.607,0.002,Edge16,13.77,0.002,Edge16,13.131,0.035,Best21,CWISE J021828.93-313325.0,12.495,0.013,Maro21,12.292,0.009,Maro21,11.914,0.228,Cutr13,9.351,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,42.8,0.4,Gaia23,Null,Null,Null,Null,L3,Cruz03,L5.5,Maro13,13,15.5,13,23.36,0.22,dist_plx_formula,0.5,51.0; 128.0; 101.0; 90.0; 90.0; 97.0,Bard14,BT-Settl,35.4,1800,1.07,5.5,-3.97,0.02,FALSE,SM08,1811,177,1.05,0.2,58.92,24.38,5.14,0.43
2MASS J02192196+0506306,2MASS J02192196+0506306,Fahe09,Null,Null,Field,UCS+BANYAN,34.8415,5.1085,Gaia23,PSO J034.8421+05.1085,NaN,NaN,Null,21.643,0.048,Cham16,19.47,0.005,Cham16,17.923,0.008,Cham16,16.941,0.006,Cham16,2MASS J02192196+0506306,14.971,0.035,Cutr03,14.051,0.039,Cutr03,13.48,0.039,Cutr03,ULAS J021922.04+050630.7,14.855,0.004,14.089,0.004,13.453,0.004,14.855,0.004,Lawr12,14.089,0.004,Lawr12,13.453,0.004,Lawr12,CWISE J021922.13+050630.9,12.952,0.013,Maro21,12.65,0.009,Maro21,12.001,0.28,Cutr13,8.893,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,25.7,0.7,Gaia23,Null,Null,Null,Null,L1,Fahe09,L3.0,Bard14,11,13,11,38.9,1.1,dist_plx_formula,0.5,60.0; 143.0; 123.0; 116.0; 94.0; 102.0,Burg17,BT-Settl,17.9,1800,1.55,5.5,-3.64,0.03,FALSE,BHAC15,2219,200,1.02,0.18,69.06,24.35,5.23,0.38
SSSPM J0219-1939,SSSPM J0219-1938,Lodi02b,Null,Null,Field,UCS+BANYAN,34.8669,-19.6448,Gaia23,PSO J034.8676-19.6453,NaN,NaN,Null,21.091,0.075,Cham16,18.486,0.004,Cham16,16.98,0.004,Cham16,15.997,0.005,Cham16,2MASS J02192807-1938416,14.11,0.027,Cutr03,13.339,0.034,Cutr03,12.91,0.034,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,14.063,0.027,Best21,13.406,0.034,Best21,12.893,0.034,Best21,CWISE J021928.27-193843.4,12.545,0.013,Maro21,12.332,0.009,Maro21,12.486,0.371,Cutr13,9.075,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,36.5,0.24,Gaia23,Null,Null,Null,Null,L1,Lodi05b,L1:,Maro13,11,11,11,27.4,0.18,dist_plx_formula,0.5,22.0; 86.0; 78.0; 75.0; 67.0; 68.0,Bard14,BT-Settl,29.9,1900,1.4,5.5,-3.65,0.02,FALSE,BHAC15,2206,202,1.02,0.19,68.65,24.58,5.23,0.39
WISEPC J022322.39-293258.1,WISEP J022322.39-293258.1,Kirk11,Null,Null,Field,UCS+BANYAN,35.8406,-29.5477,CatWISE,PSO J035.8437-29.5496,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,Null,17.341,0.153,Kirk11,16.85,0.163,Kirk11,16.94,NaN,Kirk11,Null,NaN,NaN,NaN,NaN,NaN,NaN,17.1,0.05,Kirk11,17.304,0.114,Kirk11,17.593,0.076,Best21,CWISE J022322.74-293300.4,17.021,0.058,Maro21,14.056,0.017,Maro21,12.647,0.393,Cutr13,9.428,NaN,Cutr13,15.81,0.028,14.013,0.019,Kirk11,80.7,2.6,Kirk19,Null,Null,Null,Null,Null,Null,T7.5,Kirk11,NaN,27.5,27.5,12.4,0.4,dist_plx_formula,0.5,18.0; 38.0; 6.0; 13.0; 2.0; 6.0,Kirk11,ATMO 2020,3.4,700,0.93,5,-5.73,0.09,FALSE,SM08,638,41,1.11,0.14,12.58,13.24,4.42,0.47
HIP 11161B,2MASS J02233667+5240066,Deac14b,Null,Null,HIP 11161B,system_age,35.9029,52.6685,PS1,PSO J035.9023+52.6682,NaN,NaN,Null,NaN,NaN,Null,20.613,0.037,Cham16,19.382,0.032,Cham16,18.344,0.061,Cham16,2MASS J02233667+5240066,16.636,0.161,Cutr03,15.77,0.195,Cutr03,15.392,0.195,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.484,0.016,Schn23b,15.862,0.017,Deac14b,15.316,0.021,Schn23b,CWISE J022336.54+524005.6,15.019,0.016,Maro21,14.863,0.023,Maro21,12.521,NaN,Cutr13,8.842,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,12.649,0.026,Gaia23,Null,Null,Null,Null,Null,Null,L1.5,Deac14b,NaN,11.5,11.5,79.06,0.16,dist_plx_formula,0.8,25.0; 49.0; 32.0; 30.0; 28.0; 28.0,Deac14b,BT-Settl,8.3,1900,1.28,5.5,-3.73,0.02,FALSE,SM08,2130,21,1,0.02,80.11,4.11,5.32,0.04
2MASSI J0224367+253704,2MASSI J0224367+253704,Kirk00,Null,Null,Field,UCS+BANYAN,36.1529,25.6179,PS1,PSO J036.1526+25.6180,NaN,NaN,Null,NaN,NaN,Null,20.907,0.036,Cham16,19.476,0.026,Cham16,18.528,0.02,Cham16,2MASS J02243670+2537042,16.584,0.104,Cutr03,15.411,0.082,Cutr03,14.694,0.082,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,16.403,0.017,Schn23b,15.502,0.051,Schn23b;UCS_23,14.778,0.013,Schn23b,CWISE J022436.62+253705.1,14.375,0.015,Maro21,14.12,0.017,Maro21,12.243,NaN,Cutr13,8.984,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,L2,Kirk00,L2.3,Bard14,12,12.3,12,56,4,dist_W2_formula,0.5,35.0; 83.0; 67.0; 61.0; 64.0; 65.0,Bard14,BT-Settl,18.9,1700,1.35,5.5,-3.87,0.07,FALSE,SM08,1926,191,1.04,0.2,64.2,24.4,5.19,0.42
CFBDS J022644.65-062522.0,CFBDS J022644-062522,Albe11,Null,Null,Field,UCS+BANYAN,36.686,-6.4228,SIMBAD,PSO J036.6861-06.4229,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,21.555,0.063,Cham16,19.769,0.115,Cham16,Null,NaN,NaN,Edge16,NaN,NaN,Edge16,17.258,0.031,Edge16,VIKING J022644.67-062522.33,NaN,NaN,NaN,NaN,NaN,NaN,17.575,0.013,Edge16,17.264,0.02,Edge16,17.216,0.059,Best21,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,Null,Null,Null,Null,T3,Albe11,NaN,23,23,50,9,dist_Ks_2MASS_formula,0.8,9.0; 20.0; 8.0; 9.0; 3.0; 5.0,Sang23,ATMO 2020,2.2,1400,0.73,5,-4.73,0.17,FALSE,SM08,1161,102,1.07,0.17,26.29,21.75,4.78,0.49
2MASS J02271036-1624479,SIPS J0227-1624,Reid08b,Null,Null,FLD-G,Sang23,36.793,-16.4132,Gaia23,PSO J036.7945-16.4142,NaN,NaN,Null,20.156,0.032,Cham16,17.934,0.004,Cham16,16.504,0.003,Cham16,15.558,0.004,Cham16,2MASS J02271036-1624479,13.573,0.023,Cutr03,12.63,0.03,Cutr03,12.143,0.03,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,13.53,0.02,Best20,12.698,0.03,Best21,12.127,0.03,Best21,CWISE J022710.71-162451.5,11.799,0.019,Maro21,11.581,0.011,Maro21,11.122,0.094,Cutr13,9.172,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,49.86,0.22,Gaia23,Null,Null,FLD-G,Sang23,L1,Reid08b,L0.5:,Maro13,11,10.5,11,20.06,0.09,dist_plx_formula,0.5,99.0; 197.0; 174.0; 166.0; 142.0; 147.0,Burg08c,BT-Settl,57.4,1800,1.54,5.5,-3.65,0.02,TRUE,BHAC15,1873,93,1.42,0.14,19,12.41,4.39,0.28
PSO J036.9069+08.5025,Null,Sang23,Null,Null,Field,UCS+BANYAN,36.9059,8.5029,PS1,PSO J036.9069+08.5025,NaN,NaN,Null,NaN,NaN,Null,21.084,0.075,Cham16,19.288,0.023,Cham16,18.191,0.013,Cham16,2MASS J02273743+0830106,16.169,0.112,Cutr03,15.474,0.131,Cutr03,14.882,0.131,Cutr03,ULAS J022737.65+083009.3,16.029,0.008,15.376,0.013,14.908,0.01,16.029,0.008,Lawr12,15.376,0.013,Lawr12,14.908,0.01,Lawr12,CWISE J022737.75+083008.8,14.214,0.015,Maro21,13.762,0.015,Maro21,NaN,NaN,Null,NaN,NaN,Null,NaN,NaN,NaN,NaN,Null,29.6,0.3,Gaia23,Null,Null,Null,Null,Null,Null,L6:: pec,Sang23,NaN,16,16,33.8,0.3,dist_plx_formula,0.8,9.0; 31.0; 23.0; 21.0; 19.0; 21.0,Sang23,BT-Settl,5.5,2000,0.62,5,-4.33,0.02,FALSE,SM08,1461,114,1.06,0.18,43.58,24.16,5.00,0.48
2MASSW J0228110+253738,2MASSI J0228110+253738,Wils03,Null,Null,HYA?,UCS+BANYAN,37.046,25.6273,PS1,PSO J037.0468+25.6271,NaN,NaN,Null,20.569,0.022,Cham16,18.17,0.006,Cham16,16.712,0.002,Cham16,15.757,0.006,Cham16,2MASS J02281101+2537380,13.839,0.027,Cutr03,12.993,0.025,Cutr03,12.471,0.025,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,13.718,0.003,Schn23b,13.06,0.025,Best21,12.426,0.002,Schn23b,CWISE J022811.30+253737.6,12.124,0.012,Maro21,11.899,0.009,Maro21,11.36,0.158,Cutr13,8.866,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,30,0.5,Dahn17,Null,Null,FLD-G,Sang23,L0:,Cruz03,L0,Wils03,10,10,10,33.3,0.6,dist_plx_formula,0.5,75.0; 156.0; 135.0; 128.0; 104.0; 111.0,Burg08c,BT-Settl,53.9,1800,2.22,5.5,-3.32,0.03,TRUE,BHAC15,2572,24,1.1,0.01,89.49,1.53,5.28,0.01
2MASS J02284243+1639329,2MASS J02284243+1639329,Reid08b,Null,Null,Field,UCS+BANYAN,37.1768,16.6592,Gaia23,PSO J037.1781+16.6578,21.535,0.02,Cham16,19.758,0.021,Cham16,17.345,0.002,Cham16,15.908,0.01,Cham16,14.989,0.005,Cham16,2MASS J02284243+1639329,13.166,0.026,Cutr03,12.325,0.023,Cutr03,11.818,0.023,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,13.09,0.02,Best20,12.383,0.023,Best21,11.801,0.023,Best21,CWISE J022842.91+163925.8,11.592,0.018,Maro21,11.392,0.014,Maro21,11.12,0.235,Cutr13,8.719,0.523,Cutr13,NaN,NaN,NaN,NaN,Null,46.12,0.19,Gaia23,Null,Null,Null,Null,L0:,Reid08b,M8.7,Bard14,10,8.7,10,21.68,0.09,dist_plx_formula,0.5,226.0; 377.0; 306.0; 292.0; 260.0; 264.0,Bard14,BT-Settl,150.3,1800,1.95,5.5,-3.43,0.02,TRUE,BHAC15,2439,211,1.07,0.19,79.07,26.01,5.25,0.38
2MASS J02292794-0053282,2MASS J02292794-0053282,Geis11,lowg,Alle13a,VL-G,Alle13a,37.3665,-0.8912,PS1,PSO J037.3665-00.8913,NaN,NaN,Null,NaN,NaN,Null,21.382,0.044,Cham16,19.825,0.018,Cham16,18.75,0.028,Cham16,2MASS J02292794-0053282,16.49,0.1,Cutr03,15.746,0.138,Cutr03,15.182,0.138,Cutr03,ULAS J022927.96-005328.4,16.608,0.016,15.808,0.015,15.145,0.015,16.608,0.016,Lawr12,15.808,0.015,Lawr12,15.145,0.015,Lawr12,CWISE J022927.96-005328.7,14.653,0.017,Maro21,14.371,0.019,Maro21,12.658,NaN,Cutr13,8.858,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,NaN,NaN,Null,Null,Null,VL-G,Alle13a,Null,Null,L0: VL-G,Alle13a,NaN,10,10,90,23,dist_W2_formula_young,0.5,20.0; 39.0; 25.0; 23.0; 29.0; 28.0,Alle13a,BT-Settl,8.6,1800,1.64,5.5,-3.59,0.22,FALSE,BHAC15,1912,153,1.45,0.15,18.69,10.54,4.35,0.26
PSO J037.4616+17.2761,Null,Alle16b; Sang23,lowg,Alle16b,INT-G,Alle16b,37.4614,17.2764,Gaia23,PSO J037.4616+17.2761,NaN,NaN,Null,21.443,0.074,Cham16,18.509,0.006,Cham16,17.093,0.006,Cham16,16.248,0.005,Cham16,2MASS J02295071+1716351,14.574,0.033,Cutr03,13.867,0.033,Cutr03,13.572,0.048,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,14.503,0.033,Best21,13.903,0.033,usyn23,13.608,0.048,usyn23,CWISE J022950.78+171634.4,13.211,0.013,Maro21,12.957,0.011,Maro21,12.347,NaN,Cutr13,8.887,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,13.9,0.3,Gaia23,Null,Null,INT-G,Alle16b,Null,Null,M8.2 INT-G,Alle16b,NaN,8.2,8.2,71.9,1.6,dist_plx_formula,0.5,35.0; 52.0; 53.0; 49.0; 43.0; 43.0,Alle16b; Sang23,BT-Settl,10.7,2500,1.63,4,-3.03,0.03,FALSE,BHAC15,2584,126,1.51,0.14,50.52,19.88,4.76,0.26
2MASS J02301551+2704061,2MASS J02301551+2704061,Cruz07,Null,Null,Field,UCS+BANYAN,37.5647,27.0684,Gaia23,PSO J037.5655+27.0682,NaN,NaN,Null,20.997,0.031,Cham16,18.586,0.007,Cham16,17.134,0.007,Cham16,16.155,0.006,Cham16,2MASS J02301551+2704061,14.294,0.027,Cutr03,13.478,0.023,Cutr03,12.986,0.023,Cutr03,Null,NaN,NaN,NaN,NaN,NaN,NaN,14.257,0.027,Best21,13.541,0.023,Best21,12.964,0.023,Best21,CWISE J023015.74+270405.7,12.64,0.013,Maro21,12.397,0.01,Maro21,11.981,0.335,Cutr13,8.787,NaN,Cutr13,NaN,NaN,NaN,NaN,Null,22.9,0.3,Gaia23,Null,Null,Null,Null,L0:,Cruz07,M9.4,Bard14,10,9.4,10,43.7,0.6,dist_plx_formula,0.5,41.0; 139.0; 135.0; 131.0; 116.0; 119.0,Burg17,BT-Settl,63.9,1800,2.3,5.5,-3.29,0.02,TRUE,BHAC15,2584,219,1.13,0.19,87.42,27.13,5.25,0.37
