name,name_simbadable,ra_j2000_formula,dec_j2000_formula,teff_evo,teff_evo_err,radius_evo,radius_evo_err,mass_evo,mass_evo_err,logg_evo,logg_evo_err
WISE J004024.88+090054.8,2MASS J00402492+0900547,10.1039,9.0152,813,61,1.09,0.16,16.74,17.05,4.56,0.52
SDSS J004154.54+134135.5,2MASS J00415453+1341351,10.4773,13.6932,2148,11,0.99,0.01,81.39,0.32,5.34,0.01
WISEA J004403.39+022810.6,2MASS J00440332+0228112,11.0138,2.4698,1507,87,1.44,0.15,15.78,11.17,4.29,0.31
WISE J004542.56+361139.1,2MASS J00454267+3611406,11.4276,36.1947,973,79,1.07,0.17,21.45,18.89,4.69,0.51
2MASS J00464841+0715177,2MASS J00464841+0715177,11.7017,7.2549,2281,152,1.43,0.19,31.12,17.19,4.6,0.35
WISEP J004701.06+680352.1,2MASS J00470038+6803543,11.7517,68.0651,1248,21,1.23,0.02,16.1,2.45,4.44,0.07
WISEPC J004928.48+044100.1,2MASS J00492826+0440575,12.3678,4.6826,1174,95,1.07,0.17,26.23,21.29,4.78,0.49
WISE J004945.61+215120.0,WISE J004945.61+215120.0,12.4415,21.8556,566,32,1.12,0.12,10.97,11.35,4.36,0.44
2MASS J00501994-3322402,2MASS J00501994-3322402,12.5836,-33.3775,780,57,1.09,0.16,16.34,16.48,4.55,0.51
SIPS J0050-1538,SIPS J0050-1538,12.6017,-15.6387,2203,202,1.02,0.19,67.71,24.69,5.22,0.39
2MASSW J0051107-154417,2MASSW J0051107-154417,12.795,-15.738,1696,84,1.44,0.14,15.63,11.9,4.29,0.28
2MASS J00521232+0012172,2MASS J00521232+0012172,13.0515,0.2049,1657,165,1.05,0.2,53.51,24.37,5.1,0.45
RG 0050-2722,RG 0050-2722,13.2279,-27.0999,2287,203,1.03,0.18,72.29,24.78,5.25,0.38
