# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
PSO J243.9421+67.2075,"no source found, atmo model"
PSO J243.9421+67.2075,"no source found, atmo model"
PSO J243.9421+67.2075,"no source found, atmo model"
PSO J243.9421+67.2075,"no source found, atmo model"
PSO J243.9421+67.2075,"no source found, evo model"
PSO J243.9421+67.2075,"no source found, evo model"
PSO J243.9421+67.2075,"no source found, evo model"
PSO J243.9421+67.2075,"no source found, evo model"
