NAME,RA,DEC,LIT_SPT,Discovery Ref.,ADS_Link,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
LSPM J0402+1730,60.6799496,17.5037902,sdM7,Lépine et al. 2005,https://ui.adsabs.harvard.edu/abs/2005AJ....129.1483L/abstract,,,,,,,,,,,,,
WISEA J041451.67−585456.7,63.7152900,-58.9157500,esdT0,Schneider et al. 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...898...77S/abstract,1300.000,5.500,-1.000,Schneider et al. 2020,,,,,,,,,
WISEA J042236.95−044203.5,65.6539733,-4.7009816,sdT8,Meisner et al. 2020,https://ui.adsabs.harvard.edu/abs/2020ApJ...899..123M/abstract,,,,,,,,,,,,,
WISEA J043535.82+211508.9,68.8966272,21.2552596,esdL1,Kirkpatrick et al. 2019,https://ui.adsabs.harvard.edu/abs/2014ApJ...783..122K/abstract,,,,,2937.291,2922.991,2966.245,5.259,5.184,5.283,-1.034,-1.056,-0.960
2MASS J04470652-1946392,71.7770010,-19.7775004,sdM7,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,3000.526,3000.141,3001.419,5.286,5.281,5.289,-0.948,-0.959,-0.934
LEHPM 2-59,73.0414713,-22.7525958,esdM8.5,Burgasser et al. 2006,https://ui.adsabs.harvard.edu/abs/2006ApJ...645.1485B/abstract,,,,,,,,,,,,,
2MASS J04524567-3608412,73.1903617,-36.1447928,esdL0,González-Payo et al. 2021,https://ui.adsabs.harvard.edu/abs/2021A%26A...650A.190G/abstract,2600.000,5.500,-1.400,Zhang et al. 2019,3147.485,3140.741,3153.223,5.021,5.006,5.036,-1.086,-1.094,-1.073
WISEA J045921.21+154059.2,74.8371636,15.6846616,sdL0,Kirkpatrick et al. 2019,https://ui.adsabs.harvard.edu/abs/2014ApJ...783..122K/abstract,,,,,,,,,,,,,
CWISE J052306.42-015355.4,80.7767549,-1.8987341,esdT0,Brooks et al. 2022,https://ui.adsabs.harvard.edu/abs/2022AJ....163...47B/abstract,,,,,,,,,,,,,
2MASS J05325346+8246465,83.2268105,82.7792114,esdL7,Burgasser et al. 2003,https://ui.adsabs.harvard.edu/abs/2003ApJ...592.1186B/abstract,,,,,3005.898,3001.197,3023.392,5.187,5.149,5.250,-0.900,-0.966,-0.832
APMPM J0559-2903,89.7455128,-29.0574191,esdM7.5,Schweitzer et al. 1999,https://ui.adsabs.harvard.edu/abs/1999A%26A...350L..62S/abstract,3200.000,5.400,-1.700,Rajpurohit et al. 2014,,,,,,,,,
2MASS J06164006−6407194,94.1669200,-64.1220800,esdL6,Cushing et al. 2009,https://ui.adsabs.harvard.edu/abs/2009ApJ...696..986C/abstract,,,,,,,,,,,,,
2MASS J06453153−6646120,101.3813840,-66.7700120,sdL8,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,,,,,,,,,
WISEA J071121.36-573634.2,107.8389350,-57.6096440,sdT0,Kellogg et al. 2018,https://ui.adsabs.harvard.edu/abs/2018AJ....155...87K/abstract,,,,,,,,,,,,,
LSPM J0723+0316,110.9293666,3.2727198,sdM7.5,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
CWISE J073844.52−664334.6,114.6855000,-66.7262800,esdT0,Meisner et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...915..120M/abstract,,,,,,,,,,,,,
ULAS J074431.30+283915.6,116.1301751,28.6546699,sdM7,Christopher et al. 2012,https://iopscience.iop.org/article/10.1088/0067-0049/203/2/21,,,,,,,,,,,,,
SDSS J075054.74+445418.7,117.7282219,44.9055551,sdL0.5,West et al. 2008,https://ui.adsabs.harvard.edu/abs/2008AJ....135..785W/abstract,,,,,,,,,,,,,
ULAS J075335.23+200622.4,118.3969223,20.1066599,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J080301.12+354848.5,120.7546363,35.8136031,esdM7.5,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
SDSS J080605.53+292800.8,121.5229795,29.4670707,esdM7.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
2MASS J08121049+3723223,123.0437120,37.3892901,esdM7,Lépine et al. 2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
2MASS J08220659+0441026,125.5274770,4.6840710,sdL0.5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,3013.328,3004.645,3025.411,5.239,5.221,5.263,-1.106,-1.124,-1.079
LSR J0822+1700,125.6406303,17.0052578,usdM7.5,Lodieu et al. 2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...628A..61L/abstract,,,,,,,,,,,,,
WISE J082650.64+285251.9,126.7106637,28.8816887,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
GJ 1111,127.4556366,26.7760067,sdM7,Burrows et al. 1989,https://ui.adsabs.harvard.edu/abs/1989ApJ...345..939B/abstract,3054.000,,-0.160,Marfil et al. 2021,3064.949,3054.048,3075.210,5.121,5.103,5.143,-1.046,-1.056,-1.037
LP  258-28,127.7152028,36.2157805,esdM7,Kesseli et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....157...63K/abstract,3200.000,-2.917,,Kesseli et al. 2019,,,,,,,,,
WISE J083337.82+005214.1,128.4054227,0.8752413,sdT9,Zhang et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJ...921...95Z/abstract,,,,,,,,,,,,,
2MASS J08503941-0221528,132.6641425,-2.3646949,sdL7,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
2MASS J08554875+3636020,133.9529947,36.6004475,esdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
LHS 2090,135.0981088,21.8346948,sdM7,Rojas-Ayala et al. 2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...748...93R/abstract,3088.000,,-0.100,Marfil et al. 2021,,,,,,,,,
LP 426-61,137.2654234,19.6956433,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J092605.47+083516.9,141.5228190,8.5880390,sdT4.5,Burningham et al. 2010,https://ui.adsabs.harvard.edu/abs/2010MNRAS.406.1885B/abstract,,,,,,,,,,,,,
SDSS J093244.46+011259.8,143.1852301,1.2166387,sdM8.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J094503.44+103600.2,146.2642478,10.6003282,sdM8.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
2MASS J09481253-2903268,147.0521206,-29.0575300,sdL1,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
WISE J095047.32+011733.3,147.6963140,1.2934589,sdT8,Mace et al. 2013,https://ui.adsabs.harvard.edu/abs/2013ApJS..205....6M/abstract,780.000,5.150,-0.300,Burningham et al. 2013,,,,,,,,,
SDSS J101200.28+204611.6,153.0016487,20.7702503,esdM8,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SSSPM J1013-1356,153.2806102,-13.93923931,usdL0,Lodieu et al. 2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...628A..61L/abstract,,,,,,,,,,,,,
WISEA J101329.72−724619.2,153.3770190,-72.7730870,sdL2,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
WISE J102757.73+340143.6,156.9908329,34.0302738,sdM8.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J102839.48+593908.2,157.1643792,59.6523430,usdM7.5,West et al. 2008,https://ui.adsabs.harvard.edu/abs/2008AJ....135..785W/abstract,,,,,,,,,,,,,
ULAS J103317.93+053054.1,158.3250360,5.5152560,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
2MASS J10353492-0711479,158.8955170,-7.1966470,sdL7,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
WISE J103658.89+033620.4,159.2453996,3.6065518,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J104410.01+300142.3,161.0421574,30.0286321,esdM7.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
LHS 292,162.0525594,-11.3360030,sdM7,Rojas-Ayala et al. 2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...748...93R/abstract,3032.000,,-0.190,Marfil et al. 2021,,,,,,,,,
SDSS J105012.58+085122.6,162.5523765,8.8565379,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J105047.16+242241.9,162.6963975,24.3789373,esdM8,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
SDSS J105102.32+133346.9,162.7598106,13.5632197,sdM7.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J105449.01+322527.0,163.7042077,32.4243055,usdM7,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
CWISE J105512.11+544328.3,163.8116160,54.7255486,sdT8,Kirkpatrick et al. 2021,https://ui.adsabs.harvard.edu/abs/2021ApJS..253....7K/abstract,,,,,,,,,,,,,
SDSS J105717.29+462102.3,164.3219632,46.3510776,esdM7,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
SDSS J110017.81+011218.6,165.0742340,1.2051820,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J110651.29+044814.9,166.7137226,4.8042133,sdM8.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J111429.54+072809.5,168.6230850,7.4693070,esdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
2MASS J11264705+5816325,171.6958729,58.2757279,sdL1,Schmidt et al. 2010,https://ui.adsabs.harvard.edu/abs/2010AJ....139.1808S/abstract,,,,,,,,,,,,,
SDSS J114452.67-031420.4,176.2194763,-3.2389794,esdM7,Lépine et al. 2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
WISEA J114553.61-250657.1,176.4742290,-25.1157092,sdM7,Schneider et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJ...817..112S/abstract,,,,,,,,,,,,,
2MASS J11582077+0435014,179.5863881,4.5840000,sdL7,Kirkpatrick et al. 2010,https://ui.adsabs.harvard.edu/abs/2010ApJS..190..100K/abstract,,,,,,,,,,,,,
ULAS J115826.62+044746.8,179.6109366,4.7963890,sdM9.5,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
SDSS J120214.61+073113.7,180.5608652,7.5207729,esdM7,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
ULAS J121508.37+040200.5,183.7848140,4.0335832,sdM7,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
2MASS J12191495+0810307,184.8123102,8.1751871,sdM7,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
2MASS J12204296+6205315,185.1787143,62.0919875,sdM7,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,,,,,,,,,
2MASS J12270506-0447207,186.7710085,-4.7890517,usdM8.5,Lodieu et al. 2019,https://ui.adsabs.harvard.edu/abs/2019A%26A...628A..61L/abstract,,,,,3000.742,3000.164,3003.202,5.305,5.297,5.309,-1.022,-1.037,-0.992
ULAS J123142.99+015045.4,187.9295683,1.8459204,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J123257.20+410723.5,188.2382139,41.1234264,esdM7,Lépine et al. 2008,https://ui.adsabs.harvard.edu/abs/2008ApJ...681L..33L/abstract,,,,,,,,,,,,,
ULAS J124104.75-000531.4,190.2697960,-0.0920700,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J124410.11+273625.8,191.0421180,27.6071780,esdL0.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J124425.75+102439.3,191.1082044,10.4119942,esdL0.5,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
2MASS J12451711+6016103,191.3212584,60.2695206,sdM8.5,Greco et al. 2019,https://ui.adsabs.harvard.edu/abs/2019AJ....158..182G/abstract,,,,,2928.526,2919.516,2940.839,5.256,5.204,5.287,-0.936,-0.993,-0.822
SDSS J124904.38+100413.4,192.2682337,10.0705386,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J124947.04+095019.8,192.4454711,9.8382541,sdL1,Zhang et al. 2017a,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.3040Z/abstract,,,,,,,,,,,,,
ULAS J125134.40-005556.7,192.8935220,-0.9320880,sdM8,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J125226.62+092920.1,193.1109470,9.4889200,sdL0.5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J125508.35+294939.1,193.7850080,29.8276103,usdM7,Ahumada et al. 2020,https://ui.adsabs.harvard.edu/abs/2020ApJS..249....3A/abstract,,,,,,,,,,,,,
SSSPM J1256-1408,194.0583877,-14.1445604,sdM9,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
SDSS J125637.13−022452.4,194.1547408,-2.4145184,usdL3,Zhang et al. 2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.434.1005Z/abstract,,,,,,,,,,,,,
SDSS J125938.97+493404.2,194.9125197,49.5678699,esdM7,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
2MASSW J1300425+191235,195.1771175,19.2096107,sdL1,Bardalez Gagliuffi et al. 2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...794..143B/abstract,2200.000,,,Blake et al. 2010,,,,,,,,,
SDSS J130615.20+045908.8,196.5633202,4.9859140,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J130710.22+151103.4,196.7925850,15.1843030,sdL8,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J130852.73+391142.8,197.2200713,39.1953673,sdM7,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
ULAS J131610.28+075553.0,199.0428300,7.9313900,sdT6.5,Burningham et al. 2014,https://ui.adsabs.harvard.edu/abs/2014MNRAS.440..359B/abstract,,,,,,,,,,,,,
ULAS J131705.66+091016.9,199.2736454,9.1717374,esdM7,Lodieu et al. 2012,https://ui.adsabs.harvard.edu/abs/2012A%26A...542A.105L/abstract,,,,,,,,,,,,,
SDSS J131822.82-011150.1,199.5950820,-1.1972490,esdM8,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J131943.77+120900.2,199.9323770,12.1500720,sdT5,Burningham et al. 2010,https://ui.adsabs.harvard.edu/abs/2010MNRAS.406.1885B/abstract,,,,,,,,,,,,,
ULAS J132012.11+053943.6,200.0507880,5.6622340,esdM7.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J132823.25+302144.8,202.0976613,30.3624663,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
2MASS J13334822+2735115,203.4510080,27.5858030,sdL1,Kirkpatrick et al. 2016,https://ui.adsabs.harvard.edu/abs/2016ApJS..224...36K/abstract,,,,,,,,,,,,,
SDSS J133837.01-022908.4,204.6542120,-2.4856800,sdL7,Zhang et al. 2017a,https://ui.adsabs.harvard.edu/abs/2017MNRAS.464.3040Z/abstract,,,,,,,,,,,,,
ULAS J134206.86+053724.9,205.5288103,5.6241134,sdL0.5,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
ULAS J134423.98+280603.8,206.0999400,28.1010730,sdL4,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
WISE J134555.25+022247.2,206.4802199,2.3804041,esdM7.5,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
SDSS J134749.74+333601.7,206.9571575,33.6004938,sdL0,West et al. 2011,https://ui.adsabs.harvard.edu/abs/2011AJ....141...97W/abstract,,,,,,,,,,,,,
ULAS J134852.93+101611.8,207.2205580,10.2699680,sdL0,Zhang et al. 2018c,https://ui.adsabs.harvard.edu/abs/2018MNRAS.480.5447Z/abstract,,,,,,,,,,,,,
SDSS J135053.40+235024.3,207.7231129,23.8402203,sdM7,Lodieu et al. 2017,https://ui.adsabs.harvard.edu/abs/2017A%26A...598A..92L/abstract,,,,,,,,,,,,,
ULAS J135058.86+081506.8,207.7452480,8.2519110,usdL3,Burningham et al. 2010,https://ui.adsabs.harvard.edu/abs/2010MNRAS.404.1952B/abstract,,,,,,,,,,,,,
