NAME,RA,DEC,LIT_SPT,Discovery Ref.,SIMBAD_TEFF,SIMBAD_LOGG,SIMBAD_FEH,SIMBAD_PARM_CITATION,GAIA_TEFF,GAIA_TEFF_LOWER,GAIA_TEFF_UPPER,GAIA_LOGG,GAIA_LOGG_LOWER,GAIA_LOGG_UPPER,GAIA_FEH,GAIA_FEH_LOWER,GAIA_FEH_UPPER
2MASS J06164006−6407194,94.167,-64.122,sdL8,Kirkpatrick et al. 2010,,,,,,,,,,,,,
2MASS J06453153−6646120,101.381,-66.770,sdT0,Kellogg et al. 2018,,,,,,,,,,,,,
WISEA J071121.36-573634.2,107.839,-57.610,sdM7.5,Kirkpatrick et al. 2016,,,,,,,,,,,,,
LSPM J0723+0316,110.929,3.273,esdT0,Meisner et al. 2021,,,,,,,,,,,,,
CWISE J073844.52−664334.6,114.686,-66.726,sdM7,Christopher et al. 2012,,,,,,,,,,,,,
ULAS J074431.30+283915.6,116.130,28.655,sdL0.5,West et al. 2008,,,,,,,,,,,,,
SDSS J075054.74+445418.7,117.728,44.906,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
ULAS J075335.23+200622.4,118.397,20.107,esdM7.5,West et al. 2011,,,,,,,,,,,,,
SDSS J080301.12+354848.5,120.755,35.814,esdM7.5,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J080605.53+292800.8,121.523,29.467,esdM7,Lépine et al. 2008,,,,,,,,,,,,,
2MASS J08121049+3723223,123.044,37.389,sdL0.5,Zhang et al. 2018c,,,,,,,,,,,,,
2MASS J08220659+0441026,125.527,4.684,usdM7.5,Lodieu et al. 2019,,,,,3013.328,3004.645,3025.411,5.239,5.221,5.263,-1.106,-1.124,-1.079
LSR J0822+1700,125.641,17.005,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
WISE J082650.64+285251.9,126.711,28.882,sdM7,Burrows et al. 1989,,,,,,,,,,,,,
GJ 1111,127.456,26.776,esdM7,Kesseli et al. 2019,3054.000,,-0.160,Marfil et al. 2021,3064.949,3054.048,3075.210,5.121,5.103,5.143,-1.046,-1.056,-1.037
LP  258-28,127.715,36.216,sdT9,Zhang et al. 2021,3200.000,-2.917,,Kesseli et al. 2019,,,,,,,,,
WISE J083337.82+005214.1,128.408,0.871,sdL7,Greco et al. 2019,,,,,,,,,,,,,
2MASS J08503941-0221528,132.664,-2.365,esdM7,Lodieu et al. 2017,,,,,,,,,,,,,
2MASS J08554875+3636020,133.953,36.600,sdM7,Rojas-Ayala et al. 2012,,,,,,,,,,,,,
LHS 2090,135.098,21.835,sdM7,Lodieu et al. 2017,3088.000,,-0.100,Marfil et al. 2021,,,,,,,,,
LP 426-61,137.265,19.696,sdT4.5,Burningham et al. 2010,,,,,,,,,,,,,
ULAS J092605.47+083516.9,141.523,8.588,sdM8.5,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J093244.46+011259.8,143.185,1.217,sdM8.5,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J094503.44+103600.2,146.264,10.600,sdL1,Greco et al. 2019,,,,,,,,,,,,,
2MASS J09481253-2903268,147.052,-29.058,sdT8,Mace et al. 2013,,,,,,,,,,,,,
WISE J095047.32+011733.3,147.696,1.293,esdM8,Lodieu et al. 2017,780.000,5.150,-0.300,Burningham et al. 2013,,,,,,,,,
SDSS J101200.28+204611.6,153.002,20.770,usdL0,Lodieu et al. 2019,,,,,,,,,,,,,
WISEA J101329.72−724619.2,153.377,-72.773,sdL2,Kirkpatrick et al. 2016,,,,,,,,,,,,,
WISE J102757.73+340143.6,156.991,34.030,sdM8.5,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J102839.48+593908.2,157.164,59.652,usdM7.5,West et al. 2008,,,,,,,,,,,,,
ULAS J103317.93+053054.1,158.325,5.515,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
2MASS J10353492-0711479,158.896,-7.197,sdL7,Greco et al. 2019,,,,,,,,,,,,,
WISE J103658.89+033620.4,159.245,3.607,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J104410.01+300142.3,161.042,30.029,esdM7.5,Lodieu et al. 2017,,,,,,,,,,,,,
LHS 292,162.053,-11.336,sdM7,Rojas-Ayala et al. 2012,3032.000,,-0.190,Marfil et al. 2021,,,,,,,,,
SDSS J105012.58+085122.6,162.552,8.857,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J105047.16+242241.9,162.696,24.379,esdM8,West et al. 2011,,,,,,,,,,,,,
SDSS J105102.32+133346.9,162.760,13.563,sdM7.5,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J105449.01+322527.0,163.704,32.424,usdM7,West et al. 2011,,,,,,,,,,,,,
CWISE J105512.11+544328.3,163.801,54.725,sdT8,Kirkpatrick et al. 2021,,,,,,,,,,,,,
SDSS J105717.29+462102.3,164.322,46.351,esdM7,West et al. 2011,,,,,,,,,,,,,
SDSS J110017.81+011218.6,165.074,1.205,sdM7,Lodieu et al. 2017,,,,,,,,,,,,,
SDSS J110651.29+044814.9,166.714,4.804,sdM8.5,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J111429.54+072809.5,168.623,7.469,esdL0,Zhang et al. 2018c,,,,,,,,,,,,,
2MASS J11264705+5816325,171.696,58.276,sdL1,Schmidt et al. 2010,,,,,,,,,,,,,
SDSS J114452.67-031420.4,176.219,-3.239,esdM7,Lépine et al. 2008,,,,,,,,,,,,,
WISEA J114553.61-250657.1,176.474,-25.116,sdM7,Schneider et al. 2016,,,,,,,,,,,,,
2MASS J11582077+0435014,179.586,4.584,sdL7,Kirkpatrick et al. 2010,,,,,,,,,,,,,
ULAS J115826.62+044746.8,179.611,4.796,sdM9.5,Lodieu et al. 2012,,,,,,,,,,,,,
SDSS J120214.61+073113.7,180.561,7.521,esdM7,Lodieu et al. 2012,,,,,,,,,,,,,
ULAS J121508.37+040200.5,183.785,4.034,sdM7,Lodieu et al. 2012,,,,,,,,,,,,,
2MASS J12191495+0810307,184.812,8.175,sdM7,Greco et al. 2019,,,,,,,,,,,,,
2MASS J12204296+6205315,185.179,62.092,sdM7,Greco et al. 2019,,,,,,,,,,,,,
2MASS J12270506-0447207,186.771,-4.789,usdM8.5,Lodieu et al. 2019,,,,,3000.742,3000.164,3003.202,5.305,5.297,5.309,-1.022,-1.037,-0.992
ULAS J123142.99+015045.4,187.930,1.846,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
SDSS J123257.20+410723.5,188.238,41.123,esdM7,Lépine et al. 2008,,,,,,,,,,,,,
ULAS J124104.75-000531.4,190.270,-0.092,sdL0,Zhang et al. 2018c,,,,,,,,,,,,,
SDSS J124410.11+273625.8,191.042,27.607,esdL0.5,Lodieu et al. 2017,,,,,,,,,,,,,
ULAS J124425.75+102439.3,191.108,10.412,esdL0.5,Lodieu et al. 2012,,,,,,,,,,,,,
2MASS J12451711+6016103,191.321,60.270,sdM8.5,Greco et al. 2019,,,,,2928.526,2919.516,2940.839,5.256,5.204,5.287,-0.936,-0.993,-0.822
