Source,Host,Parameter,Value,upper_error,lower_error,Unit,Comments,Ref,RA,DEC
CWISE J094352.22+335639.1,2MASS J09435055+3356550,Metallicity,0.07,0.01,0.01,Dex,derived from [Fe/H],https://ui.adsabs.harvard.edu/abs/2022AJ....163..152S/abstract,145.9676104,33.9442094
CWISE J095259.54-505418.9,2MASS J09530410-5055203,Metallicity,-0.45,0.05,0.11,Dex,derived from mh_gsppho,GaiaDR3,148.2480941,-50.905256
CWISE J101017.43-242300.4,UCAC4 328-061594 ,Age ,0.4,0.1,0.1,Gyr,derived from cooling time,Roth24,152.5726326,-24.3834649
CWISE J101317.51-010313.6,LP 609-46 ,Metallicity,-0.45,0.07,0.12,Dex,derived from mh_gsppho,GaiaDR3,153.3229961,-1.0537976
CWISE J101523.92-111539.6,CWISE J101533.05-111501.0AB,Age,0.25,0.15,0.15,Gyr,derived from rotation,Roth24,153.849691,-11.2610035
CWISE J101523.92-111539.6,CWISE J101533.05-111501.0AB,Metallicity,-0.70,0.00,0.00,Dex,derived from mh_gsppho,GaiaDR3,153.849691,-11.2610035
CWISE J103734.29-050749.8,LP 670-45 ,Metallicity,-0.13,0.04,0.08,Dex,derived from mh_gsppho,GaiaDR3,159.3929093,-5.1305155
CWISE J104053.42-355029.7,UPM J1040-3551,Metallicity,0.05,0.15,0.75,Dex,derived from mh_gspspec,GaiaDR3,160.2226104,-35.8415843
CWISE J115229.05-351105.9,LP 961-51 ,Metallicity,-0.23,0.03,0.03,Dex,derived from mh_gspspec,GaiaDR3,178.1210618,-35.1849737
CWISE J125858.20+001133.2,LP 616-93 ,Metallicity,-1.25,0.14,0.07,Dex,derived from mh_gspspec,GaiaDR3,194.7425134,0.1925822
CWISE J132539.70+022309.4,LP 617-58 ,Metallicity,-0.29,0.02,0.04,Dex,derived from mh_gspspec,GaiaDR3,201.4154343,2.3859476
CWISE J132857.58-063747.4,LP 677-81 ,Age,0.65,0.05,0.05,Gyr,derived from rotation,Roth24,202.2399559,-6.6298609
CWISE J132857.58-063747.4,LP 677-81 ,Metallicity,-0.21,0,0.01,Dex,derived from mh_gspspec,GaiaDR3,202.2399559,-6.6298609
CWISE J143935.94-804851.5,WISEA J143934.77-804838.8,Age,0.25,0.15,0.15,Gyr,derived from rotation,Roth24,219.8997509,-80.8143328
CWISE J143935.94-804851.5,WISEA J143934.77-804838.8,Metallicity,-0.04,0.09,0.09,Dex,derived from [Fe/H],https://ui.adsabs.harvard.edu/abs/2022A%26A...660A..38W/abstract,219.8997509,-80.8143328
CWISE J153910.07+722757.2,LSPM J1539+7227,Metallicity,-0.30,0.01,0.01,Dex,derived from mh_gsppho,GaiaDR3,234.7919959,72.4658937
CWISE J162511.27+774946.8,UCAC4 840-013771 ,Age,0.25,0.15,0.15,Gyr,derived from rotation,Roth24,246.2969812,77.8296817
CWISE J165325.10+490439.7,BD+49 2561AB,Metallicity,0.12,0.02,0.01,Dex,derived from mh_gspspec,GaiaDR3,253.3545821,49.0777014
CWISE J171308.00+644220.8,LP 70-189 ,Metallicity,-0.01,0.12,0.04,Dex,derived from mh_gsppho,GaiaDR3,258.2833578,64.7058005
CWISE J171700.57+724437.3,CWISE J171701.09+724449.2,Metallicity,-0.10,0.01,0.01,Dex,derived from mh_gsppho,GaiaDR3,259.2523353,72.74369143
CWISE J174426.85+230355.1,LP 389-13 ,Metallicity,-0.08,0.03,0.02,Dex,derived from mh_gspspec,GaiaDR3,266.1118811,23.0653259
CWISE J174509.03+380733.2,StKM 1-1526,Metallicity,0.21,0,0.01,Dex,derived from mh_gspspec,GaiaDR3,266.2876616,38.1259034
CWISE J183207.94-540943.3,HD 170573 ,Metallicity,-0.11,0,0.01,Dex,derived from mh_gspspec,GaiaDR3,278.0331078,-54.1620281
CWISE J192425.03-532837.1,UPM J1924-5328,Age,0.55,0.45,0.45,Gyr,,https://ui.adsabs.harvard.edu/abs/2017ApJ...835...61Z/abstract,291.1043308,-53.4769769
CWISE J192425.03-532837.1,UPM J1924-5328,Metallicity,-0.47,0.11,0.11,Dex,derived from [Fe/H],https://ui.adsabs.harvard.edu/abs/2017AJ....153...75K/abstract,291.1043308,-53.4769769
CWISE J195956.16-644318.1,HD188769 ,Metallicity,-1.13,0.01,0.03,Dex,derived from mh_gspspec,GaiaDR3,299.9840118,-64.7217168
CWISE J200813.66-124502.4,LP 754-21 ,Metallicity,-0.75,0.07,0.14,Dex,derived from mh_gspspec,GaiaDR3,302.0569331,-12.7506846
CWISE J210640.16+250729.0,BD+24 4329 ,Metallicity,-0.16,0.01,0.01,Dex,derived from mh_gspspec,GaiaDR3,316.6673638,25.1247223
CWISE J212342.88+655615.6,WDJ212231.86+660043.69,Age,2.6,2.5,0,Gyr,derived from cooling time,Roth24,320.9286959,65.9376939
CWISE J214129.80-024623.6,TYC 5213-545-1 ,Age,0.55,0.45,0.45,Gyr,,https://ui.adsabs.harvard.edu/abs/2017ApJ...835...61Z/abstract,325.3741677,-2.7732463
CWISE J214129.80-024623.6,TYC 5213-545-1 ,Metallicity,-0.16,0.06,0.06,Dex,derived from mh_gspspec,GaiaDR3,325.3741677,-2.7732463
CWISE J214213.99-204659.8,CWISE J214209.46-204646.1,Metallicity,-0.33,0.01,0.02,Dex,derived from mh_gsppho,GaiaDR3,325.558323,-20.7832923
CWISE J221418.15+253432.2,LSPM J2214+2534,Metallicity,-0.37,0.60,0.94,Dex,derived from mh_gspspec,GaiaDR3,333.5756522,25.5756384
CWISE J225525.22-302320.8,LP 933-24AB,Metallicity,-0.21,0.03,0.03,Dex,derived from mh_gspspec,GaiaDR3,343.8550923,-30.3891146
CWISE J233531.55+014219.6,GJ 900,Age,0.2,0.1,0.1,Gyr,derived from rotation,Roth24,353.8814851,1.7054667
CWISE J233531.55+014219.6,GJ 900,Metallicity,-0.63,0.88,0.11,Dex,derived from mh_gsppho,GaiaDR3,353.8814851,1.7054667
CWISE J235827.96-521813.4,UCAC4 189-203856 ,Age,0.55,0.45,0.45,Gyr,,https://ui.adsabs.harvard.edu/abs/2017ApJ...835...61Z/abstract,359.6165101,-52.3037451
CWISE J235827.96-521813.4,UCAC4 189-203856 ,Metallicity,0.55,0.02,0.05,Dex,derived from mh_gsppho,GaiaDR3,359.6165101,-52.3037451
SDSS J134403.83+083950.9,NLTT 35024 ,Age,0.55,0.45,0.45,Gyr,derived from rotation,Roth24,206.015116,8.6643454
ULAS J103131.49+123736.4,BD+13 2269 ,Metallicity,0.09,0.04,0.06,Dex,derived from mh_gspspec,GaiaDR3,157.8811199,12.6267923
