source,value,parameter,reference,unit
2MASS J10562886+0700527,1.56,radius,Fili15,R_jup
DENIS-P J1058.7-1548,1.0,radius,Fili15,R_jup
TWA 28,2.39,radius,Fili15,R_jup
SDSS J111010.01+011613.1,1.24,radius,Fili15,R_jup
2MASS J11145133-2618235,0.96,radius,Fili15,R_jup
TWA 26,2.2,radius,Fili15,R_jup
2MASS J11544223-3400390,1.5,radius,Fili15,R_jup
2MASSW J1155395-372735,1.0,radius,Fili15,R_jup
2MASS J12074836-3900043,1.71,radius,Fili15,R_jup
TWA 27A,2.33,radius,Fili15,R_jup
TWA 27B,1.36,radius,Fili15,R_jup
2MASSI J1217110-031113,0.94,radius,Fili15,R_jup
2MASS J12373919+6526148,0.94,radius,Fili15,R_jup
TWA 29,2.0,radius,Fili15,R_jup
SDSSp J125453.90-012247.4,0.98,radius,Fili15,R_jup
Ross 458C,1.06,radius,Fili15,R_jup
2MASS J13204427+0409045,1.01,radius,Fili15,R_jup
SDSSp J132629.82-003831.5,0.97,radius,Fili15,R_jup
SDSSp J134646.45-003150.4,0.94,radius,Fili15,R_jup
2MASS J13595510-4034582,1.0,radius,Fili15,R_jup
2MASS J14112131-2119503,1.98,radius,Fili15,R_jup
ULAS J141623.94+134836.3,0.96,radius,Fili15,R_jup
SDSS J141659.78+500626.4,0.99,radius,Fili15,R_jup
GD 165B,1.0,radius,Fili15,R_jup
DENIS-P J142527.97-365023.4,1.32,radius,Fili15,R_jup
LHS 2924,1.06,radius,Fili15,R_jup
LHS 377,1.24,radius,Fili15,R_jup
2MASS J14392837+1929150,1.03,radius,Fili15,R_jup
LSPM J1440+1339,1.19,radius,Fili15,R_jup
2MASS J14482563+1031590,0.99,radius,Fili15,R_jup
LHS 3003,1.12,radius,Fili15,R_jup
Gliese 570D,0.94,radius,Fili15,R_jup
TVLM 513-46546,1.05,radius,Fili15,R_jup
2MASS J15031961+2525196,0.94,radius,Fili15,R_jup
CFBDS J150411+102717,0.94,radius,Fili15,R_jup
2MASSW J1506544+132106,1.02,radius,Fili15,R_jup
2MASSW J1507476-162738,0.99,radius,Fili15,R_jup
TVLM 868-110639,1.08,radius,Fili15,R_jup
2MASSW J1515008+484742,0.99,radius,Fili15,R_jup
Gl 584C,0.97,radius,Fili15,R_jup
2MASSI J1526140+204341,0.98,radius,Fili15,R_jup
DENIS-P J153941.96-052042.4,1.0,radius,Fili15,R_jup
2MASS J15462718-3325111,0.94,radius,Fili15,R_jup
2MASSW J1552591+294849,1.43,radius,Fili15,R_jup
2MASSW J1555157-095605,1.03,radius,Fili15,R_jup
2MASS J16150413+1340079,0.94,radius,Fili15,R_jup
SDSSp J162414.37+002915.6,0.94,radius,Fili15,R_jup
2MASS J16262034+3925190,1.03,radius,Fili15,R_jup
2MASSW J1632291+190441,0.97,radius,Fili15,R_jup
WISEPA J164715.59+563208.2,0.94,radius,Fili15,R_jup
vB 8,1.17,radius,Fili15,R_jup
LSPM J1658+7027,1.04,radius,Fili15,R_jup
2MASSI J1726000+153819,1.4,radius,Fili15,R_jup
SDSSp J175032.96+175903.9,0.97,radius,Fili15,R_jup
2MASS J18283572-4849046,0.95,radius,Fili15,R_jup
2MASS J18353790+3259545,1.07,radius,Fili15,R_jup
2MASSW J1841086+311727,1.01,radius,Fili15,R_jup
2MASS J18432213+4040209,1.22,radius,Fili15,R_jup
Gliese 752 B,1.13,radius,Fili15,R_jup
2MASS J20004841-7523070,1.88,radius,Fili15,R_jup
SDSS J204749.61-071818.3,0.96,radius,Fili15,R_jup
2MASSI J2057540-025230,1.02,radius,Fili15,R_jup
2MASSI J2104149-103736,1.02,radius,Fili15,R_jup
PSO J318.5338-22.8603,1.41,radius,Fili15,R_jup
2MASS J21265040-8140293,1.39,radius,Fili15,R_jup
HB 2124-4228,1.21,radius,Fili15,R_jup
2MASS J21392676+0220226,0.96,radius,Fili15,R_jup
HN Peg B,1.17,radius,Fili15,R_jup
2MASS J21481628+4003593,0.99,radius,Fili15,R_jup
2MASSW J2206450-421721,1.33,radius,Fili15,R_jup
2MASSW J2208136+292121,1.41,radius,Fili15,R_jup
2MASSW J2224438-015852,0.99,radius,Fili15,R_jup
2MASS J22282889-4310262,0.94,radius,Fili15,R_jup
2MASS J22373255+3922398,1.04,radius,Fili15,R_jup
2MASSW J2244316+204343,1.29,radius,Fili15,R_jup
2MASS J23062928-0502285,1.14,radius,Fili15,R_jup
2MASS J23224684-3133231,1.39,radius,Fili15,R_jup
2MASS J23225299-6151275,1.59,radius,Fili15,R_jup
2MASS J23515044-2537367,1.16,radius,Fili15,R_jup
APMPM J2354-3316C,1.09,radius,Fili15,R_jup
SDSS J000013.54+255418.6,5.02,log g,Fili15,dex
2MASS J00034227-2822410,5.18,log g,Fili15,dex
2MASS J00040288-6410358,4.25,log g,Fili15,dex
2MASS J00242463-0158201,5.22,log g,Fili15,dex
2MASS J00274197+0503417,4.48,log g,Fili15,dex
2MASSW J0030300-145033,5.1,log g,Fili15,dex
2MASS J00332386-1521309,4.47,log g,Fili15,dex
2MASS J00345157+0523050,4.97,log g,Fili15,dex
2MASSW J0036159+182110,5.21,log g,Fili15,dex
HD 3651B,5.16,log g,Fili15,dex
2MASSW J0045214+163445,4.35,log g,Fili15,dex
WISEP J004701.06+680352.1,4.24,log g,Fili15,dex
2MASS J00501994-3322402,4.95,log g,Fili15,dex
2MASS J00584253-0651239,4.46,log g,Fili15,dex
LHS 132,5.22,log g,Fili15,dex
2MASSI J0103320+193536,4.18,log g,Fili15,dex
SDSSp J010752.33+004156.1,5.11,log g,Fili15,dex
GU Psc b,4.17,log g,Fili15,dex
2MASSI J0117474-340325,4.26,log g,Fili15,dex
2MASS J01415823-4633574,4.25,log g,Fili15,dex
SDSS J015141.69+124429.6,5.02,log g,Fili15,dex
SDSS J020742.48+000056.2,5.02,log g,Fili15,dex
2MASS J02103857-3015313,4.16,log g,Fili15,dex
2MASS J02340093-6442068,4.25,log g,Fili15,dex
2MASS J02411151-0326587,4.44,log g,Fili15,dex
2MASSI J0243137-245329,4.99,log g,Fili15,dex
LP 771-21,5.22,log g,Fili15,dex
2MASS J02511327+0047364,5.2,log g,Fili15,dex
