code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Chee19,2019A&A...622A..80C,Cheetham:2019ju,Cheetham et al. (2019),Spectral and orbital characterisation of the directly imaged giant planet HIP 65426 b
Chen11,2011ApJ...738..122C,Chen:2011gz,Chen et al. (2011),A Magellan MIKE and Spitzer MIPS Study of 1.5-1.0 M $_{sun}$ Stars in Scorpius-Centaurus
Chiu06,2006AJ....131.2722C,Chiu:2006jd,Chiu et al. (2006),Seventy-One New L and T Dwarfs from the Sloan Digital Sky Survey
Chiu08,2008MNRAS.385L..53C,Chiu:2008dt,Chiu et al. (2008),Four faint T dwarfs from the UKIRT Infrared Deep Sky Survey (UKIDSS) Southern Stripe
Chri19,2019ApJ...877L..33C,Christiaens:2019db,Christiaens et al. (2019),Evidence for a Circumplanetary Disk around Protoplanet PDS 70 b
Clos02a,2002ApJ...566.1095C,Close:2002fu,Close et al. (2002a),"Discovery of a 0.15'' Binary Brown Dwarf, 2MASS J1426316+155701, with Gemini/Hokupa'a Adaptive Optics"
Clos02b,2002ApJ...567L..53C,Close:2002jp,Close et al. (2002b),An Adaptive Optics Survey of M8-M9 Stars: Discovery of Four Very Low Mass Binaries with at Least One System Containing a Brown Dwarf Companion
Clos03a,2003ApJ...587..407C,Close:2003ie,Close et al. (2003a),Detection of Nine M8.0-L0.5 Binaries: The Very Low Mass Binary Population and Its Implications for Brown Dwarf and Very Low Mass Star Formation
Cost05,2005AJ....130..337C,Costa:2005fd,Costa et al. (2005),The Solar Neighborhood. XIV. Parallaxes from the Cerro Tololo Inter-American Observatory Parallax Investigation-First Results from the 1.5 m Telescope Program
Cost06,2006AJ....132.1234C,Costa:2006gd,Costa et al. (2006),The Solar Neighborhood. XVI. Parallaxes from CTIOPI: Final Results from the 1.5 m Telescope Program
Crep14a,2014ApJ...781...29C,Crepp:2014ce,Crepp et al. (2014a),The TRENDS High-contrast Imaging Survey. V. Discovery of an Old and Cold Benchmark T-dwarf Orbiting the Nearby G-star HD 19467
Crep15,2015ApJ...798L..43C,Crepp:2015gt,Crepp et al. (2015),Direct Spectrum of the Benchmark T Dwarf HD 19467 B
Crep16,2016ApJ...831..136C,Crepp:2016ta,Crepp et al. (2016),"The TRENDS High-contrast Imaging Survey. VI. Discovery of a Mass, Age, and Metallicity Benchmark Brown Dwarf"
Crif05,2005A&A...441..653C,Crifo:2005fz,Crifo et al. (2005),New neighbours. VI. Spectroscopy of DENIS nearby stars candidates
Cros12,2012A&A...548A.119C,Cross:2012jz,Cross et al. (2012),The VISTA Science Archive
Cruz02,2002AJ....123.2828C,Cruz:2002dw,Cruz & Reid (2002),Meeting the Cool Neighbors. III. Spectroscopy of Northern NLTT Stars
Cruz03,2003AJ....126.2421C,Cruz:2003fi,Cruz et al. (2003),Meeting the Cool Neighbors. V. A 2MASS-Selected Sample of Ultracool Dwarfs
Cruz04,2004ApJ...604L..61C,Cruz:2004gz,Cruz et al. (2004),2MASS J05185995-2828372: Discovery of an Unresolved L/T Binary
Cruz07,2007AJ....133..439C,Cruz:2007kb,Cruz et al. (2007),Meeting the Cool Neighbors. IX. The Luminosity Function of M7-L8 Ultracool Dwarfs in the Field
Cruz09,2009AJ....137.3345C,Cruz:2009gs,Cruz Kirkpatrick & Burgasser (2009),"Young L Dwarfs Identified in the Field: A Preliminary Low-Gravity, Optical Spectral Sequence from L0 to L5"
Cuby99,1999A&A...349L..41C,Cuby:1999vj,Cuby et al. (1999),Discovery of a faint field methane brown dwarf from ES0 NTT and VLT observations
Curr14a,2014ApJ...780L..30C,Currie:2014gp,Currie et al. (2014a),"Direct Imaging and Spectroscopy of a Candidate Companion Below/Near the Deuterium-burning Limit in the Young Binary Star System, ROXs 42B"
Curr14b,2014ApJ...787..104C,Currie:2014cf,Currie Burrows & Daemgen (2014),"A First-look Atmospheric Modeling Study of the Young Directly Imaged Planet-mass Companion, ROXs 42Bb"
Curr18,2018AJ....156..291C,Currie:2018hj,Currie et al. (2018),"SCExAO/CHARIS Near-infrared Direct Imaging, Spectroscopy, and Forward-Modeling of κ And b: A Likely Young, Low-gravity Superjovian Companion"
