code_ref,ADSkey_ref,Paperskey_ref,citetext_ref,title_ref
Gate08,2008AJ....136..452G,Gatewood:2008hu,Gatewood (2008),"Astrometric Studies of Aldebaran, Arcturus, Vega, the Hyades, and Other Regions"
Gate09,2009AJ....137..402G,Gatewood:2009cd,Gatewood & Coban (2009),Allegheny Observatory Parallaxes for Late M Dwarfs and White Dwarfs
Gauz12,2012MNRAS.427.2457G,Gauza:2012en,Gauza et al. (2012),A new L dwarf member of the moderately metal poor triple system HD 221356
Gauz15,2015ApJ...804...96G,Gauza:2015fw,Gauza et al. (2015),Discovery of a Young Planetary Mass Companion to the Nearby M Dwarf VHS J125601.92-125723.9
Gauz19,2019MNRAS.487.1149G,Gauza:2019vg,Gauza et al. (2019),A low-mass triple system with a wide L/T transition brown dwarf component: NLTT 51469AB/SDSS 2131-0119
Gawr17,2017MNRAS.466.4211G,Gawronski:2016ki,Gawronski Gozdziewski & Katarzynski (2016),Physical properties and astrometry of radio-emitting brown dwarf TVLM 513-46546 revisited
Geba01,2001ApJ...556..373G,Geballe:2001gk,Geballe et al. (2001),Infrared Observations and Modeling of One of the Coolest T Dwarfs: Gliese 570D
Geba02,2002ApJ...564..466G,Geballe:2002kw,Geballe et al. (2002),Toward Spectral Classification of L and T Dwarfs: Infrared and Optical Spectroscopy and Analysis
Geis11,2011ApJ...732...56G,Geissler:2011gg,Geissler et al. (2011),"A Cross-match of 2MASS and SDSS. II. Peculiar L Dwarfs, Unresolved Binaries, and the Space Density of T Dwarf Secondaries"
Geli06,2006PASP..118..611G,Gelino:2006hi,Gelino Kulkarni & Stephens (2006),Evidence of Orbital Motion in the Binary Brown Dwarf Kelu-1AB
Geli10,2010AJ....140..110G,Gelino:2010dm,Gelino & Burgasser (2010),2MASS J20261584-2943124: an Unresolved L0.5 + T6 Spectral Binary
Geli11,2011AJ....142...57G,Gelino:2011cw,Gelino et al. (2011),WISE Brown Dwarf Binaries: The Discovery of a T5+T5 and a T8.5+T9 System
Geli14,2014AJ....148....6G,Gelino:2014ie,Gelino et al. (2014),WISEP J061135.13-041024.0 AB: A J-band Flux Reversal Binary at the L/T Transition
Geye88,1988AJ.....95.1841G,Geyer:1988bn,Geyer Harrington & Worley (1988),"Parallax, Orbit, and Mass of the Visual Binary L726-8"
Giam86,1986ApJ...305..784G,Giampapa:1986er,Giampapa & Liebert (1986),High-Resolution H alpha Observations of M Dwarf Stars: Implications for Stellar Dynamo Models and Stellar Kinematic Properties at Faint Magnitudes
Gicl59,1959LowOB...4..136G,Giclas:1959ty,Giclas Slaughter & Burnham (1959),Lowell proper motions II : proper motion survey of the Northern Hemisphere with the 13-inch photographic telescope of the Lowell Observatory
Gicl67a,1967LowOB...7....1G,Giclas:1967ui,Giclas Burnham & Thomas (1967a),Lowell proper motions X : proper motion survey of the Northern Hemisphere with the 13-inch photographic telescope of the Lowell Observatory
Gicl71,1971lpms.book.....G,Giclas:1971uk,Giclas Burnham & Thomas (1971),Lowell proper motion survey Northern Hemisphere. The G numbered stars. 8991 stars fainter than magnitude 8 with motions &gt; 0''.26/year
Gill16,2016Natur.533..221G,Gillon:2016hl,Gillon et al. (2016),Temperate Earth-sized planets transiting a nearby ultracool dwarf star
Gilm85,1985MNRAS.213..257G,Gilmore:1985wb,Gilmore Reid & Hewett (1985),New light on faint stars - VII. Luminosity and mass distributions in two high galactic latitude fields.
Gins14b,2014MNRAS.444.2280G,Ginski:2014ef,Ginski et al. (2014b),Astrometric follow-up observations of directly imaged sub-stellar companions to young stars and brown dwarfs
Gira11,2011AJ....142...15G,Girard:2011jo,Girard et al. (2011),The Southern Proper Motion Program. IV. The SPM4 Catalog
Girv11,2011MNRAS.417.1210G,Girven:2011gj,Girven et al. (2011),DA white dwarfs in Sloan Digital Sky Survey Data Release 7 and a search for infrared excess emission
Gizi00a,2000MNRAS.311..385G,Gizis:2000hq,Gizis et al. (2000a),Two nearby M dwarf binaries from the Two Micron All Sky Survey
Gizi00b,2000PASP..112..610G,Gizis:2000do,Gizis & Reid (2000),Hubble Space Telescope Observations of M Subdwarfs
Gizi00c,2000AJ....120.1085G,Gizis:2000kz,Gizis et al. (2000b),New Neighbors from 2MASS: Activity and Kinematics at the Bottom of the Main Sequence
Gizi01a,2001AJ....121.2185G,Gizis:2001jp,Gizis Kirkpatrick & Wilson (2001),A 2MASS L Dwarf Companion to the Nearby K Dwarf GJ 1048
Gizi01b,2001ApJ...551L.163G,Gizis:2001ew,Gizis et al. (2001),Substellar Companions to Main-Sequence Stars: No Brown Dwarf Desert at Wide Separations
Gizi02a,2002AJ....123.3356G,Gizis:2002ej,Gizis Reid & Hawley (2002),"The Palomar/MSU Nearby Star Spectroscopic Survey. III. Chromospheric Activity, M Dwarf Ages, and the Local Star Formation History"
Gizi02b,2002ApJ...575..484G,Gizis:2002je,Gizis (2002),Brown Dwarfs and the TW Hydrae Association
Gizi03,2003AJ....125.3302G,Gizis:2003fj,Gizis et al. (2003),Hubble Space Telescope Observations of Binary Very Low Mass Stars and Brown Dwarfs
Gizi11a,2011ApJ...736L..34G,Gizis:2011fq,Gizis Troup & Burgasser (2011),A Very High Proper Motion Star and the First L Dwarf in the Kepler Field
Gizi11b,2011AJ....142..171G,Gizis:2011jv,Gizis et al. (2011),WISEP J180026.60+013453.1: A nearby late-L Dwarf near the Galactic Plane
Gizi12,2012AJ....144...94G,Gizis:2012kv,Gizis et al. (2012),Discovery of an Unusually Red L-type Brown Dwarf
Gizi13,2013ApJ...779..172G,Gizis:2013ik,Gizis et al. (2013),Kepler Monitoring of an L Dwarf I. The Photometric Period and White Light Flares
Gizi15a,2015ApJ...799..203G,Gizis:2015ey,Gizis et al. (2015a),"WISEP J004701.06+680352.1: An Intermediate Surface Gravity, Dusty Brown Dwarf in the AB Dor Moving Group"
Gizi15b,2015ApJ...813..104G,Gizis:2015ci,Gizis et al. (2015b),Kepler Monitoring of an L Dwarf. II. Clouds with Multi-year Lifetimes
Gizi15c,2015AJ....150..179G,Gizis:2015fa,Gizis Burgasser & Vrba (2015),Properties of the nearby Brown Dwarf WISEP J180026.60+013453.1
Gizi97a,1997AJ....113..806G,Gizis:1997cj,Gizis (1997),M-Subdwarfs: Spectroscopic Classification and the Metallicity Scale
Gizi97b,1997PASP..109..849G,Gizis:1997gq,Gizis & Reid (1997a),Probing the LHS Catalog. I. New Nearby Stars and the Coolest Subdwarf
Gizi97c,1997MNRAS.292L..41G,Gizis:1997vf,Gizis et al. (1997),APMPM J1523-0245: a new high proper motion cool subdwarf
Gizi97d,1997PASP..109.1233G,Gizis:1997ea,Gizis & Reid (1997b),M Subdwarf Secondaries: A Test of the Metallicity Scale
Gold08a,2008A&A...487..277G,Goldman:2008es,Goldman et al. (2008a),CLOUDS search for variability in brown dwarf atmospheres. Infrared spectroscopic time series of L/T transition brown dwarfs
Gold08b,2008A&A...490..763G,Goldman:2008bq,Goldman et al. (2008b),Binarity at the L/T brown dwarf transition. Adaptive optics search for companions
Gold10,2010MNRAS.405.1140G,Goldman:2010ct,Goldman et al. (2010),A new benchmark T8-9 brown dwarf and a couple of new mid-T dwarfs from the UKIDSS DR5+ LAS
Goli04a,2004AJ....127.3516G,Golimowski:2004en,Golimowski et al. (2004a),L' and M' Photometry of Ultracool Dwarfs
Goli04b,2004AJ....128.1733G,Golimowski:2004ba,Golimowski et al. (2004b),The Solar Neighborhood. IX. Hubble Space Telescope Detections of Companions to Five M and L Dwarfs within 10 Parsecs of the Sun
Goli98a,1998AJ....115.2579G,Golimowski:1998be,Golimowski et al. (1998),Wide Field Planetary Camera 2 Observations of the Brown Dwarf Gliese 229B: Optical Colors and Orbital Motion
Goli98b,1998AJ....116..440G,Golimowski:1998gy,Golimowski & Schroeder (1998),Wide Field Planetary Camera 2 Observations of Proxima Centauri: No Evidence of the Possible Substellar Companion
Gome13,2013MNRAS.431.2745G,Gomes:2013eg,Gomes et al. (2013),Two new ultracool benchmark systems from WISE+2MASS
Goto02,2002ApJ...567L..59G,Goto:2002ec,Goto et al. (2002a),Near-Infrared Adaptive Optics Spectroscopy of Binary Brown Dwarfs HD 130948B and HD 130948C
Grec19,2019AJ....158..182G,Greco:2019dj,Greco et al. (2019),Spectroscopic Follow-up of Discoveries from the NEOWISE Proper Motion Survey
Grei07,2007AJ....133.1321G,Greissl:2007cu,Greissl et al. (2007),Hubble Space Telescope NICMOS Observations of NGC 1333: The Ratio of Stars to Substellar Objects
Grif12b,2012AJ....144..148G,Griffith:2012ji,Griffith et al. (2012b),Spitzer Photometry of WISE-selected Brown Dwarf and Hyper-luminous Infrared Galaxy Candidates
Grif98h,1998Obs...118..273G,Griffin:1998vf,Griffin (1998f),Spectroscopic binary orbits from photoelectric radial velocities. Paper 142: Xi Ursae Majoris
Guen01,2001A&A...365..514G,Guenther:2001kd,Guenther et al. (2001),Infrared spectrum and proper motion of the brown dwarf companion of HR 7329 in Tucanae
Haff19,2019NatAs...3..749H,Haffert:2019ba,Haffert et al. (2019),Two accreting protoplanets around the young star PDS 70
Hall02a,2002ApJ...564L..89H,Hall:2002jk,Hall (2002a),2MASSI J1315309-264951: An L Dwarf with Strong and Variable H{ensuremath{alpha}} Emission
Hall02d,2002ApJ...580L..77H,Hall:2002ib,Hall (2002b),2MASS 1315-2649: A High Proper-Motion L Dwarf with Strong H{ensuremath{alpha}} Emission
Hamb01a,2001MNRAS.326.1279H,Hambly:2001be,Hambly et al. (2001a),The SuperCOSMOS Sky Survey - I. Introduction and description
Hamb04a,2004A&A...415..265H,Hambaryan:2004gd,Hambaryan et al. (2004),A new strongly X-ray flaring M 9 dwarf in the solar neighborhood
Hamb04b,2004AJ....128..437H,Hambly:2004jq,Hambly et al. (2004),The Solar Neighborhood. VIII. Discovery of New High Proper Motion Nearby Stars Using the SuperCOSMOS Sky Survey
Haro66,1966VA......8...89H,Haro:1966dj,Haro & Chavira (1966),Flare stars in stellar aggregates of different ages
Harr15,2015csss...18..413H,Harris:2015wn,Harris Dahn & Dupuy (2015),Astrometric Orbits and Masses for Three Low-Mass Binaries
Harr93,1993AJ....105.1571H,Harrington:1993jc,Harrington et al. (1993),U.S. Naval Observatory Photographic Parallaxes List IX
Hash20,2020AJ....159..222H,Hashimoto:2020gn,Hashimoto et al. (2020),Accretion Properties of PDS 70b with MUSE
Hawk88a,1988MNRAS.234..177H,Hawkins:1988vw,Hawkins & Bessell (1988),The luminosity function for low mass stars.
Hawl02,2002AJ....123.3409H,Hawley:2002jc,Hawley et al. (2002),"Characterization of M, L, and T Dwarfs in the Sloan Digital Sky Survey"
Henr04,2004AJ....128.2460H,Henry:2004jj,Henry et al. (2004),The Solar Neighborhood. X. New Nearby Stars in the Southern Sky and Accurate Photometric Distance Estimates for Red Dwarfs
Henr06,2006AJ....132.2360H,Henry:2006jp,Henry et al. (2006),The Solar Neighborhood. XVII. Parallax Results from the CTIOPI 0.9 m Program: 20 New Members of the RECONS 10 Parsec Sample
Henr18,2018AJ....155..265H,Henry:2018gh,Henry et al. (2018),The Solar Neighborhood XLIV: RECONS Discoveries within 10 parsecs
Henr90,1990ApJ...354L..29H,Henry:1990ct,Henry & Kirkpatrick (1990),The Companion to Gliese 569
Henr93,1993AJ....106..773H,Henry:1993je,Henry & McCarthy (1993),The Mass-Luminosity Relation for Stars of Mass 1.0 to 0.08M(solar)
Henr94,1994AJ....108.1437H,Henry:1994dc,Henry et al. (1994),The Solar Neighborhood. I. Standard Spectral Types (K5-M8) for Northern Dwarfs Within Eight Parsecs
Henr97,1997AJ....114..388H,Henry:1997bo,Henry et al. (1997),The solar neighborhood IV: discovery of the twentieth nearest star
Hern16,2016Natur.533..366H,HernandezSantisteban:2016cr,Hernández Santisteban et al. (2016),An irradiated brown-dwarf companion to an accreting white dwarf
Hewe06,2006MNRAS.367..454H,Hewett:2006hy,Hewett et al. (2006),The UKIRT Infrared Deep Sky Survey ZY JHK photometric system: passbands and synthetic colours
Hink13b,2013ApJ...779..153H,Hinkley:2013ko,Hinkley et al. (2013b),"The {ensuremath{kappa}} Andromedae System: New Constraints on the Companion Mass, System Age, and Further Multiplicity"
Hink15,2015ApJ...805L..10H,Hinkley:2015gk,Hinkley et al. (2015),"Early Results from VLT SPHERE: Long-slit Spectroscopy of 2MASS 0122-2439 B, a Young Companion Near the Deuterium Burning Limit"
Hog_00a,2000A&A...355L..27H,Hog:2000wk,Høg et al. (2000a),The Tycho-2 catalogue of the 2.5 million brightest stars
Hog_98,1998A&A...335L..65H,Hog:1998vp,Høg et al. (1998),The TYCHO Reference Catalogue
Hoga08,2008MNRAS.388..495H,Hogan:2008ha,Hogan et al. (2008),L dwarfs in the Hyades
Huel10a,2010A&A...521L..54H,Huelamo:2010cx,Huélamo et al. (2010a),A brown dwarf companion to the intermediate-mass star HR 6037
Huel15b,2015A&A...578A...1H,Huelamo:2015fz,Huélamo et al. (2015b),WISE J061213.85-303612.5: a new T-dwarf binary candidate
Iann95,1995ApJ...441L..47I,Ianna:1995hr,Ianna & Fredrick (1995),The Brown Dwarf Candidate ESO 207-61: Its Distance and Very Low Luminosity
Ingr14,2014ApJ...794L..15I,Ingraham:2014gx,Ingraham et al. (2014),Gemini Planet Imager Spectroscopy of the HR 8799 Planets c and d
Inne15,1915CiUO...30..235I,Innes:1915we,Innes (1915),A Faint Star of Large Proper Motion
Irel08,2008ApJ...678..463I,Ireland:2008kr,Ireland et al. (2008),Dynamical Mass of GJ 802B: A Brown Dwarf in a Triple System
Irel11a,2011ApJ...726..113I,Ireland:2011id,Ireland et al. (2011),Two Wide Planetary-mass Companions to Solar-type Stars in Upper Scorpius
Irel14,2014IAUS..299..199I,Ireland:2014jm,Ireland & Kraus (2014),Orbital Motion and Multi-Wavelength Monitoring of LkCa15 b
Irwi91,1991MNRAS.252P..61I,Irwin:1991wf,Irwin McMahon & Reid (1991),A star of exceedingly low luminosity.
Isel19,2019ApJ...879L..25I,Isella:2019em,Isella et al. (2019),Detection of Continuum Submillimeter Emission Associated with Candidate Protoplanets
Itoh05,2005ApJ...620..984I,Itoh:2005ii,Itoh et al. (2005),A Young Brown Dwarf Companion to DH Tauri
Jame08a,2008MNRAS.384.1399J,Jameson:2008ha,Jameson et al. (2008a),Proper motions of field L and T dwarfs
Jans11,2011ApJ...728...85J,Janson:2011dh,Janson et al. (2011),Near-infrared Multi-band Photometry of the Substellar Companion GJ 758 B
Jans12,2012ApJ...758L...2J,Janson:2012cl,Janson et al. (2012d),New Brown Dwarf Companions to Young Stars in Scorpius-Centaurus
Jans13d,2013ApJ...778L...4J,Janson:2013dz,Janson et al. (2013c),Direct Imaging Detection of Methane in the Atmosphere of GJ 504 b
Jaya03,2003AJ....126.1515J,Jayawardhana:2003et,Jayawardhana et al. (2003),A Disk Census for Young Brown Dwarfs
Jaya06b,2006Sci...313.1279J,Jayawardhana:2006hg,Jayawardhana & Ivanov (2006b),Discovery of a Young Planetary-Mass Binary
Jenk09b,2009ApJ...704..975J,Jenkins:2009ea,Jenkins et al. (2009b),Rotational Velocities for M Dwarfs
Joy_74,1974ApJS...28....1J,Joy:1974eu,Joy & Abt (1974),Spectral Types of M Dwarf Stars
Kaka10,2010ApJ...723..184K,Kakazu:2010je,Kakazu et al. (2010),Hawaii Quasar and T Dwarf Survey. I. Method and Discovery of Faint Field Ultracool Dwarfs
Kasp07a,2007A&A...471..655K,Kasper:2007et,Kasper et al. (2007a),The very nearby M/T dwarf binary SCR 1845-6357
Kell15,2015AJ....150..182K,Kellogg:2015cf,Kellogg et al. (2015),"A Targeted Search for Peculiarly Red L and T Dwarfs in SDSS, 2MASS, and WISE: Discovery of a Possible L7 Member of the TW Hydrae Association"
Kell16,2016ApJ...821L..15K,Kellogg:2016fo,Kellogg et al. (2016),The Nearest Isolated Member of the TW Hydrae Association is a Giant Planet Analog
Kell17,2017AJ....154..112K,Kellogg:2017kh,Kellogg et al. (2017b),"A Statistical Survey of Peculiar L and T Dwarfs in SDSS, 2MASS, and WISE"
Kend03a,2003A&A...403..929K,Kendall:2003bd,Kendall et al. (2003),Serendipitous discovery of seven new southern L-dwarfs
Kend04,2004A&A...416L..17K,Kendall:2004kb,Kendall et al. (2004),Discovery of very nearby ultracool dwarfs from DENIS
Kend07a,2007MNRAS.374..445K,Kendall:2007fd,Kendall et al. (2007a),"New nearby, bright southern ultracool dwarfs"
Kend07b,2007A&A...466.1059K,Kendall:2007hi,Kendall et al. (2007b),Two T dwarfs from the UKIDSS early data release
Kenw01,2001ApJ...554L..67K,Kenworthy:2001kr,Kenworthy et al. (2001),Gliese 569B: A Young Multiple Brown Dwarf System?
Kepp18,2018A&A...617A..44K,Keppler:2018dd,Keppler et al. (2018),Discovery of a planetary-mass companion within the gap of the transition disk around PDS 70
King10,2010A&A...510A..99K,King:2010iu,King et al. (2010),"{ensuremath{in}} Indi Ba, Bb: a detailed study of the nearest known brown dwarfs"
Kirk00,2000AJ....120..447K,Kirkpatrick:2000gi,Kirkpatrick et al. (2000),67 Additional L Dwarfs Discovered by the Two Micron All Sky Survey
Kirk01a,2001AJ....121.3235K,Kirkpatrick:2001bi,Kirkpatrick et al. (2001a),Brown Dwarf Companions to G-Type Stars. I. Gliese 417B and Gliese 584C
Kirk01b,2001PASP..113..814K,Kirkpatrick:2001cy,Kirkpatrick et al. (2001b),Three Newly Discovered M-Dwarf Companions of Solar Neighborhood Stars
Kirk05,2005ARA&A..43..195K,Kirkpatrick:2005cv,Kirkpatrick (2005),New Spectral Types L and T
Kirk06,2006ApJ...639.1120K,Kirkpatrick:2006hb,Kirkpatrick et al. (2006),"Discovery of a Very Young Field L Dwarf, 2MASS J01415823-4633574"
Kirk08,2008ApJ...689.1295K,Kirkpatrick:2008ec,Kirkpatrick et al. (2008),A Sample of Very Young Field L Dwarfs and Implications for the Brown Dwarf ``Lithium Test'' at Early Ages
Kirk10,2010ApJS..190..100K,Kirkpatrick:2010dc,Kirkpatrick et al. (2010),Discoveries from a Near-infrared Proper Motion Survey Using Multi-epoch Two Micron All-Sky Survey Data
Kirk11,2011ApJS..197...19K,Kirkpatrick:2011ey,Kirkpatrick et al. (2011),The First Hundred Brown Dwarfs Discovered by the Wide-field Infrared Survey Explorer (WISE)
Kirk12,2012ApJ...753..156K,Kirkpatrick:2012ha,Kirkpatrick et al. (2012),Further Defining Spectral Type ``Y'' and Exploring the Low-mass End of the Field Brown Dwarf Mass Function
Kirk13b,2013ApJ...776..128K,Kirkpatrick:2013ky,Kirkpatrick et al. (2013),Discovery of the Y1 Dwarf WISE J064723.23-623235.5
Kirk14,2014ApJ...783..122K,Kirkpatrick:2014kv,Kirkpatrick et al. (2014),The AllWISE Motion Survey and the Quest for Cold Subdwarfs
Kirk16,2016ApJS..224...36K,Kirkpatrick:2016jt,Kirkpatrick et al. (2016),"The AllWISE Motion Survey, Part 2"
Kirk19,2019ApJS..240...19K,Kirkpatrick:2019kt,Kirkpatrick et al. (2019),"Preliminary Trigonometric Parallaxes of 184 Late-T and Y Dwarfs and an Analysis of the Field Substellar Mass Function into the ""Planetary"" Mass Regime"
Kirk91,1991ApJS...77..417K,Kirkpatrick:1991da,Kirkpatrick Henry & McCarthy (1991),A Standard Stellar Spectral Sequence in the Red/Near-Infrared: Classes K5 to M9
Kirk93b,1993ApJ...406..701K,Kirkpatrick:1993fs,Kirkpatrick Henry & Liebert (1993),The Unique Spectrum of the Brown Dwarf Candidate GD 165B and Comparison to the Spectra of Other Low-Luminosity Objects
Kirk94,1994ApJS...94..749K,Kirkpatrick:1994bl,Kirkpatrick et al. (1994),"The Luminosity Function at the End of the Main Sequence: Results of a Deep, Large-Area, CCD Survey for Cool Dwarfs"
Kirk95,1995AJ....109..797K,Kirkpatrick:1995cl,Kirkpatrick Henry & Simons (1995),The Solar Neighborhood. II. The First List of Dwarfs with Spectral Types of M7 and Cooler
Kirk97a,1997ApJ...476..311K,Kirkpatrick:1997va,Kirkpatrick Beichman & Skrutskie (1997),The Coolest Isolated M Dwarf and Other 2MASS Discoveries
Kirk97b,1997AJ....113.1421K,Kirkpatrick:1997kt,Kirkpatrick Henry & Irwin (1997),Ultra-Cool M Dwarfs Discovered by QSO Surveys.I: The APM Objects
Kirk99a,1999ApJ...519..802K,Kirkpatrick:1999ev,Kirkpatrick et al. (1999a),Dwarfs Cooler than ``M``: The Definition of Spectral Type ``L'' Using Discoveries from the 2 Micron All-Sky Survey (2MASS)
Knap04,2004AJ....127.3553K,Knapp:2004ji,Knapp et al. (2004),"Near-Infrared Photometry and Spectroscopy of L and T Dwarfs: The Effects of Temperature, Clouds, and Gravity"
Knia13,2013ApJ...770..124K,Kniazev:2013kj,Kniazev et al. (2013),Characterization of the nearby L/T Binary Brown Dwarf WISE J104915.57-531906.1 at 2 pc from the Sun
Koen17,2017MNRAS.465.4723K,Koen:2017ew,Koen et al. (2017),Optical spectra of ultracool dwarfs with the Southern African Large Telescope
Koer99,1999ApJ...526L..25K,Koerner:1999fb,Koerner et al. (1999),Keck Imaging of Binary L Dwarfs
Kohl12,2012A&A...541A..29K,Kohler:2012gc,Köhler et al. (2012),Orbits and masses in the multiple system LHS 1070
Kono10,2010ApJ...711.1087K,Konopacky:2010kr,Konopacky et al. (2010),High-precision Dynamical Masses of Very Low Mass Binaries
Kono13,2013Sci...339.1398K,Konopacky:2013jv,Konopacky et al. (2013),Detection of Carbon Monoxide and Water Absorption Lines in an Exoplanet Atmosphere
Kopy14,2014ApJ...797....3K,Kopytova:2014hd,Kopytova et al. (2014),Deep z-band Observations of the Coolest Y Dwarf
Kore16,2016AJ....151...57K,Koren:2016cy,Koren et al. (2016),The Low-mass Astrometric Binary LSR 1610-0040 
Kouw05,2005A&A...430..137K,Kouwenhoven:2005jf,Kouwenhoven et al. (2005),The primordial binary population.  I. A near-infrared adaptive optics search for close visual companions to A star members of Scorpius OB2
Krau09a,2009ApJ...703.1511K,Kraus:2009hc,Kraus & Hillenbrand (2009a),Unusually Wide Binaries: Are They Wide or Unusual?
Krau12,2012ApJ...745....5K,Kraus:2012gk,Kraus & Ireland (2012),LkCa 15: A Young Exoplanet Caught at Formation?
Krau14a,2014ApJ...781...20K,Kraus:2014hk,Kraus et al. (2014a),"Three Wide Planetary-mass Companions to FW Tau, ROXs 12, and ROXs 42B"
Krau14b,2014AJ....147..146K,Kraus:2014ka,Kraus et al. (2014b),A Stellar Census of the Tucana-Horologium Moving Group
Kuzu11,2011AJ....141..119K,Kuzuhara:2011ic,Kuzuhara et al. (2011),The Widest-separation Substellar Companion Candidate to a Binary T Tauri Star
Kuzu13,2013ApJ...774...11K,Kuzuhara:2013jz,Kuzuhara et al. (2013),Direct Imaging of a Cold Jovian Exoplanet in Orbit around the Sun-like Star GJ 504
Lach15,2015ApJ...802...61L,Lachapelle:2015cx,Lachapelle et al. (2015),"Characterization of Low-mass, Wide-separation Substellar Companions to Stars in Upper Scorpius: Near-infrared Photometry and Spectroscopy"
Lafr08,2008ApJ...689L.153L,Lafreniere:2008jt,"Lafrenière, Jayawardhana, & van Kerkwijk (2008)",Direct Imaging and Spectroscopy of a Planetary-Mass Candidate Companion to a Young Solar Analog
Lafr10,2010ApJ...719..497L,Lafreniere:2010cp,Lafrenière et al. (2010),"The directly imaged planet around the young solar analog 1RXS J160929.1 - 210524: confirmation of common proper motion, temperature, and mass."
Lafr11,2011ApJ...730...42L,Lafreniere:2011dh,Lafrenière et al. (2011),Discovery of an raisebox{-0.5ex}textasciitilde23 M $_{Jup}$ Brown Dwarf Orbiting raisebox{-0.5ex}textasciitilde700 AU from the Massive Star HIP 78530 in Upper Scorpius
Lagr10,2010Sci...329...57L,Lagrange:2010fs,Lagrange et al. (2010),A Giant Planet Imaged in the Disk of the Young Star {ensuremath{beta}} Pictoris
Lane01,2001ApJ...560..390L,Lane:2001ib,Lane et al. (2001),The Orbit of the Brown Dwarf Binary Gliese 569B
Lavi09,2009ApJ...704.1098L,,Lavigne et al. (2009),Near-Infrared Observations of GQ Lup b Using the Gemini Integral Field Spectrograph NIFS
Law_06,2006MNRAS.368.1917L,Law:2006dm,Law Hodgkin & Mackay (2006),"Discovery of five very low mass close binaries, resolved in the visible with lucky imaging$^{*}$"
Lawr07,2007MNRAS.379.1599L,Lawrence:2007hu,Lawrence et al. (2007),The UKIRT Infrared Deep Sky Survey (UKIDSS)
Lawr12,2012yCat.2314....0L,Lawrence:2012wh,Lawrence et al. (2012),"VizieR Online Data Catalog: UKIDSS-DR8 LAS, GCS and DXS Surveys (Lawrence+ 2012)"
Lazo18,2018A&A...618A.111L,Lazorenko:2018bo,Lazorenko & Sahlmann (2018),Updated astrometry and masses of the LUH 16 brown dwarf binary 
Legg00b,2000ApJ...536L..35L,Leggett:2000ja,Leggett et al. (2000b),The Missing Link: Early Methane (``T'') Dwarfs in the Sloan Digital Sky Survey
Legg02a,2002ApJ...564..452L,Leggett:2002cd,Leggett et al. (2002a),"Infrared Photometry of Late-M, L, and T Dwarfs"
Legg02b,2002MNRAS.332...78L,Leggett:2002hx,Leggett et al. (2002b),Atmospheric analysis of the M/L and M/T dwarf binary systems LHS 102 and Gliese 229
Legg06,2006MNRAS.373..781L,Leggett:2006ff,Leggett et al. (2006),JHK observations of faint standard stars in the Mauna Kea Observatories near-infrared photometric system
Legg08,2008ApJ...682.1256L,Leggett:2008kq,Leggett et al. (2008),HN Peg B: A Test of Models of the L to T Dwarf Transition
Legg09,2009ApJ...695.1517L,Leggett:2009jf,Leggett et al. (2009),The Physical Properties of Four raisebox{-0.5ex}textasciitilde600 K T Dwarfs
Legg10a,2010ApJ...710.1627L,Leggett:2010cl,Leggett et al. (2010a),"Mid-Infrared Photometry of Cold Brown Dwarfs: Diversity in Age, Mass, and Metallicity"
Legg10b,2010ApJ...720..252L,Leggett:2010fe,Leggett et al. (2010b),Properties of the T8.5 Dwarf Wolf 940 B
Legg12,2012ApJ...748...74L,Leggett:2012gg,Leggett et al. (2012),The Properties of the 500 K Dwarf UGPS J072227.51-054031.2 and a Study of the Far-red Flux of Cold Brown Dwarfs
Legg13,2013ApJ...763..130L,Leggett:2013dq,Leggett et al. (2013),A Comparison of Near-infrared Photometry and Spectra for Y Dwarfs with a New Generation of Cool Cloudy Models
Legg14,2014ApJ...780...62L,Leggett:2014kz,Leggett et al. (2014),Resolved Spectroscopy of the T8.5 and Y0-0.5 Binary WISEPC J121756.91+162640.2AB
Legg15,2015ApJ...799...37L,Leggett:2015dn,Leggett et al. (2015),Near-infrared Photometry of Y Dwarfs: Low Ammonia Abundance and the Onset of Water Clouds
Legg16,2016ApJ...824....2L,Leggett:2016fq,Leggett et al. (2016a),Near-infrared Spectroscopy of the Y0 WISEP J173835.52+273258.9 and the Y1 WISE J035000.32-565830.2: The Importance of Non-equilibrium Chemistry
Legg17,2017ApJ...842..118L,Leggett:2017ee,Leggett et al. (2017),"The Y-type Brown Dwarfs: Estimates of Mass and Age from New Astrometry, Homogenized Photometry, and Near-infrared Spectroscopy"
Legg19,2019ApJ...882..117L,Leggett:2019wv,Leggett et al. (2019),3.8 {ensuremath{mu}}m Imaging of 400-600 K Brown Dwarfs and Orbital Constraints for WISEP J045853.90+643452.6AB
Legg92,1992ApJS...82..351L,Leggett:1992dk,Leggett (1992),Infrared Colors of Low-Mass Stars
Legg96,1996ApJS..104..117L,Leggett:1996eb,Leggett et al. (1996),Infrared Spectra of Low-Mass Stars: Toward a Temperature Scale for Red Dwarfs
Legg98,1998ApJ...509..836L,Leggett:1998jp,Leggett Allard & Hauschildt (1998),Infrared Colors at the Stellar/Substellar Boundary
Lein00,2000A&A...353..691L,Leinert:2000ud,Leinert et al. (2000),The multiple system LHS 1070: a case study for the onset of dust formation in the atmospheres of very low mass stars
