name,ref_discovery,flag,ref_flag,exoplanet,multiple_unresolved_in_this_table,multiple_resolved_in_this_table,has_higher_mass_companion,sep_companion,Best20b_vollim_sample,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,designation_P1_formula,ra_j2000_P1,dec_j2000_P1,ra_epoch_P1,dec_epoch_P1,epoch_mjd_P1,ref_radec_P1,g_P1,gerr_P1,g_nphot_P1,g_src_P1,ref_g_P1,r_P1,rerr_P1,r_nphot_P1,r_src_P1,ref_r_P1,i_P1,ierr_P1,i_nphot_P1,i_src_P1,ref_i_P1,z_P1,zerr_P1,z_nphot_P1,z_src_P1,ref_z_P1,y_P1,yerr_P1,y_nphot_P1,y_src_P1,ref_y_P1,G_BP_DR2,G_BPerr_DR2,G_DR2,Gerr_DR2,G_RP_DR2,G_RPerr_DR2,designation_2mass,ra_epoch_2mass,dec_epoch_2mass,epoch_2mass,J_2MASS,Jerr_2MASS,ref_J_2MASS,H_2MASS,Herr_2MASS,ref_H_2MASS,Ks_2MASS,Kserr_2MASS,ref_Ks_2MASS,Cflg_2MASS,designation_ukidss,Y_MKO,Yerr_MKO,ref_Y_MKO,J_MKO,Jerr_MKO,ref_J_MKO,H_MKO,Herr_MKO,ref_H_MKO,K_MKO,Kerr_MKO,ref_K_MKO,designation_WISE,ra_j2000_allwise,dec_j2000_allwise,ra_epoch_allwise,dec_epoch_allwise,W1,W1err,W2,W2err,W3,W3err,W4,W4err,ref_WISE,cc_flg_WISE,nb_WISE,neigh_WISE,ch1,ch1err,ch2,ch2err,ref_Spitzer,plx_formula,plxerr_formula,ref_plx_formula,pmra_formula,pmraerr_formula,pmdec_formula,pmdecerr_formula,ref_pm_formula,plx_lit,plxerr_lit,ref_plx_lit,pmra_lit,pmraerr_lit,pmdec_lit,pmdecerr_lit,pm_lit,pmerr_lit,angle_lit,angleerr_lit,ref_pm_lit,plx_UKIRT,plxerr_UKIRT,pmra_UKIRT,pmraerr_UKIRT,pmdec_UKIRT,pmdecerr_UKIRT,ref_plx_UKIRT,GaiaDetect_DR2,ra_j2000_dr2,dec_J2000_dr2,ra_epoch_dr2,dec_epoch_dr2,plx_DR2,plxerr_DR2,pmra_DR2,pmraerr_DR2,pmdec_DR2,pmdecerr_DR2,RUWE_DR2,excessNoise_DR2,excessNoisesig_DR2,nep_DR2,sourceID_DR2,pmra_P1,pmraerr_P1,pmdec_P1,pmdecerr_P1,ref_pm_P1,grav_opt,ref_grav_opt,grav_ir,ref_grav_ir,youth,spt_opt,ref_spt_opt,spt_ir,ref_spt_ir,sptnum_opt_formula,sptnum_ir_formula,sptnum_formula,sptnumabs_formula,dist_plx_formula,disterr_plx_formula,sptnum_photdist_formula,MJ_2MASS_formula,dist_J_2MASS_formula,disterr_J_2MASS_formula,MJ_MKO_formula,dist_J_MKO_formula,disterr_J_MKO_formula,MKs_2MASS_formula,dist_Ks_2MASS_formula,disterr_Ks_2MASS_formula,MK_MKO_formula,dist_K_MKO_formula,disterr_K_MKO_formula,MW2_formula,dist_W2_formula,disterr_W2_formula,dist_formula,disterr_formula,dist1sig_formula,dist_formula_source,note,name_simbad,ra_j2000_simbad,dec_j2000_simbad,ref_radec_j2000_simbad,pmra_simbad,pmraerr_simbad,pmdec_simbad,pmdecerr_simbad,ref_pm_simbad,plx_simbad,plxerr_simbad,ref_plx_simbad,identifiers_simbad,firstref_simbad,rv_lit,rverr_lit,ref_rv_lit,rv_note_lit,pmra_P1_PV34,pmraerr_P1_PV34,pmdec_P1_PV34,pmdecerr_P1_PV34,ref_pm_P1_PV34,ukidss_survey,ra_ukidss,dec_ukidss,epoch_mjd_ukidss,ra_j2000_ukidss,dec_j2000_ukidss,Y_ukidss,Yerr_ukidss,J_ukidss,Jerr_ukidss,H_ukidss,Herr_ukidss,K_ukidss,Kerr_ukidss,banyan_sigma_results,banyan_sigma_max_hypo_young,banyan_sigma_max_prob_young,banyan_sigma_input_params,ra_today_formula,dec_today_formula,source_radec_today_formula
WISEPA J022105.94+384202.9,Kirk11,null,null,N,N,N,N,NaN,N,35.2750,38.7008,AllWISE,PSO J035.2748+38.7009,NaN,NaN,35.2749,38.7010,55961.22,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,17.590,0.120,Kirk11,17.450,0.150,Kirk11,16.950,0.170,Kirk11,null,null,NaN,NaN,null,17.240,0.020,Best20a,NaN,NaN,null,NaN,NaN,null,WISEA J022105.99+384203.0,35.2749803,38.7008374,35.2749929,38.7008388,16.730,0.081,14.812,0.058,12.073,NaN,9.125,NaN,Cutr13,0000,1,0,15.93,0.03,14.86,0.02,Kirk11,37.7,2,Best20a,133.9,1.7,-27.2,1.5,Best20a,36.00,4.10,Kirk19,139.60,1.90,-21.70,1.80,141.28,1.90,98.84,0.73,Kirk19,37.7,2.0,133.9,1.7,-27.2,1.5,Best20a,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T6.5,Kirk11,NaN,26.5,26.5,26.5,26.5,1.4,26.5,15.31,28.61,5.50,15.03,27.72,5.49,15.36,20.80,5.70,NaN,NaN,NaN,12.98,23.21,2.12,26.5,1.4,25.1,dist_plx_formula,2MASS system photometry from 2MASS camera/Bigelow.,WISE J022105.97+384203.2,35.2749,38.7009,2012yCat.2311....0C,152.00,258.00,378.00,246.00,2011ApJS..197...19K,NaN,NaN,null,WISEP J022105.94+384202.9|WISE J022105.97+384203.2|EQ J0221+3842,2011ApJS..197...19K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.5%); ARG (0.5%),ARG,0.00,pm+trig-plx,35.2760,38.7007,AllWISE; Best20a
2MASS J02212859-6831400,Reid08b,lowg,Reid08b;Fahe12,N,N,N,N,NaN,N,35.3695,-68.5277,DR2,null,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,20.732,0.017,NaN,NaN,2MASS J02212859-6831400,35.369158,-68.527802,1999-11-21,13.965,0.033,Cutr03,13.275,0.037,Cutr03,12.806,0.037,Cutr03,000,null,NaN,NaN,null,13.890,0.030,Fahe12,13.300,0.030,Fahe12,12.770,0.040,Fahe12,WISEA J022128.72-683140.0,35.3696856,-68.5278014,35.3696800,-68.5277993,12.490,0.024,12.200,0.022,11.462,0.112,9.361,NaN,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,25,4,Fahe12,54,4,14,5,Fahe12,25.40,3.60,Fahe12,53.90,4.40,13.70,4.50,55.61,4.41,75.74,4.63,Fahe12,NaN,NaN,NaN,NaN,NaN,NaN,null,O,35.3695077,-68.5277387,35.3695077,-68.5277387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4693823801924901632,NaN,NaN,NaN,NaN,null,beta,Fahe16,null,null,lowg,M8 beta,Fahe16,null,null,8,NaN,8,8,40,6,8.0,10.99,39.39,6.92,11.06,36.85,5.45,9.81,39.79,6.81,9.98,36.08,4.86,9.36,37.02,6.15,40,6,34,dist_plx_formula,null,DENIS J022128.5-683140,35.3693,-68.5278,2018yCat.1345....0G,66.21,0.51,5.77,0.42,2018yCat.1345....0G,13.84,0.27,2018yCat.1345....0G,DENIS J022128.5-683140|2MASS J02212859-6831400|WISE J022128.69-683140.0|Gaia DR2 4693823801926111360,2008AJ....136.1290R,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (87.2%); ABDMG (10.4%); BPMG (2.4%),ABDMG,0.10,pm+trig-plx,35.3704,-68.5277,DR2; Fahe12
WISEPC J022322.39-293258.1,Kirk11,null,null,N,N,N,N,NaN,Y,35.8433,-29.5493,AllWISE,PSO J035.8437-29.5496,NaN,NaN,35.8437,-29.5496,56163.64,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,17.341,0.153,Kirk11,16.850,0.163,Kirk11,16.940,NaN,Kirk11,null,null,18.082,0.071,Best20b,17.100,0.050,Kirk11,17.304,0.114,Kirk11,17.593,0.076,Best20b,WISEA J022322.38-293257.3,35.8432548,-29.5492588,35.8432784,-29.5492689,16.870,0.083,14.021,0.035,12.647,0.393,9.428,NaN,Cutr13,0000,1,0,15.81,0.03,14.01,0.02,Kirk11,80.7,2.6,Kirk19,780.2,1.1,-535.1,1.5,Kirk19,80.70,2.60,Kirk19,780.20,1.10,-535.10,1.50,946.07,1.24,124.44,0.08,Kirk19,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T7.5,Kirk11,NaN,27.5,27.5,27.5,12.4,0.4,27.5,16.04,18.19,3.59,15.84,17.90,3.57,16.10,14.75,NaN,16.39,17.41,4.29,13.27,14.13,1.26,12.4,0.4,12,dist_plx_formula,2MASS system photometry from PAIRITEL. Target for NPARSEC program (Smar13).,WISEP J022322.39-293258.1,35.8432,-29.5492,2012yCat.2311....0C,464.00,250.00,-361.00,213.00,2011ApJS..197...19K,NaN,NaN,null,WISEP J022322.39-293258.1|WISE J022322.36-293257.2|EQ J0223-2932,2011ApJS..197...19K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),ABDMG,0.00,pm+trig-plx,35.8484,-29.5524,AllWISE; Kirk19
WISEPA J022623.98-021142.8,Kirk11,null,null,N+N,Y: Kirk19,N,N,NaN,Y,36.6000,-2.1952,AllWISE,null,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,18.940,0.120,Kirk11,19.100,NaN,Kirk11,NaN,NaN,Kirk11,null,null,NaN,NaN,null,18.410,0.020,Best20a,18.880,0.100,Kirk19,NaN,NaN,null,WISEA J022623.99-021142.7,36.5999736,-2.1951994,36.5999826,-2.1951879,17.413,0.131,14.518,0.047,12.603,NaN,9.131,NaN,Cutr13,0000,1,0,16.61,0.04,14.63,0.02,Kirk11,51.1,2.3,Best20a,-291.8,1.8,-433.5,1.4,Best20a,57.30,4.70,Kirk19,-294.90,2.10,-436.90,1.70,527.11,1.83,214.02,0.22,Kirk19,51.1,2.3,-291.8,1.8,-433.5,1.4,Best20a,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T7,Kirk11,NaN,27,27,27,19.6,0.9,28.5,17.19,NaN,NaN,17.03,19.17,3.80,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19.6,0.9,18.7,dist_plx_formula,null,WISE J022623.98-021142.8,36.5999,-2.1952,2012yCat.2311....0C,204.00,311.00,198.00,300.00,2011ApJS..197...19K,NaN,NaN,null,WISEP J022623.98-021142.8|WISE J022623.98-021142.8|EQ J0226-0211,2011ApJS..197...19K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),TAU,0.00,pm+trig-plx,36.5983,-2.1977,AllWISE; Best20a
2MASSW J0228110+253738,Wils03,null,null,N,N,N,N,NaN,N,37.0472,25.6271,DR2,PSO J037.0468+25.6271,37.0460,25.6273,37.0469,25.6271,55990.54,Magn20,NaN,NaN,NaN,null,null,20.57,0.02,13,C,Cham16,18.17,0.01,15,C,Cham16,16.71,0.00,13,C,Cham16,15.76,0.01,11,C,Cham16,21.271,0.269,18.942,0.013,16.979,0.019,2MASS J02281101+2537380,37.045888,25.627226,1998-10-03,13.839,0.027,Cutr03,12.993,0.025,Cutr03,12.471,0.025,Cutr03,000,null,14.843,0.054,Best20b,13.760,0.020,Best20a,13.060,0.025,Best20b,12.456,0.025,Best20b,WISEA J022811.22+253737.7,37.0467646,25.6271527,37.0467663,25.6271527,12.133,0.024,11.888,0.022,11.360,0.158,8.866,NaN,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,30,0.5,Dahn17,244.62,0.2,-29.6,0.4,Dahn17,30.03,0.46,Dahn17,244.62,0.20,-29.60,0.43,246.40,0.20,96.90,0.10,Dahn17,28.7,2.7,242.3,2.8,-33.1,3.2,Best20a,O,37.0471571,25.6271230,37.0471571,25.6271230,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,103183535564874496,244.9,1.9,-30.9,1.9,Best18,null,null,null,null,N,L0:,Cruz03,L0,Wils03,10,10,10,10,33.3,0.6,10.0,11.62,27.82,4.88,11.52,28.05,4.14,10.40,25.97,4.43,10.36,26.22,3.51,9.83,25.81,4.29,33.3,0.6,32.7,dist_plx_formula,null,2MASSI J0228110+253738,37.0459,25.6272,2003yCat.2246....0C,257.00,17.00,-14.00,14.00,2008MNRAS.384.1399J,30.03,0.46,2017AJ....154..147D,2MASS J02281101+2537380|2MASSI J0228110+253738|2MASSW J0228110+253738|SDSS J022811.13+253737.9|WISEA J022811.22+253737.7|WISEP J022811.20+253737.8|WISE J022811.21+253737.8|Gaia DR2 103183535564874496,2003IAUS..211..197W,23.07,0.21,2010ApJ...723..684B,rv_simbad,243.07,2.59,-33.30,1.99,Magn20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,HYA (89.0%); FIELD (11.0%),HYA,0.89,pm+trig-plx+rv,37.0487,25.6270,DR2; Dahn17
WISE J023318.05+303030.5,Mace13a,null,null,N,N,N,N,NaN,N,38.3257,30.5086,PS1,PSO J038.3251+30.5084,38.3257,30.5086,38.3252,30.5084,56238.07,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,20.82,0.04,4,C,Cham16,19.17,0.04,9,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,2MASS J02331819+3030308,38.325822,30.508583,1997-12-17,16.852,0.144,Cutr03,17.182,NaN,Cutr03,17.042,NaN,Cutr03,000,null,17.538,0.055,Best20b,16.520,0.020,Best20a,16.790,0.020,Kirk19,17.035,0.059,Best20b,WISEA J023318.06+303030.4,38.3252699,30.5084557,38.3252619,30.5084493,16.403,0.066,14.341,0.046,12.025,NaN,8.874,NaN,Cutr13,0000,1,0,15.63,0.03,14.35,0.02,Mace13a,28.2,2.6,Best20a,-132,1.8,-29.9,1.6,Best20a,31.30,4.20,Kirk19,-134.60,2.30,-29.50,2.20,137.79,2.30,257.64,0.92,Kirk19,28.2,2.6,-132.0,1.8,-29.9,1.6,Best20a,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,-128.1,11.8,-33.5,4.1,Best18,null,null,null,null,N,null,null,T6,Mace13a,NaN,26,26,26,35,3,26.0,15.07,32.14,6.27,14.75,31.96,6.33,15.05,NaN,NaN,15.10,NaN,NaN,12.85,19.84,1.79,35,3,32,dist_plx_formula,null,2MASS J02331819+3030308,38.3258,30.5086,2003yCat.2246....0C,NaN,NaN,NaN,NaN,null,NaN,NaN,null,2MASS J02331819+3030308|SDSS J023318.08+303030.5|WISE J023318.05+303030.5|EQ J0233+3030,2012AJ....144..148G,NaN,NaN,null,null,-135.75,27.77,-31.78,36.69,Magn20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),TAU,0.00,pm+trig-plx,38.3249,30.5084,PS1; Best20a
2MASS J02411151-0326587,Cruz07,Tuc-Hor;lowg;young,Liu_16;Cruz07;Cruz09;Alle13a,N,N,N,N,NaN,N,40.2984,-3.4498,DR2,PSO J040.2982-03.4497,40.2980,-3.4497,40.2983,-3.4498,56106.49,Magn20,NaN,NaN,NaN,null,null,22.86,0.14,9,W,Cham16,20.47,0.02,10,C,Cham16,18.96,0.02,11,C,Cham16,17.89,0.02,12,C,Cham16,21.349,0.032,20.915,0.020,19.115,0.082,2MASS J02411151-0326587,40.297996,-3.449661,1998-10-04,15.799,0.065,Cutr03,14.811,0.050,Cutr03,14.035,0.050,Cutr03,000,null,16.903,0.083,Best20b,15.723,0.065,Best20b,14.871,0.050,Best20b,13.997,0.050,Best20b,WISEA J024111.57-032659.2,40.2982467,-3.4497891,40.2982477,-3.4497889,13.649,0.025,13.281,0.030,12.521,NaN,9.287,NaN,Cutr13,0000,1,0,13.39,0.02,13.24,0.02,null,18.5,2.1,Liu_16,69.6,0.5,-25.1,0.6,Liu_16,18.49,2.13,Liu_16,69.60,0.50,-25.10,0.60,73.99,0.51,109.83,0.46,Liu_16,NaN,NaN,NaN,NaN,NaN,NaN,null,O,40.2983576,-3.4498207,40.2983576,-3.4498207,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2495202104341250432,75.6,2.5,-32.5,2.6,Best18,gamma,Cruz09,VL-G,Alle13a,lowg,L0 gamma,Cruz09,L1: VL-G,Alle13a,10,11,10,10,54,6,10.0,11.62,68.61,12.18,11.52,69.27,10.41,10.40,53.37,9.17,10.36,53.30,7.22,9.83,49.03,8.15,54,6,48,dist_plx_formula,Fahe16 find near-IR spectral type L1 gamma.,2MASS J02411151-0326587,40.2980,-3.4497,2003yCat.2246....0C,0.07,0.00,-0.03,0.00,2016ApJ...833...96L,26.70,3.30,2016ApJS..225...10F,2MASS J02411151-0326587|2MASSI J0241115-032658|WISE J024111.57-032659.1|Gaia DR2 2495202104341250432,2008MNRAS.390.1517C,6.34,7.98,2016ApJS..225...10F,rv_simbad,73.10,5.62,-27.97,6.54,Magn20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (91.8%); BPMG (8.2%),BPMG,0.08,pm+trig-plx+rv,40.2988,-3.4500,DR2; Liu_16
WISE J024124.73-365328.0,Kirk12,null,null,N,N,N,N,NaN,N,40.3531,-36.8911,AllWISE,null,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,null,null,NaN,NaN,null,16.590,0.040,Tinn18,17.040,0.070,Kirk19,NaN,NaN,null,WISEA J024124.74-365328.0,40.3531152,-36.8911280,40.3531212,-36.8911214,16.863,0.078,14.352,0.039,12.514,0.330,9.444,NaN,Cutr13,0000,1,0,15.74,0.03,14.35,0.02,Kirk19,52.4,2.7,Kirk19,242,1.5,148.4,1.4,Kirk19,52.40,2.70,Kirk19,242.00,1.50,148.40,1.40,283.88,1.48,58.48,0.29,Kirk19,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T7,Tinn18,NaN,27,27,27,19.1,1,27.0,NaN,NaN,NaN,15.39,17.41,3.46,NaN,NaN,NaN,NaN,NaN,NaN,13.12,17.61,1.57,19.1,1,18.1,dist_plx_formula,null,WISE J024124.73-365328.0,40.3531,-36.8911,2012yCat.2311....0C,NaN,NaN,NaN,NaN,null,NaN,NaN,null,WISE J024124.73-365328.0,2012ApJ...753..156K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,ARG (87.7%); FIELD (12.3%),ARG,0.88,pm+trig-plx,40.3549,-36.8903,AllWISE; Kirk19
2MASSI J0243137-245329,Burg02a,null,null,N,N,N,N,NaN,Y,40.8071,-24.8917,PS1,PSO J040.8060-24.8923,40.8071,-24.8917,40.8061,-24.8923,55967.52,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,19.83,0.01,6,C,Cham16,17.95,0.02,10,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,2MASS J02431371-2453298,40.807158,-24.891621,1998-11-12,15.381,0.050,Cutr03,15.137,0.168,Cutr03,15.216,0.168,Cutr03,000,null,16.130,0.060,Dupu12,15.130,0.030,Knap04,15.390,0.030,Knap04,15.340,0.030,Knap04,WISEA J024313.47-245332.1,40.8061520,-24.8922504,40.8061456,-24.8922522,14.654,0.029,12.928,0.026,11.488,0.142,9.196,NaN,Cutr13,0000,1,0,13.95,0.02,12.98,0.02,Kirk19,94,4,Vrba04,-288,4,-207.5,2.9,Vrba04,93.62,3.63,Vrba04,-287.77,3.54,-207.54,2.92,354.80,4.10,234.20,0.33,Vrba04,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,-277.3,3.7,-201.4,4.5,Best18,null,null,null,null,N,T5.5,Pine16,T6,Burg06b,25.5,26,26,26,10.6,0.5,26.0,15.07,11.57,2.15,14.75,11.91,2.36,15.05,10.80,2.96,15.10,11.16,2.73,12.85,10.35,0.91,10.6,0.5,10.1,dist_plx_formula,Target for PARSEC program (Andr11).,2MASSI J0243137-245329,40.8072,-24.8916,2003yCat.2246....0C,-288.00,4.00,-208.00,3.00,2009AJ....137....1F,93.62,3.63,2012ApJ...752...56F,2MASS J02431371-2453298|2MASSI J0243137-245329|WISEA J024313.47-245332.1|WISEP J024313.48-245331.5|WISE J024313.47-245331.9|EQ J0243-2453,2002ApJ...578..536Z,NaN,NaN,null,null,-280.31,19.08,-193.97,19.08,Magn20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),USCO,0.00,pm+trig-plx,40.8053,-24.8929,PS1; Vrba04
WISE J024714.52+372523.5,Mace13a,null,null,N,N,N,N,NaN,Y,41.8106,37.4232,AllWISE,PSO J041.8107+37.4230,NaN,NaN,41.8107,37.4230,56114.54,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,null,18.440,0.170,Mace13a,18.240,0.190,Mace13a,18.370,0.300,Mace13a,null,null,NaN,NaN,null,18.020,0.020,Best20a,NaN,NaN,null,NaN,NaN,null,WISEA J024714.54+372523.4,41.8106006,37.4231892,41.8106649,37.4232122,18.485,0.434,14.624,0.064,12.354,NaN,8.944,NaN,Cutr13,0000,1,0,16.70,0.04,14.55,0.02,Mace13a,64.8,2,Best20a,25.3,1.3,-83.2,1.3,Kirk19,64.80,2.60,Kirk19,25.30,1.30,-83.20,1.30,86.96,1.29,163.09,0.86,Kirk19,64.8,2.0,28.9,1.4,-88.0,1.2,Best20a,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,NaN,null,null,null,null,null,N,null,null,T8,Mace13a,NaN,28,28,28,15.4,0.5,28.0,16.56,23.79,4.76,16.38,21.26,4.21,16.53,23.35,6.93,NaN,NaN,NaN,13.43,17.35,1.60,15.4,0.5,14.9,dist_plx_formula,null,WISE J024714.52+372523.5,41.8105,37.4232,2012yCat.2311....0C,NaN,NaN,NaN,NaN,null,NaN,NaN,null,WISE J024714.52+372523.5|EQ J0247+3725,2012ApJ...753..156K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,FIELD (99.9%),USCO,0.00,pm+trig-plx,41.8108,37.4227,AllWISE; Kirk19
PSO J043.5395+02.3995,Liu_11a; Scho11,null,null,N,N,N,N,NaN,Y,43.5398,2.3996,AllWISE,PSO J043.5399+02.3996,NaN,NaN,43.5400,2.3996,55471.06,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,20.89,0.03,2,C,Cham16,18.96,0.05,4,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,2MASS J02540788+0223563,43.532860,2.398985,2000-09-21,16.557,0.156,Cutr03,15.884,NaN,Cutr03,16.006,NaN,Cutr03,000,ULAS J025409.58+022358.7,17.000,0.014,Lawr12,15.916,0.009,Lawr12,16.292,0.021,Lawr12,16.732,0.052,Lawr12,WISEA J025409.55+022358.5,43.5398152,2.3996059,43.5398223,2.3996076,15.807,0.048,12.758,0.026,11.357,0.139,9.275,NaN,Cutr13,0000,1,0,14.69,0.02,12.70,0.02,Kirk11,146.1,1.5,Kirk19,2562.61,0.15,222,1.3,Kirk19,146.10,1.50,Kirk19,2562.61,0.15,221.95,1.34,2572.20,0.10,85.05,0.03,Kirk19,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,2557.3,5.4,238.3,3.4,Best18,null,null,null,null,N,null,null,T8,Liu_11a,NaN,28,28,28,6.84,0.07,28.0,16.56,9.99,1.98,16.38,8.07,1.60,16.53,7.86,NaN,16.95,9.02,2.21,13.43,7.35,0.65,6.84,0.07,6.77,dist_plx_formula,Target for NPARSEC program (Smar13). Published parallax 134.7±14.9 mas (Dupu13b).,2MASS J02540788+0223563,43.5329,2.3990,2003yCat.2246....0C,2578.00,42.00,309.00,50.00,2013ApJ...762..119M,185.00,42.00,2013ApJ...762..119M,2MASS J02540788+0223563|PSO J043.5395+02.3995|SDSS J025409.24+022358.2|ULAS J025409.58+022358.7|WISEA J025409.55+022358.5|WISEP J025409.45+022359.1|WISE J025409.51+022358.6|EQ J0254+0223,2011ApJS..197...19K,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,ULAS,43.5399,2.3996,55458.07,NaN,NaN,17.000,0.014,15.916,0.009,16.292,0.021,16.732,0.052,FIELD (99.9%),TAU,0.00,pm+trig-plx,43.5547,2.4009,AllWISE; Kirk19
