name,ra_j2000_formula,dec_j2000_formula,identifiers_simbad
2MASS J00135882-1816462,3.4953,-18.2797,2MASS J00135882-1816462|PSO J003.4950-18.2802|SIMP J0013588-181646|TIC 114914149|WISEA J001358.81-181648.4|WISE J001358.81-181648.1
HD 984 B,3.5427,-7.1991,HD    984b
WISEA J001450.17-083823.4,3.7046,-8.6390,2MASS J00144919-0838207|TIC 408013509|WISEA J001450.17-083823.4|WISE J001450.14-083823.1|Gaia DR3 2429285424478485504|Gaia DR2 2429285424478485504
2MASS J00145575-4844171,3.7324,-48.7380,2MASS J00145575-4844171|DENIS J001455.4-484417|TIC 200690725|WISEA J001456.70-484413.9|EQ J0014-4844|Gaia DR3 4977142934516994176|Gaia DR2 4977142934516994176
2MASS J00150206+2959323,3.7586,29.9923,2MASS J00150206+2959323|TIC 365962928|WISEA J001502.38+295929.9
WISE J001505.87-461517.6,3.7729,-46.2529,WISEA J001505.88-461517.8|WISE J001505.87-461517.6
2MASSW J0015447+351603,3.9366,35.2674,2MASS J00154476+3516026|2MASSW J0015447+351603|2MASSW J0015448+351603|2MUCD 20012|TIC 365965170|WISEA J001544.81+351559.8|WISEP J001544.82+351600.0|Gaia DR2 2876239130257160960|Gaia DR3 2876239130257160960
HD 1160B,3.9888,4.2511,** NLS    1B|HD   1160B|WDS J00160+0415B
SDSS J001608.44-004302.3,4.0352,-0.7174,2MASS J00160844-0043021|SDSS J001608.48-004302.3|SDSS J001608.47-004302.2|SDSS J001608.44-004302.3|TIC 38272567|ULAS J001608.49-004302.2|WISEA J001608.55-004302.5|WISE J001608.54-004302.3
SDSS J001637.62-103911.2,4.1568,-10.6530,2MASS J00163762-1039106|SDSS J001637.61-103911.1|SDSS J001637.62-103911.2|TIC 37718458|Gaia DR2 2428008410441149824|Gaia DR3 2428008410441149824
PSO J004.1834+23.0741,4.1820,23.0739,2MASS J00164364+2304262|PSO J004.1834+23.0741|TIC 150901615|WISEA J001643.97+230426.5|WISE J001643.96+230426.7
2MASS J00165953-4056541,4.2481,-40.9483,2MASS J00165953-4056541|DENIS J001659.4-405654|2MUCD 20013|TIC 120581112|Gaia DR2 4995583325059035008|Gaia DR3 4995583325059035008
2MASS J00182834-6703130,4.6180,-67.0536,2MASS J00182834-6703130|TIC 394137772|Gaia DR2 4706791231610892928|Gaia DR3 4706791231610892928
PSO J004.6359+56.8370,4.6357,56.8369,PSO J004.6359+56.8370
ULAS J001836.51-002559.1,4.6519,-0.4331,BRLT 3|ULAS J001836.51-002559.1
