name,ra_j2000_formula,dec_j2000_formula,identifiers_simbad
2MASS J02441019-3548036,41.0425,-35.8010,2MASS J02441019-3548036|TIC 122612919|Gaia DR2 5049878716772823552|Gaia DR3 5049878716772823552
WISE J024512.62-345047.8,41.3029,-34.8466,WISEA J024512.62-345047.8|WISE J024512.62-345047.8|EQ J0245-3450
ULAS J024557.88+065359.4,41.4910,6.9004,ULAS J024557.88+065359.4|ULAS J024557.87+065359.4
PSO J041.5426+01.9456,41.5425,1.9458,2MASS J02461021+0156447|PSO J041.5426+01.9456|TIC 318867815|ULAS J024610.23+015644.2|WISEA J024610.24+015644.3|WISE J024610.23+015644.4
ULAS J024703.40-010700.8,41.7641,-1.1171,BRLT 48|ULAS J024703.40-010700.8
WISE J024714.52+372523.5,41.8104,37.4234,WISEA J024714.54+372523.4|WISE J024714.52+372523.5|EQ J0247+3725
SDSS J024749.90-163112.6,41.9576,-16.5203,2MASS J02474978-1631132|SDSS J024749.90-163112.6|SDSS J024749.89-163112.6|TIC 29942642|WISEA J024750.01-163111.5|WISEP J024749.98-163111.4|WISE J024750.00-163111.4
BR B0246-1703,42.1708,-16.8561,LP  771-21|BR B0246-1703|BRI B0246-1703|2MASS J02484100-1651216|2MASSI J0248410-165121|2MUCD 10149|TIC 29959288|WISEA J024840.96-165125.1|WISEP J024840.95-165124.8|Gaia DR2 5156623295621846016|Gaia DR3 5156623295621846016
2MASS J0249-0557 c,42.4766,-5.9671,2MASS J02495436-0558015|NAME 2MASS J0249-0557 c|PSO J042.4767-05.9672|SDSS J024954.40-055802.3|TIC 10930505
2MASS J02495639-0557352,42.4850,-5.9598,2MASS J02495639-0557352|SDSS J024956.41-055735.7|TIC 10930507|Gaia DR2 5183875103632956032|Gaia DR3 5183875103632956032
TVLM 831-154910,42.5486,-1.8582,2MASS J02501167-0151295|TIC 10932072|TVLM 831-154910|Gaia DR2 2497288672467622912|Gaia DR3 2497288672467622912
CFBDS J025053.33+162050.7,42.7221,16.3471,CFBDS J025053+162050
TVLM 831-161058,42.8052,0.7934,2MASS J02511327+0047364|PLX  589.01|SDSS J025113.28+004736.5|SDSS J025113.24+004736.3|TIC 318966173|TVLM 831-161058|TVLM 832-3494|ULAS2MASS J0251+0047|WISEA J025113.43+004736.9|Gaia DR2 2499082040356574848|Gaia DR3 2499082040356574848
2MASSI J0251148-035245,42.8125,-3.8800,2MASS J02511490-0352459|2MASSI J0251148-035245|2MUCD 10151|SDSS J025115.51-035300.9|TIC 10934710|WISEA J025115.77-035307.6|WISE J025115.76-035307.0|[B2006] J025114.9-035245|Gaia DR3 5185493447310441728
YMG_HS_946_47309,42.8401,35.3729,null
TVLM 831-165166,42.9278,-1.0349,2MASS J02514264-0102059|DENIS J025142.6-010205|SIPS J0251-0102|TIC 439866198|TVLM 831-165166|TVLM 832-7464|USNO-B1.0 0889-00029705|WISEA J025142.94-010203.7|Gaia DR2 2497495994833937280|Gaia DR3 2497495994833937280
TVLM 832-10443,43.1096,0.9396,2MASS J02522628+0056223|BR B0249+0044|2MUCD 20132|PLX  597.01|SDSS J025226.28+005622.2|TIC 328180649|TVLM 832-10443|WISEA J025226.18+005621.3|WISEP J025226.18+005621.5|WISE J025226.18+005621.5|Gaia DR3 2499091523644792832|Gaia DR2 2499091523644792832
ULAS J025244.10+010617.9,43.1838,1.1052,BRLT 49|ULAS J025244.09+010617.9|ULAS J025244.10+010617.9
Teegarden's Star,43.2537,16.8813,LSPM J0253+1652|FBS L 14-17|FBS 0250+167|GAT 1370|Karmn J02530+168|2MASS J02530084+1652532|NAME SO J025300.5+165258|NAME APM EO0425-0315372|NAME Teegarden's Star|PM J02530+1652|TIC 257870150|USNO-B1.0 1068-00028941|USNO-A2.0 1050-00774305|WISEA J025303.34+165213.2|WISEP J025303.27+165214.2|Gaia DR3 35227046884571776|Gaia DR2 35227046884571776
2MASS J02534448-7959133,43.4353,-79.9870,2MASS J02534448-7959133|DENIS J025344.4-795913|SIPS J0253-7959|TIC 394356010|WISEA J025344.79-795912.4|Gaia DR2 4620448786799883136|Gaia DR3 4620448786799883136
2MASS J02535980+3206373,43.4992,32.1103,2MASS J02535980+3206373|2MASSI J0253597+320637|TIC 77568839|Gaia DR2 136316974871839488|Gaia DR3 136316974871839488
CFBDS J025401.67-182529.2,43.5065,-18.4249,CFBDS J025401-182529
PSO J043.5395+02.3995,43.5319,2.3989,2MASS J02540788+0223563|PSO J043.5395+02.3995|SDSS J025409.24+022358.2|TIC 368644998|ULAS J025409.58+022358.7|WISEA J025409.55+022358.5|WISEP J025409.45+022359.1|WISE J025409.51+022358.6|EQ J0254+0223
DENIS-P J025503.3-470049,43.7654,-47.0143,2MASS J02550357-4700509|DENIS J0255.0-4700|DENIS J025503.3-470049|2MASSI J0255035-470050|2MUCD 10158|NAME DENIS 0255-4700|TIC 146692032|WISEA J025504.75-470057.3|Gaia DR3 4752399493622045696|Gaia DR2 4752399493622045696
HIP 13589B,43.7792,21.6062,2MASS J02550698+2136221|TIC 91399411|Gaia DR2 109327091144644096|Gaia DR3 109327091144644096
ULAS J025545.28+061655.8,43.9392,6.2819,BRLT 50|ULAS J025545.28+061655.7|ULAS J025545.28+061655.8
CFBDS J025558.46-173020.2,43.9937,-17.5059,CFBDS J025558-173020
SDSS J025601.86+011047.2,44.0078,1.1797,2MASS J02560189+0110467|SDSS J025601.86+011047.2|SDSS J025601.88+011046.7|TIC 347020626|WISEA J025601.93+011045.7|WISEP J025601.91+011046.3|WISE J025601.92+011045.9
CFBDS J025718.08-124853.1,44.3254,-12.8146,CFBDS J025718-124853
2MASS J02572581-3105523,44.3577,-31.0978,2MASS J02572581-3105523|DENIS J025725.7-310552|2MUCD 20139|TIC 91591962|WISEA J025726.34-310548.5|EQ J0257-3105|Gaia DR3 5052876333365036928|Gaia DR2 5052876333365036928
CFBDS J025805.92-145534.3,44.5248,-14.9262,CFBDS J025805-145534
2MASS J02583123-1520536,44.6300,-15.3484,2MASS J02583123-1520536|TIC 98757045|WISEA J025831.29-152054.4|WISE J025831.28-152054.2
CFBDS J025840.60-182648.3,44.6691,-18.4469,CFBDS J025840-182648
WISE J025934.00-034645.7,44.8910,-3.7803,WISEA J025934.01-034646.0|WISE J025934.00-034645.7|EQ J0259-0346
ULAS J025940.95+054934.8,44.9206,5.8265,BRLT 51|ULAS J025940.95+054934.8
UGCS J030013.86+490142.5,45.0569,49.0287,UGCS J030013.86+490142.5
2MASS J03001631+2130205,45.0680,21.5057,2MASS J03001631+2130205|TIC 426453883
WISEA J030119.39-231921.1,45.3300,-23.3223,2MASS J03011916-2319195|PSO J045.3309-23.3226|TIC 71351852|WISEA J030119.39-231921.1|WISE J030119.37-231921.1
CFBDS J030130.53-104504.3,45.3772,-10.7505,CFBDS J030130-104504
CFBDS J030135.11-161418.0,45.3955,-16.2385,CFBDS J030135-161418|WISEA J030135.19-161417.8|WISE J030135.16-161417.8
SDSSp J030136.53+002057.9,45.4022,0.3494,SDSS J030136.53+002057.6|SDSS J030136.53+002057.9|ULAS J030136.54+002057.4|ULAS J030136.56+002057.1|WISEA J030136.56+002057.0|WISEP J030136.57+002057.0|WISE J030136.57+002057.0
2MASSI J0302012+135814,45.5051,13.9706,2MASS J03020122+1358142|2MASSI J0302012+135814|TIC 243202974|WISEA J030201.26+135813.4|WISE J030201.25+135813.6
CFBDS J030225.88-144125.4,45.6071,-14.6902,CFBDS J030225-144125
CFBDS J030226.67-143719.2,45.6117,-14.6220,CFBDS J030226-143719
TVLM 832-42500,45.6457,-1.2736,2MASS J03023492-0116252|DENIS J030234.8-011625|TIC 439908206|TVLM 832-42500|USNO-B1.0 0887-00031664|WISEA J030235.43-011620.8|Gaia DR2 5187758956659465216|Gaia DR3 5187758956659465216
WISEA J030237.52-581740.3,45.6559,-58.2945,WISEA J030237.52-581740.3|WISE J030237.56-581740.2
2MASS J03032042-7312300,45.8349,-73.2083,2MASS J03032042-7312300|TIC 280095301|WISEA J030320.56-731230.0|WISE J030320.52-731229.9
SDSSp J030321.24-000938.2,45.8385,-0.1606,2MASS J03032123-0009378|SDSS J030321.24-000938.3|SDSS J030321.24-000938.2|TIC 439910254|WISEP J030321.24-000938.0|Gaia DR2 3266546344865385728|Gaia DR3 3266546344865385728
WISE J030449.03-270508.3,46.2040,-27.0870,WISEA J030449.04-270508.1|WISE J030449.03-270508.3
WISEPA J030533.54+395434.4,46.3889,39.9101,WISEA J030533.53+395434.6|WISEP J030533.54+395434.4|WISE J030533.51+395434.6|EQ J0305+3954
SDSS J030536.54-064216.3,46.4023,-6.7045,2MASS J03053655-0642161|SDSS J030536.55-064216.1|SDSS J030536.54-064216.3|TIC 23169963|Gaia DR2 5180157822323348224|Gaia DR3 5180157822323348224
WISEA J030601.66-033059.0,46.5060,-3.5126,2MASS J03060140-0330438|TIC 439916764|WISEA J030601.66-033059.0|WISE J030601.64-033058.4|Gaia DR3 5183457632811832960|Gaia DR2 5183457632811832960
SSSPM J0306-3648,46.5483,-36.7980,2MASS J03061159-3647528|DENIS J030611.5-364753|LEHPM 3070|2MASSI J0306115-364753|SSSPM J0306-3648|TIC 308243298|USNO-B1.0 0532-00040429|WISEA J030611.44-364759.9|Gaia DR2 5047423236725995136|Gaia DR3 5047423236725995136
2MASSW J0306268+154514,46.6120,15.7536,2MASSW J0306268+154514|2MASS J03062684+1545137|TIC 58956952|WISEA J030627.01+154513.1|WISE J030627.00+154513.2
HD 19467B,46.8270,-13.7620,HD  19467B
WISEPA J030724.57+290447.6,46.8527,29.0802,CWISE J030724.57+290447.2|UGCS J030724.61+290447.4|WISEA J030724.58+290447.5|WISEP J030724.57+290447.6|WISE J030724.59+290447.4|EQ J0307+2904
WISP 030741.12-724357.5,46.9258,-72.7310,WISP J0307-7243
WISEA J030845.36+325923.1,47.1880,32.9908,2MASS J03084507+3259277|TIC 85524522|WISEA J030845.37+325922.9|WISE J030845.36+325923.1|Gaia DR2 135921081965834624|Gaia DR3 135921081965834624
2MASSW J0309088-194938,47.2871,-19.8275,2MASSW J0309088-194938|2MASS J03090888-1949387|TIC 71411689|WISEA J030909.05-194939.1|WISEP J030909.04-194939.0|WISE J030909.04-194938.9|Gaia DR2 5103855671020268032
WISE J030919.67-501614.3,47.3296,-50.2712,WISEA J030919.70-501614.2|WISE J030919.67-501614.3
CFBDS J030922.29-161426.1,47.3430,-16.2406,CFBDS J030922-161426
2MASS J03093877-3014352,47.4116,-30.2431,2MASS J03093877-3014352|TIC 209463384|Gaia DR2 5058845719430900480|Gaia DR3 5058845719430900480
2MASS J03100053+0726506,47.5021,7.4474,2MASS J03100053+0726506|TIC 377062703|WISEA J031000.89+072653.0|Gaia DR2 13533892921879936|Gaia DR3 13533892921879936
2MASS J03101401-2756452,47.5583,-27.9460,2MASSI J0310140-275645|2MASS J03101401-2756452|2MUCD 10170|TIC 88507183|WISEA J031013.90-275645.8|WISEP J031013.90-275645.8|WISE J031013.90-275645.8|Gaia DR2 5059737904395839360
2MASSW J0310599+164816,47.7495,16.8043,2MASS J03105986+1648155|** SPF    1|2MASSW J0310599+164816|TIC 381362956|WDS J03110+1648AB|WISEA J031100.04+164815.5|WISE J031100.03+164815.5
2MASS J03111547+0106307,47.8145,1.1086,2MASS J03111547+0106307|1RXS J031114.2+010655|SDSS J031115.49+010630.8|TIC 328463799|[BHR2005] 832-2|[BHR2005] 344|Gaia DR2 3266937637860051840|Gaia DR3 3266937637860051840
WISEPA J031325.96+780744.2,48.3571,78.1288,WISEA J031326.00+780744.3|WISEP J031325.96+780744.2|WISE J031325.94+780744.3|EQ J0313+7807
2MASS J03134443+0433165,48.4352,4.5546,2MASS J03134443+0433165|TIC 274015913|Gaia DR2 3124060427493120|Gaia DR3 3124060427493120
2MASS J03140344+1603056,48.5143,16.0515,2MASS J03140344+1603056|2MUCD 20156|TIC 333624314|WISEA J031403.27+160304.9|WISE J031403.26+160305.0|Gaia DR2 31235033696866688|Gaia DR3 31235033696866688
DENIS J031433.1-462339,48.6377,-46.3945,2MASS J03143304-4623400|DENIS J031433.1-462339|TIC 152983932|WISEA J031432.91-462341.5|Gaia DR2 4750974938867962880|Gaia DR3 4750974938867962880
2MASS J03144011-0450316,48.6671,-4.8422,2MASS J03144011-0450316|2MASSI J0314401-045031|2MUCD 10172|TIC 49871978|Gaia DR2 5182289917103436928|Gaia DR3 5182289917103436928
ULAS J031451.72+045346.2,48.7155,4.8961,2MASS J03145171+0453455|BRLT 52|TIC 274038753|ULAS J031451.72+045346.2|WISEA J031451.72+045346.2|WISE J031451.72+045346.2
PSO J048.9806+07.5414,48.9804,7.5412,2MASS J03155533+0732286|PSO J048.9806+07.5414|TIC 347084441|WISEA J031555.30+073229.5|WISE J031555.29+073229.6
WISE J031614.68+382008.0,49.0614,38.3364,2MASS J03161478+3820115|TIC 177997731|WISEA J031614.68+382008.0|WISE J031614.68+382008.0|EQ J0316+3820
WISE J031624.35+430709.1,49.1003,43.1199,WISEA J031624.40+430708.7|WISE J031624.35+430709.1|EQ J0316+4307
PSO J049.1124+17.0885,49.1116,17.0888,2MASS J03162679+1705193|PSO J049.1124+17.0885|TIC 333673399|WISEA J031626.96+170518.4|WISE J031626.95+170518.5
PSO J049.1159+26.8409,49.1150,26.8411,2MASS J03162759+2650277|CWISE J031627.87+265027.2|PSO J049.1159+26.8409|SIMP J0316275+265027|TIC 35115470|WISEA J031627.79+265027.5|WISE J031627.78+265027.6
2MASSI J0316451-284852,49.1881,-28.8145,2MASS J03164512-2848521|2MASSI J0316451-284852|SIPS J0316-2848|TIC 144465219|WISEP J031645.21-284852.8|Gaia DR2 5058664471807949952|Gaia DR3 5058664471807949952
SDSS J031740.38+061303.8,49.4183,6.2179,2MASS J03174038+0613046|SDSS J031740.38+061303.8|TIC 445926185|ULAS J031740.37+061303.3|WISEA J031740.38+061302.9|WISE J031740.37+061303.0
2MASS J03182597-3708118,49.6083,-37.1366,2MASS J03182597-3708118|TIC 159950457|Gaia DR2 4854684105416914176|Gaia DR3 4854684105416914176
2MASS J03185403-3421292,49.7253,-34.3581,2MASSI J0318540-342129|2MASS J03185403-3421292|2MUCD 10176|TIC 176851444|WISEA J031854.39-342128.7|WISEP J031854.37-342128.7|WISE J031854.38-342128.7|Gaia DR3 5053399803976245760|Gaia DR2 5053399803976245760
YMG-L-1-4969168,49.9165,41.7118,null
ULAS J031959.75+061740.7,49.9991,6.2947,BRLT 56|ULAS J031959.75+061740.7
2MASS J03201720-1026124,50.0717,-10.4368,2MASS J03201720-1026124|2MASSI J0320171-102612|2MUCD 10177|TIC 9943008|Gaia DR2 5163217681033650432|Gaia DR3 5163217681033650432
2MASSW J0320284-044636,50.1182,-4.7768,2MASS J03202839-0446358|2MASSI J0320283-044635|2MASSW J0320284-044636|SBC9 3013|TIC 279073517|WISEA J032028.19-044642.0|Gaia DR2 5182151481717042944|Gaia DR3 5182151481717042944
ULAS J032042.15+061837.1,50.1756,6.3103,BRLT 57|ULAS J032042.15+061837.1
LP 412-31,50.2488,18.9063,LP  412-31|LSPM J0320+1854|2MASS J03205965+1854233|2MASSI J0320596+185423|2MASSW J0320597+185423|2MASSW J0320596+185423|2MUCD 10179|NLTT 10644|TIC 5579232|USNO-B1.0 1089-00038006|WISEA J032059.96+185420.1|WISEP J032059.95+185420.3|Gaia DR2 56252256123908096|Gaia DR3 56252256123908096
WISE J032120.91-734758.8,50.3355,-73.8005,WISEA J032120.97-734758.6|WISE J032120.91-734758.8|EQ J0321-7347
ULAS J032122.98+005105.2,50.3458,0.8514,ULAS J032122.98+005105.2
PSO J050.3+035.6,50.3572,35.6737,null
ULAS J032143.05+054524.3,50.4290,5.7571,BRLT 58|ULAS J032143.05+054524.3
2MASS J03224622-7940595,50.6926,-79.6832,2MASS J03224622-7940595|TIC 314888202|Gaia DR2 4620322205523663360|Gaia DR3 4620322205523663360
WISEA J032301.88+562558.0,50.7568,56.4339,2MASS J03230145+5626012|TIC 315723515|WISEA J032301.88+562558.0|WISE J032301.86+562558.0|Gaia DR2 449266227841844736|Gaia DR3 449266223545944064
WISEA J032309.12-590751.0,50.7851,-59.1324,WISEA J032309.12-590751.0
2MASS J03231002-4631237,50.7917,-46.5232,2MASS J03231002-4631237|DENIS J032309.9-463124|2MUCD 20157|TIC 79547290|Gaia DR2 4846216555917018624|Gaia DR3 4846216555917018624
WISEPC J032337.53-602554.9,50.9032,-60.4312,WISEA J032337.57-602554.5|WISEP J032337.53-602554.9|WISE J032337.53-602554.5|EQ J0323-6025
ULAS J032353.82+061352.3,50.9742,6.2311,BRLT 60|ULAS J032353.82+061352.3
2MASS J03250136+2253039,51.2559,22.8843,2MASSI J0325013+225303|2MASS J03250136+2253039|2MUCD 13119|TIC 25909967|WISEA J032501.73+225302.0|WISE J032501.71+225302.0|Gaia DR3 62634474446331904|Gaia DR2 62634474446331904
WISEA J032504.52-504403.0,51.2677,-50.7330,WISEA J032504.52-504403.0|WISE J032504.33-504400.3
WISE J032517.69-385454.1,51.3225,-38.9147,WISEA J032517.68-385453.8|WISE J032517.69-385454.1|EQ J0325-3854
ULAS J032524.61+051039.5,51.3511,5.1774,ULAS J032524.61+051039.5
WISE J032547.72+083118.2,51.4485,8.5218,WISEA J032547.73+083118.2|WISE J032547.72+083118.2|EQ J0325+0831
SDSS J032553.17+042540.1,51.4718,4.4279,2MASS J03255322+0425406|SDSS J032553.17+042540.1|SDSS J032553.17+042540.0|TIC 299496466|ULAS J032553.12+042540.1|WISEA J032553.11+042539.8|WISEP J032553.11+042540.6|WISE J032553.11+042539.9
2MASSW J0326137+295015,51.5570,29.8376,2MASS J03261367+2950152|2MASSW J0326137+295015|TIC 29701920|UGPS J032613.66+295015.7|WISEA J032613.66+295015.9|WISE J032613.65+295015.9|Gaia DR3 120793859256662144|Gaia DR2 120793859256662144
2MASS J03264225-2102057,51.6761,-21.0350,2MASS J03264225-2102057|2MASSI J0326422-210205|2MASSW J0326422-210205|2MUCD 10184|TIC 92355422|WISEA J032642.33-210207.3|WISE J032642.32-210207.2
2MASS J03274091-3148156,51.9204,-31.8043,2MASS J03274091-3148156|TIC 142887954|WISEA J032740.94-314815.6|WISE J032740.93-314815.5|Gaia DR3 5054148086063754496|Gaia DR2 5054148086063754496
SDSSp J032817.38+003257.2,52.0725,0.5492,2MASS J03281738+0032572|SDSS J032817.38+003257.2|SDSS J032817.42+003257.2|TIC 343838674|ULAS J032817.46+003257.4|WISEA J032817.51+003257.3|WISE J032817.50+003257.5|Gaia DR2 3264440097197783040
2MASS J03283463+1129515,52.1443,11.4977,LSPM J0328+1129|LSR J0328+1129|2MASS J03283463+1129515|2MUCD 20161|TIC 416670281|USNO-B1.0 1014-00031128|WISEA J032835.03+112954.3|Gaia DR2 16386404041502592|Gaia DR3 16386404041502592
2MASSI J0328426+230205,52.1776,23.0348,2MASS J03284265+2302051|EPIC 211003775|2MASSI J0328426+230205|2MASSI J0328427+230205|2MASSW J0328426+230205|TIC 25970159|UGCS J032842.66+230204.4|WISEA J032842.65+230204.5|WISE J032842.64+230204.6
PSO J052.2746+13.3754,52.2736,13.3755,2MASS J03290567+1322317|CWISE J032905.95+132231.5|PSO J052.2746+13.3754|WISE J032905.85+132231.6
ULAS J032920.22+043024.5,52.3336,4.5067,SDSS J032920.15+043024.3|ULAS J032920.22+043024.5|ULAS J032920.21+043024.5|WISEA J032920.25+043024.1|WISE J032920.25+043024.2
2MASS J03300506+2405281,52.5212,24.0911,LP  356-770|LSPM J0330+2405|2MASS J03300506+2405281|2MASSI J0330050+240528|NLTT 11066|TIC 46426661|USNO-B1.0 1140-00037934|[SCH2006b] J03300514+24052826|Gaia DR2 68732469013606656|Gaia DR3 68732469013606656
ULAS J033005.72+055653.4,52.5240,5.9482,BRLT 62|ULAS J033005.72+055653.4
LSPM J0330+3504,52.5718,35.0833,2MASS J03301720+3505001|LSPM J0330+3504|TIC 90568035|USNO-B1.0 1250-00051320|Gaia DR2 221854718904220672|Gaia DR3 221854718904220672
SDSSp J033017.77+000047.8,52.5740,0.0133,2MASS J03301774+0000477|SDSS J033017.76+000047.7|SDSS J033017.77+000047.8|TIC 301343560|ULAS J033017.74+000047.3|WISEA J033017.73+000047.1|WISE J033017.73+000047.4|Gaia DR2 3264210367987143296
ULAS J033027.97+053626.6,52.6165,5.6075,BRLT 63|ULAS J033027.97+053626.6
SDSSp J033035.13-002534.5,52.6464,-0.4264,2MASS J03303511-0025346|SDSS J033035.19-002535.7|SDSS J033035.12-002534.6|SDSS J033035.13-002534.5|TIC 301375844|ULAS2MASS J0330-0025|ULAS J033035.30-002537.1|WISEA J033035.40-002538.5|Gaia DR2 3264130653394056320|Gaia DR3 3264130653394056320
ULAS J033036.84+042657.7,52.6532,4.4495,BRLT 64|ULAS J033036.84+042657.7
LEHPM 1-3365,52.6632,-23.8128,2MASS J03303910-2348459|APMPM J0331-2349|LEHPM 3365|TIC 92363322|USNO-B1.0 0661-00038162|WISEA J033039.63-234845.6|Gaia DR2 5086539526818827776|Gaia DR3 5086539526818827776
LSPM J0330+5413,52.7037,54.2320,2MASS J03304890+5413551|LSPM J0330+5413|TIC 316627328|USNO-B1.0 1442-00105844|WISEA J033048.70+541355.0|Gaia DR2 445100418805396608|Gaia DR3 445100418805396608
PSO J052.7214-03.8409,52.7218,-3.8411,2MASS J03305326-0350280|PSO J052.7214-03.8409|TIC 301376996|WISEA J033053.15-035027.3|WISE J033053.14-035027.3
2MASS J03313025-3042383,52.8761,-30.7108,2MASS J03313025-3042383|LEHPM 3374|LP  888-18|2MASSI J0331302-304238|2MUCD 10186|NLTT 11163|TIC 142944290|USNO-B1.0 0592-00035569|WISEA J033130.29-304243.0|[B2006] J033130.2-304238|Gaia DR2 5055805741577757824|Gaia DR3 5055805741577757824
2MASS J03320043-2317496,53.0019,-23.2971,2MASS J03320043-2317496|SIPS J0332-2317|TIC 402140795|Gaia DR2 5086590967645571584|Gaia DR3 5086590967645571584
2MASS J03333313-3215181,53.3881,-32.2551,2MASS J03333313-3215181|TIC 142960957|Gaia DR2 5055322334418565888|Gaia DR3 5055322334418565888
WISEPC J033349.34-585618.7,53.4565,-58.9365,2MASS J03334951-5856118|TIC 197806775|WISEA J033349.35-585618.3|WISEP J033349.34-585618.7|WISE J033349.34-585618.1|EQ J0333-5856
ULAS J033350.84+001406.1,53.4614,0.2351,2MASS J03335076+0014062|SDSS J033350.84+001406.1|TIC 453828104|ULAS J033351.10+001405.8|ULAS J033350.84+001406.1|Gaia DR2 3264554308968041728|Gaia DR3 3264554308968041728
LEHPM 3396,53.5509,-49.8922,2MASS J03341218-4953322|DENIS J033411.3-495333|LEHPM 3396|2MASSI J0334114-495334|TIC 200851011|WISEA J033414.84-495326.8|Gaia DR2 4736655036868019072|Gaia DR3 4736655036868019072
SDSS J033456.32+010618.7,53.7345,1.1052,SDSS J033456.32+010618.6|SDSS J033456.32+010618.7|SDSS J033456.25+010619.1|ULAS J033456.45+010618.3|WISEA J033456.53+010617.5|WISE J033456.50+010617.8
2MASSI J0335020+234235,53.7587,23.7098,2MASS J03350208+2342356|EPIC 211046195|2MASSI J0335020+234235|2MASSW J0335020+234235|TIC 26126812|[B2006] J033502.1+234236|[SBB2014] 5121623|Gaia DR2 68012529415816832|Gaia DR3 68012529415816832
WISE J033515.01+431045.1,53.8093,43.1816,WISEA J033515.07+431044.7|WISE J033515.01+431045.1|EQ J0335+4310
2MASS J03354535+0658058,53.9390,6.9683,2MASS J03354535+0658058|TIC 416741106|WISEA J033545.36+065802.3|Gaia DR2 3277801633082032384|Gaia DR3 3277801633082032384
WISE J033605.05-014350.4,54.0216,-1.7271,WISEA J033605.04-014351.0|WISE J033605.05-014350.4|EQ J0336-0143
WISE J033651.90+282628.8,54.2160,28.4421,2MASS J03365177+2826315|TIC 46675601|UGCS J033651.89+282629.0|WISE J033651.90+282628.8|EQ J0336+2826
2MASSW J0337036-175807,54.2649,-17.9688,2MASS J03370359-1758079|2MASSI J0337036-175807|2MASSW J0337036-175807|TIC 120958888|WISEA J033703.75-175806.5|WISEP J033703.73-175806.6|WISE J033703.73-175806.6|Gaia DR2 5102272030679120512
WISE J033713.43+114824.5,54.3058,11.8078,2MASS J03371340+1148280|TIC 399967720|WISEA J033713.43+114824.4|WISE J033713.43+114824.5|Gaia DR2 37453287347496576|Gaia DR3 37453287347496576
SDSS J033726.70-002259.3,54.3613,-0.3831,SDSS J033726.69-002259.2|SDSS J033726.70-002259.3|ULAS J033726.69-002259.3|WISEA J033726.70-002259.4|WISE J033726.70-002259.3
YMGL-1-9361758,54.3865,11.5362,null
ULAS J033734.61+050026.9,54.3942,5.0075,BRLT 65|ULAS J033734.61+050026.9
2MASS J03390160-2434059,54.7565,-24.5682,2MASS J03390160-2434059|TIC 89094978|WISEA J033901.64-243406.1|WISE J033901.64-243406.1
PSO J054.8149-11.7792,54.8149,-11.7790,2MASS J03391557-1146440|PSO J054.8149-11.7792|TIC 38449104|WISEA J033915.58-114645.0|WISE J033915.57-114645.0
LP 944-20,54.8969,-35.4288,LP  944-20|APMPM J0340-3526|BRI B0337-3535|LEHPM 3451|2MASS J03393521-3525440|2MASSI J0339352-352544|2MASSW J0339352-352544|2MUCD 10201|SIPS J0339-3525|TIC 143029977|WISEA J033935.51-352540.8|WISEP J033935.48-352541.0|WISE J033935.49-352540.8|[B2006] J033935.2-352544|Gaia DR2 4860376345833699840|Gaia DR3 4860376345833699840
2MASS J03400942-6724051,55.0390,-67.4012,2MASSI J0340094-672405|2MASS J03400942-6724051|2MUCD 10202|TIC 31961338|WISEA J034008.73-672359.0|Gaia DR2 4667836363565989120|Gaia DR3 4667836363565989120
PSO J055.0493-21.1704,55.0485,-21.1701,PSO J055.0493-21.1704|WISEA J034011.83-211013.4|WISE J034011.81-211013.2
ULAS J034150.21+042324.9,55.4594,4.3903,2MASS J03415025+0423251|BRLT 66|TIC 457142225|ULAS J034150.21+042324.9|WISEA J034150.20+042324.8|WISE J034150.19+042324.9
2MASS J03420931-2904317,55.5389,-29.0755,2MASS J03420931-2904317|WISEA J034209.37-290431.9|WISE J034209.36-290431.9|Gaia DR2 5080348937052508800
2MASS J03421621-6817321,55.5677,-68.2922,2MASSI J0342162-681732|2MASS J03421621-6817321|2MUCD 10204|TIC 31997781|WISEA J034216.36-681731.8|WISE J034216.34-681731.9
1RXS J034231.8+121622 B,55.6326,12.2729,null
CFHT-IC 348-1,55.8438,32.3050,UGCS J034322.51+321817.4|[AMB2013] CFHT-IC 348  1
CFHT-IC 348-2,55.8572,32.3650,2MASS J03432569+3221542|TIC 346721083|WISEA J034325.70+322153.4|WISE J034325.70+322153.5|[AMB2013] CFHT-IC 348  2
CFHT-IC 348-3,55.8808,32.0055,[AMB2013] CFHT-IC 348  3|Gaia DR2 216673231704338944|Gaia DR3 216673231704338944
CFHT-IC 348-4,55.9269,32.1592,UGCS J034342.41+320932.6|WISEA J034342.43+320933.1|WISE J034342.44+320933.2|[AMB2013] CFHT-IC 348  4
CFHT-IC 348-5,55.9390,31.9239,UGCS J034345.35+315525.8|WISEA J034345.35+315525.8|WISE J034345.35+315525.7|[AMB2013] CFHT-IC 348  5
PSO J055.9+030.6,55.9889,30.6221,2MASS J03435733+3037194|TIC 408194614|UGCS2MASS J0343+3037|Gaia DR2 216256349292659328|Gaia DR3 216256349292659328
CFHT-IC 348-6,56.0302,32.2426,UGCS J034407.26+321433.1|[AMB2013] CFHT-IC 348  6|[PSZ2003] J034407.3+321433
SDSS J034408.91+011124.9,56.0372,1.1903,2MASS J03440892+0111251|SDSS J034408.91+011124.9|TIC 457165296|ULAS2MASS J0344+0111|ULAS J034408.88+011123.9|Gaia DR2 3269943938874146688|Gaia DR3 3269943938874146688
