# %ECSV 1.0,,
# ---,,
# datatype:,,
# - {name: Ultracool Sheet Name, datatype: string},
# - {name: SIMPLE Source Name, datatype: string},
# - {name: SIMPLE URL, datatype: string, subtype: json}
# delimiter: ',',
# schema: astropy-2.0,,
Ultracool Sheet Name,SIMPLE Source Name,SIMPLE URL
SDSS J001608.44-004302.3,SDSS J001608.44-004302.3,"""https://simple-bd-archive.org/solo_result/SDSS%20J001608.44-004302.3"""
SDSS J001637.62-103911.2,SDSS J001637.62-103911.2,"""https://simple-bd-archive.org/solo_result/SDSS%20J001637.62-103911.2"""
PSO J004.1834+23.0741,PSO J004.1834+23.0741,"""https://simple-bd-archive.org/solo_result/PSO%20J004.1834%2B23.0741"""
2MASS J00165953-4056541,2MASS J00165953-4056541,"""https://simple-bd-archive.org/solo_result/2MASS%20J00165953-4056541"""
2MASS J00182834-6703130,2MASS J00182834-6703130,"""https://simple-bd-archive.org/solo_result/2MASS%20J00182834-6703130"""
PSO J004.6359+56.8370,PSO J004.6359+56.8370,"""https://simple-bd-archive.org/solo_result/PSO%20J004.6359%2B56.8370"""
ULAS J001836.51-002559.1,ULAS J001836.51-002559.1,"""https://simple-bd-archive.org/solo_result/ULAS%20J001836.51-002559.1"""
2MASS J00184613-6356122,2MASS J00184613-6356122,"""https://simple-bd-archive.org/solo_result/2MASS%20J00184613-6356122"""
PSO J004.7148+51.8918,PSO J004.7148+51.8918,"""https://simple-bd-archive.org/solo_result/PSO%20J004.7148%2B51.8918"""
PSO J004.7818+41.0231,PSO J004.7818+41.0231,"""https://simple-bd-archive.org/solo_result/PSO%20J004.7818%2B41.0231"""
SDSS J001911.65+003017.8,SDSS J001911.65+003017.8,"""https://simple-bd-archive.org/solo_result/SDSS%20J001911.65%2B003017.8"""
2MASS J00191296-6226005,2MASS J00191296-6226005,"""https://simple-bd-archive.org/solo_result/2MASS%20J00191296-6226005"""
2MASS J00192626+4614078,2MASS J00192626+4614078,"""https://simple-bd-archive.org/solo_result/2MASS%20J00192626%2B4614078"""
NLTT 1011B,NLTT 1011B,"""https://simple-bd-archive.org/solo_result/NLTT%201011B"""
2MASS J00193927-3724392,2MASS J00193927-3724392,"""https://simple-bd-archive.org/solo_result/2MASS%20J00193927-3724392"""
2MASSI J0019457+521317,2MASSI J0019457+521317,"""https://simple-bd-archive.org/solo_result/2MASSI%20J0019457%2B521317"""
Koenigstuhl 1B,Koenigstuhl 1B,"""https://simple-bd-archive.org/solo_result/Koenigstuhl%201B"""
Koenigstuhl 1A,Koenigstuhl 1A,"""https://simple-bd-archive.org/solo_result/Koenigstuhl%201A"""
SDSS J002138.86+002605.8,SDSS J002138.86+002605.8,"""https://simple-bd-archive.org/solo_result/SDSS%20J002138.86%2B002605.8"""
SDSS J002209.31-011040.2,SDSS J002209.31-011040.2,"""https://simple-bd-archive.org/solo_result/SDSS%20J002209.31-011040.2"""
PSO J005.6302-06.8669,PSO J005.6302-06.8669,"""https://simple-bd-archive.org/solo_result/PSO%20J005.6302-06.8669"""
ULAS J002406.37+134705.3,ULAS J002406.37+134705.3,"""https://simple-bd-archive.org/solo_result/ULAS%20J002406.37%2B134705.3"""
ULAS J002422.94+002247.9,ULAS J002422.94+002247.9,"""https://simple-bd-archive.org/solo_result/ULAS%20J002422.94%2B002247.9"""
BRI 0021-0214,DY Psc,"""https://simple-bd-archive.org/solo_result/DY%20Psc"""
LHS 1070,2MASS J01070426+2435279,"""https://simple-bd-archive.org/solo_result/2MASS%20J01070426%2B2435279"""
2MASSI J0025036+475919,2MASS J00250365+4759191,"""https://simple-bd-archive.org/solo_result/2MASS%20J00250365%2B4759191"""
LHS 1074,LHS 1074,"""https://simple-bd-archive.org/solo_result/LHS%201074"""
SDSS J002611.45-094341.1,SDSS J002611.45-094341.1,"""https://simple-bd-archive.org/solo_result/SDSS%20J002611.45-094341.1"""
WISEA J002656.73-542854.8,WISEA J002656.73-542854.8,"""https://simple-bd-archive.org/solo_result/WISEA%20J002656.73-542854.8"""
ULAS J002707.24+142349.0,ULAS J002707.24+142349.0,"""https://simple-bd-archive.org/solo_result/ULAS%20J002707.24%2B142349.0"""
ULAS J002740.95+085940.3,ULAS J002740.95+085940.3,"""https://simple-bd-archive.org/solo_result/ULAS%20J002740.95%2B085940.3"""
PC 0025+0447,2MASS J00274197+0503417,"""https://simple-bd-archive.org/solo_result/2MASS%20J00274197%2B0503417"""
LP 349-25,2MASS J00275592+2219328,"""https://simple-bd-archive.org/solo_result/2MASS%20J00275592%2B2219328"""
SDSS J002800.37+010252.0,SDSS J002800.37+010252.0,"""https://simple-bd-archive.org/solo_result/SDSS%20J002800.37%2B010252.0"""
2MASS J00282091+2249050,2MASS J00282091+2249050,"""https://simple-bd-archive.org/solo_result/2MASS%20J00282091%2B2249050"""
ULAS J002827.56+142349.1,ULAS J002827.56+142349.1,"""https://simple-bd-archive.org/solo_result/ULAS%20J002827.56%2B142349.1"""
2MASSI J0028394+150141,2MASSI J0028394+150141,"""https://simple-bd-archive.org/solo_result/2MASSI%20J0028394%2B150141"""
2MASS J00285545-1927165,2MASS J00285545-1927165,"""https://simple-bd-archive.org/solo_result/2MASS%20J00285545-1927165"""
ULAS J002912.25+145604.9,ULAS J002912.25+145604.9,"""https://simple-bd-archive.org/solo_result/ULAS%20J002912.25%2B145604.9"""
DENIS-P J003006.2-373948,DENIS-P J003006.2-373948,"""https://simple-bd-archive.org/solo_result/DENIS-P%20J003006.2-373948"""
HIP 2397B,HIP 2397B,"""https://simple-bd-archive.org/solo_result/HIP%202397B"""
2MASSW J0030300-145033,2MASS J00303013-1450333,"""https://simple-bd-archive.org/solo_result/2MASS%20J00303013-1450333"""
2MASSW J0030438+313932,2MASSW J0030438+313932,"""https://simple-bd-archive.org/solo_result/2MASSW%20J0030438%2B313932"""
WISE J003110.04+574936.3,2MASS J00310928+5749364,"""https://simple-bd-archive.org/solo_result/2MASS%20J00310928%2B5749364"""
DENIS J0031192-384035,2MASS J00311925-3840356,"""https://simple-bd-archive.org/solo_result/2MASS%20J00311925-3840356"""
PSO J007.9194+33.5961,PSO J007.9194+33.5961,"""https://simple-bd-archive.org/solo_result/PSO%20J007.9194%2B33.5961"""
2MASS J00315477+0649463,2MASS J00315477+0649463,"""https://simple-bd-archive.org/solo_result/2MASS%20J00315477%2B0649463"""
2MASS J00320509+0219017,2MASS J00320509+0219017,"""https://simple-bd-archive.org/solo_result/2MASS%20J00320509%2B0219017"""
WISE J003231.09-494651.4,WISE J003231.09-494651.4,"""https://simple-bd-archive.org/solo_result/WISE%20J003231.09-494651.4"""
2MASSI J0032431-223727,2MASSI J0032431-223727,"""https://simple-bd-archive.org/solo_result/2MASSI%20J0032431-223727"""
EROS-MP J0032-4405,2MASS J00325584-4405058,"""https://simple-bd-archive.org/solo_result/2MASS%20J00325584-4405058"""
SDSSp J003259.36+141036.6,2MASS J00325937+1410371,"""https://simple-bd-archive.org/solo_result/2MASS%20J00325937%2B1410371"""
2MASS J00332386-1521309,2MASS J00332386-1521309,"""https://simple-bd-archive.org/solo_result/2MASS%20J00332386-1521309"""
WISEA J003338.45+282732.4,WISEA J003338.45+282732.4,"""https://simple-bd-archive.org/solo_result/WISEA%20J003338.45%2B282732.4"""
ULAS J003402.77-005206.7,CFBDS J003402-005205,"""https://simple-bd-archive.org/solo_result/CFBDS%20J003402-005205"""
2MASS J00344300-4102266,2MASS J00344300-4102266,"""https://simple-bd-archive.org/solo_result/2MASS%20J00344300-4102266"""
2MASS J00345157+0523050,2MASS J00345157+0523050,"""https://simple-bd-archive.org/solo_result/2MASS%20J00345157%2B0523050"""
2MASSI J0034568-070601,2MASS J00345684-0706013,"""https://simple-bd-archive.org/solo_result/2MASS%20J00345684-0706013"""
SDSS J003524.44+144739.8,SDSS J003524.44+144739.8,"""https://simple-bd-archive.org/solo_result/SDSS%20J003524.44%2B144739.8"""
SDSS J003609.26+241343.3,SDSS J003609.26+241343.3,"""https://simple-bd-archive.org/solo_result/SDSS%20J003609.26%2B241343.3"""
2MASSW J0036159+182110,2MASS J00361617+1821104,"""https://simple-bd-archive.org/solo_result/2MASS%20J00361617%2B1821104"""
ULAS J003716.06-005404.7,ULAS J003716.06-005404.7,"""https://simple-bd-archive.org/solo_result/ULAS%20J003716.06-005404.7"""
2MASS J00374306-5846229,2MASS J00374306-5846229,"""https://simple-bd-archive.org/solo_result/2MASS%20J00374306-5846229"""
2MASS J00381489-6403529,2MASS J00381489-6403529,"""https://simple-bd-archive.org/solo_result/2MASS%20J00381489-6403529"""
WISE J003829.05+275852.1,WISE J003829.05+275852.1,"""https://simple-bd-archive.org/solo_result/WISE%20J003829.05%2B275852.1"""
WISE J003830.54+840517.7,WISE J003830.54+840517.7,"""https://simple-bd-archive.org/solo_result/WISE%20J003830.54%2B840517.7"""
SDSS J003843.99+134339.5,SDSS J003843.99+134339.5,"""https://simple-bd-archive.org/solo_result/SDSS%20J003843.99%2B134339.5"""
HD 3651B,54 Psc B,"""https://simple-bd-archive.org/solo_result/54%20Psc%20B"""
WISE J004024.88+090054.8,WISE J004024.88+090054.8,"""https://simple-bd-archive.org/solo_result/WISE%20J004024.88%2B090054.8"""
ULAS J004030.42+091524.9,ULAS J004030.42+091524.9,"""https://simple-bd-archive.org/solo_result/ULAS%20J004030.42%2B091524.9"""
SDSS J004058.93+152845.0,SDSS J004058.93+152845.0,"""https://simple-bd-archive.org/solo_result/SDSS%20J004058.93%2B152845.0"""
HD 3861B,HD 3861B,"""https://simple-bd-archive.org/solo_result/HD%203861B"""
2MASS J00412179+3547133,2MASS J00412179+3547133,"""https://simple-bd-archive.org/solo_result/2MASS%20J00412179%2B3547133"""
DENIS-P J0041353-562112,DENIS J004135.3-562112,"""https://simple-bd-archive.org/solo_result/DENIS%20J004135.3-562112"""
SDSS J004154.54+134135.5,SDSS J004154.54+134135.5,"""https://simple-bd-archive.org/solo_result/SDSS%20J004154.54%2B134135.5"""
WISEA J004206.84-584023.9,WISEA J004206.84-584023.9,"""https://simple-bd-archive.org/solo_result/WISEA%20J004206.84-584023.9"""
SDSS J004221.15+145923.9,SDSS J004221.15+145923.9,"""https://simple-bd-archive.org/solo_result/SDSS%20J004221.15%2B145923.9"""
2MASS J00425923+1142104,2MASS J00425923+1142104,"""https://simple-bd-archive.org/solo_result/2MASS%20J00425923%2B1142104"""
WISEA J004326.26+222124.0,WISEA J004326.26+222124.0,"""https://simple-bd-archive.org/solo_result/WISEA%20J004326.26%2B222124.0"""
LHS 1135,2MASS J00433134+2054316,"""https://simple-bd-archive.org/solo_result/2MASS%20J00433134%2B2054316"""
ULAS J004355.61+141117.6,ULAS J004355.61+141117.6,"""https://simple-bd-archive.org/solo_result/ULAS%20J004355.61%2B141117.6"""
WISEA J004403.39+022810.6,WISEA J004403.39+022810.6,"""https://simple-bd-archive.org/solo_result/WISEA%20J004403.39%2B022810.6"""
PSO J011.1793-03.7847,PSO J011.1793-03.7847,"""https://simple-bd-archive.org/solo_result/PSO%20J011.1793-03.7847"""
2MASSW J0045214+163445,2MASS J00452143+1634446,"""https://simple-bd-archive.org/solo_result/2MASS%20J00452143%2B1634446"""
ULAS J004539.97+135032.7,ULAS J004539.97+135032.7,"""https://simple-bd-archive.org/solo_result/ULAS%20J004539.97%2B135032.7"""
WISE J004542.56+361139.1,WISE J004542.56+361139.1,"""https://simple-bd-archive.org/solo_result/WISE%20J004542.56%2B361139.1"""
2MASS J00461551+0252004,2MASS J00461551+0252004,"""https://simple-bd-archive.org/solo_result/2MASS%20J00461551%2B0252004"""
2MASS J00464841+0715177,2MASS J00464841+0715177,"""https://simple-bd-archive.org/solo_result/2MASS%20J00464841%2B0715177"""
WISEP J004701.06+680352.1,2MASS J00470038+6803543,"""https://simple-bd-archive.org/solo_result/2MASS%20J00470038%2B6803543"""
WISEA J004713.81-371033.7,WISEA J004713.81-371033.7,"""https://simple-bd-archive.org/solo_result/WISEA%20J004713.81-371033.7"""
ULAS J004757.41+154641.4,ULAS J004757.41+154641.4,"""https://simple-bd-archive.org/solo_result/ULAS%20J004757.41%2B154641.4"""
2MASS J00492677-0635467,2MASS J00492677-0635467,"""https://simple-bd-archive.org/solo_result/2MASS%20J00492677-0635467"""
WISEPC J004928.48+044100.1,WISEP J004928.48+044100.1,"""https://simple-bd-archive.org/solo_result/WISEP%20J004928.48%2B044100.1"""
WISE J004945.61+215120.0,WISE J004945.61+215120.0,"""https://simple-bd-archive.org/solo_result/WISE%20J004945.61%2B215120.0"""
2MASS J00501994-3322402,2MASS J00501994-3322402,"""https://simple-bd-archive.org/solo_result/2MASS%20J00501994-3322402"""
SIPS J0050-1538,SIPS J0050-1538,"""https://simple-bd-archive.org/solo_result/SIPS%20J0050-1538"""
ULAS J005038.20-000336.6,ULAS J005038.20-000336.6,"""https://simple-bd-archive.org/solo_result/ULAS%20J005038.20-000336.6"""
2MASSW J0051107-154417,2MASS J00511078-1544169,"""https://simple-bd-archive.org/solo_result/2MASS%20J00511078-1544169"""
2MASS J00521232+0012172,2MASS J00521232+0012172,"""https://simple-bd-archive.org/solo_result/2MASS%20J00521232%2B0012172"""
RG 0050-2722,RG 0050-2722,"""https://simple-bd-archive.org/solo_result/RG%200050-2722"""
2MASS J00531899-3631102,2MASS J00531899-3631102,"""https://simple-bd-archive.org/solo_result/2MASS%20J00531899-3631102"""
SDSS J005349.11-011354.4,SDSS J005349.11-011354.4,"""https://simple-bd-archive.org/solo_result/SDSS%20J005349.11-011354.4"""
SDSSp J005406.55-003101.8,SDSSp J005406.55-003101.8,"""https://simple-bd-archive.org/solo_result/SDSSp%20J005406.55-003101.8"""
2MASS J00550564+0134365,2MASS J00550564+0134365,"""https://simple-bd-archive.org/solo_result/2MASS%20J00550564%2B0134365"""
LHS 1166,LHS 1166,"""https://simple-bd-archive.org/solo_result/LHS%201166"""
SDSS J005636.22-011131.9,SDSS J005636.22-011131.9,"""https://simple-bd-archive.org/solo_result/SDSS%20J005636.22-011131.9"""
SDSS J005705.55-084624.2,SDSS J005705.55-084624.2,"""https://simple-bd-archive.org/solo_result/SDSS%20J005705.55-084624.2"""
WISEA J005757.64+201304.0,WISEA J005757.64+201304.0,"""https://simple-bd-archive.org/solo_result/WISEA%20J005757.64%2B201304.0"""
2MASSW J0058425-065123,SIPS J0058-0651,"""https://simple-bd-archive.org/solo_result/SIPS%20J0058-0651"""
CFBDS J005910.90-011401.3,CFBDS J005910.90-011401.3,"""https://simple-bd-archive.org/solo_result/CFBDS%20J005910.90-011401.3"""
SDSS J005935.48+150905.0,SDSS J005935.48+150905.0,"""https://simple-bd-archive.org/solo_result/SDSS%20J005935.48%2B150905.0"""
ULAS J010036.01+062044.1,ULAS J010036.01+062044.1,"""https://simple-bd-archive.org/solo_result/ULAS%20J010036.01%2B062044.1"""
WISEA J010202.11+035541.4,WISEA J010202.11+035541.4,"""https://simple-bd-archive.org/solo_result/WISEA%20J010202.11%2B035541.4"""
LHS 132,LP  938-71,"""https://simple-bd-archive.org/solo_result/LP%20%20938-71"""
ULAS J010324.69+092746.5,ULAS J010324.69+092746.5,"""https://simple-bd-archive.org/solo_result/ULAS%20J010324.69%2B092746.5"""
2MASSI J0103320+193536,2MASS J01033203+1935361,"""https://simple-bd-archive.org/solo_result/2MASS%20J01033203%2B1935361"""
2MASS J01033563-5515561(AB)b,2MASS J01033563-5515561(AB)b,"""https://simple-bd-archive.org/solo_result/2MASS%20J01033563-5515561%28AB%29b"""
2MASSI J0104075-005328,2MASSI J0104075-005328,"""https://simple-bd-archive.org/solo_result/2MASSI%20J0104075-005328"""
ULAS J010531.78+142931.5,ULAS J010531.78+142931.5,"""https://simple-bd-archive.org/solo_result/ULAS%20J010531.78%2B142931.5"""
ULAS J010557.68+034643.6,ULAS J010557.68+034643.6,"""https://simple-bd-archive.org/solo_result/ULAS%20J010557.68%2B034643.6"""
2MASS J01062285-5933185,2MASS J01062285-5933185,"""https://simple-bd-archive.org/solo_result/2MASS%20J01062285-5933185"""
ULAS2MASS J0106+1518,2MASS J01063737+1518556,"""https://simple-bd-archive.org/solo_result/2MASS%20J01063737%2B1518556"""
2MASS J01071607-1517577,2MASS J01071607-1517577,"""https://simple-bd-archive.org/solo_result/2MASS%20J01071607-1517577"""
SDSS J010718.70+132656.2,SDSS J010718.70+132656.2,"""https://simple-bd-archive.org/solo_result/SDSS%20J010718.70%2B132656.2"""
SDSSp J010752.33+004156.1,2MASS J01075242+0041563,"""https://simple-bd-archive.org/solo_result/2MASS%20J01075242%2B0041563"""
SDSS J010840.49+134739.3,SDSS J010840.49+134739.3,"""https://simple-bd-archive.org/solo_result/SDSS%20J010840.49%2B134739.3"""
SDSS J010859.24-104546.3,SDSS J010859.24-104546.3,"""https://simple-bd-archive.org/solo_result/SDSS%20J010859.24-104546.3"""
SSSPM J0109-5101,2MASS J01090150-5100494,"""https://simple-bd-archive.org/solo_result/2MASS%20J01090150-5100494"""
SSSPM J0109-4955,2MASS J01090918-4954532,"""https://simple-bd-archive.org/solo_result/2MASS%20J01090918-4954532"""
2MASS J01092170+2949255,2MASS J01092170+2949255,"""https://simple-bd-archive.org/solo_result/2MASS%20J01092170%2B2949255"""
2MASS J01095117-0343264,2MASS J01095117-0343264,"""https://simple-bd-archive.org/solo_result/2MASS%20J01095117-0343264"""
SDSS J011014.30+010619.1,SDSS J011014.30+010619.1,"""https://simple-bd-archive.org/solo_result/SDSS%20J011014.30%2B010619.1"""
ULAS J011151.89-010534.2,ULAS J011151.89-010534.2,"""https://simple-bd-archive.org/solo_result/ULAS%20J011151.89-010534.2"""
WISEA J011154.36-505343.2,WISEA J011154.36-505343.2,"""https://simple-bd-archive.org/solo_result/WISEA%20J011154.36-505343.2"""
GU Psc b,GU Psc b,"""https://simple-bd-archive.org/solo_result/GU%20Psc%20b"""
ULAS J011249.67+153657.6,ULAS J011249.67+153657.6,"""https://simple-bd-archive.org/solo_result/ULAS%20J011249.67%2B153657.6"""
ULAS J011438.94+085420.8,ULAS J011438.94+085420.8,"""https://simple-bd-archive.org/solo_result/ULAS%20J011438.94%2B085420.8"""
WISEA J011639.05-165420.5,WISEA J011639.05-165420.5,"""https://simple-bd-archive.org/solo_result/WISEA%20J011639.05-165420.5"""
ULAS J011645.47+144335.3,ULAS J011645.47+144335.3,"""https://simple-bd-archive.org/solo_result/ULAS%20J011645.47%2B144335.3"""
DENIS J0116529-645557,DENIS J0116529-645557,"""https://simple-bd-archive.org/solo_result/DENIS%20J0116529-645557"""
2MASS J01165457-1357342,2MASS J01165457-1357342,"""https://simple-bd-archive.org/solo_result/2MASS%20J01165457-1357342"""
2MASSI J0117474-340325,2MASS J01174748-3403258,"""https://simple-bd-archive.org/solo_result/2MASS%20J01174748-3403258"""
SDSS J011816.78+141841.4,SDSS J011816.78+141841.4,"""https://simple-bd-archive.org/solo_result/SDSS%20J011816.78%2B141841.4"""
