# %ECSV 1.0
# ---
# datatype:
# - {name: No Match, datatype: string}
# delimiter: ','
# schema: astropy-2.0
No Match
2MASS J07180871-6415310
LSR J0721+3714
WISEA J072352.62-330943.5
2MASS J07244848+2506143
SDSS J073050.99+461459.5
SDSS J073402.85+313450.7
Gaia J073408.90-433025.6
SDSS J073745.38+462044.8
2MASS J07414279-0506464
SDSS J074313.34+151020.8
SDSS J074912.70+200559.0
SDSS J074913.84+314340.0
CWISE J074956.20-682722.4
SDSS J075128.09+345323.4
SDSS J075215.94+454746.2
SDSS J075236.47+170725.1
SDSS J075246.31+382429.0
SDSS J075414.03+431534.1
2MASS J07552723+1138485
2MASS J07555430-3259589
CWISE J075648.34-600130.9
SDSS J075725.19+484427.4
CWISE J075831.11+571153.9
SDSS J080004.17+462732.6
SDSS J080429.15+402759.7
CWISE J080436.67-000028.6
SDSS J081110.35+185527.9
SDSS J081132.87+485532.9
SDSS J081439.92+562857.2
SDSS J081554.27+484018.9
CWISE J081606.70+482822.9
SDSS J081740.85+363019.4
SDSS J081828.75+430639.8
SDSS J081948.63+442538.7
SDSS J082213.75+510120.2
SDSS J082239.18+511222.7
SDSS J082401.74+461320.4
SDSS J082422.21+105858.2
NLTT 19472
SDSS J082502.70+172249.6
SDSS J082509.64+122434.3
LP 35-347
WISEA J082624.09-601202.8
2MASS J08270185+4129191
SDSS J082911.91+471355.7
SDSS J083240.53+335713.1
ULAS J083346.88+001248.0
SDSS J083629.70+100651.8
LP 258-51
SDSS J084135.31+455442.0
SDSS J084201.68+440725.8
PSO J130.9+030.1
2MASS J08443811+2226161
LT UMa B
SDSS J084457.38+120825.4
SDSS J084519.34+542031.7
SDSS J084951.89+555903.4
SIMP J08511977+1043470
LSPM J0852+2540
HR 3549 B
CWISE J085401.22-502028.1
WISE J085510.83-071442.5
WISEA J085633.87-181546.6
SDSS J085637.49+374614.1
G 9-38A
G 9-38B
SDSS J090031.75+190714.5
SDSS J090051.84+520512.1
LP 606-35
LP 546-37
2MASS J09053247+1339138
SDSS J090757.81+143642.9
2MASS J09083688+5526401
SDSS J090847.02+523230.7
SDSS J091130.53+224810.7
SDSS J091136.57+143244.4
SDSS J091215.18+453447.7
SIMP J09155650+0514212
VIK  J091641.18-010911.5
SDSS J091655.37+465349.6
CWISE J091735.38-634451.2
SDSS J091816.02+481300.4
SDSS J091934.26+493957.2
2MASS J09194512+5135149
SDSS J091956.15+393419.1
SIMP J09213274-1534290
SDSS J092308.93+182553.9
SDSS J092441.88+122301.3
WISEA J092453.76+072306.0
SDSS J092610.28+434322.9
2MASS J09325053+1836485
PSO J143.8+001.7
SIMP J09363433+0528243
SDSS J093756.58+203353.7
CWISE J093823.15-841114.4
SDSS J093907.38+462952.4
SDSS J094037.30+354218.0
SDSS J094157.53+533442.3
LSPM J0942+2351
SDSS J094522.05+474558.0
SIMP J09455513-0757441
SIMP J09463358+1808211
SIMP J09465378+0922432
SIMP J09475068+0617139
2MASS J09481259+5300387
CWISE J094925.88-102601.9
SDSS J095041.44+480904.4
PSO J147.7520-11.2675
2MASS J09512690-8023553
SIMP J09514402-1343474
CWISE J095316.32-094318.9
TVLM 262-47735
20 LMi B
SDSS J100236.25+460420.4
SIMP J10035482-1441534
SIMP J10043728-1127342
CWISEP J100854.84+203136.6
SDSS J100912.71+461056.2
SIMP J10135847-1946546
SIMP J10144907+1900041
SDSS J101929.15+171205.7
WISEA J101944.62-391151.6
SDSS J102616.36+423320.8
SDSS J102628.39+295436.0
2MASS J10265851+2515262
2MASS J10271549+5445175
2MASS J10293958+5715445
SDSS J103115.68+525853.5
SDSS J103143.09+524558.7
LP 316-400
SDSS J103806.71+462617.3
SDSS J103855.06+215626.5
SIMP J10390264-2829293
SIMP J10390822+2440446
SIMP J10391406-1904471
SDSS J104001.90+432131.8
SIMP J10414238-0429259
SIMP J10441549+0620138
GJ 3629 B
ULAS J105131.80+025751.0
SIMP J10520466+1722433
2MASS J10524963+1858151
SDSS J105251.02+531147.1
2MASSW J1054119-850502
2MASS J10551343+2504028
UPM J1055-7356
SDSS J105649.79+232841.7
SIMP J10580444+1339474
2MASS J10592523+5659596
SDSS J110123.76+482350.8
WISEA J110125.95+540052.8
LP 373-53
SDSS J110443.47+162435.6
PM I11055+4331
2MASS J11060459-1907025
[NC98] Cha Ha 8
SDSS J111142.61+461809.1
SDSS J111320.60+551121.9
LP 169-6
SDSS J111423.85+402624.6
SIMP J11171536+1857037
SDSS J111723.26+395813.1
SDSS J111741.17+450947.0
2MASS J11213919-1053269
WISEA J112158.76+004412.3
SIMP J11220855+0343193
LP 264-45
SIMP J11272648+1234310
YSES 2 b
LSPM J1128+0141
2MASS J11282763+5934003
WISEA J112859.45+511016.8
SDSS J112912.12+380612.2
SDSS J113013.86+275049.1
CWISE J113019.19-115811.3
SIMP J11303803+2341480
SDSS J113135.64+382941.6
SDSS J113148.24+245848.8
SIMP J11322058-3809562
