# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
SDSSp J003259.36+141036.6 W4,only upper error
2MASS J00332386-1521309 W4,only upper error
WISEA J003338.45+282732.4 W4,only upper error
ULAS J003402.77-005206.7 W3,only upper error
ULAS J003402.77-005206.7 W4,only upper error
2MASS J00344300-4102266 W4,only upper error
2MASS J00345157+0523050 W4,only upper error
2MASSI J0034568-070601 W4,only upper error
SDSS J003524.44+144739.8 W3,only upper error
SDSS J003524.44+144739.8 W4,only upper error
SDSS J003609.26+241343.3 W3,only upper error
SDSS J003609.26+241343.3 W4,only upper error
2MASSW J0036159+182110 W4,only upper error
ULAS J003716.06-005404.7 W3,only upper error
ULAS J003716.06-005404.7 W4,only upper error
2MASS J00374306-5846229 W4,only upper error
2MASS J00381489-6403529 W4,only upper error
WISE J003830.54+840517.7 W3,only upper error
WISE J003830.54+840517.7 W4,only upper error
WISE J003829.05+275852.1 W4,only upper error
SDSS J003843.99+134339.5 W3,only upper error
SDSS J003843.99+134339.5 W4,only upper error
HD 3651B,missing wise designation name
HD 3651B,missing proper motion values
HD 3651B W1,only upper error
HD 3651B W2,only upper error
HD 3651B W3,only upper error
HD 3651B W4,only upper error
PSO J009.8334+58.5781 W4,only upper error
WISE J004024.88+090054.8 W3,only upper error
WISE J004024.88+090054.8 W4,only upper error
SDSS J004058.93+152845.0 W3,only upper error
SDSS J004058.93+152845.0 W4,only upper error
HD 3861B,missing wise designation name
HD 3861B,missing proper motion values
HD 3861B W1,only upper error
HD 3861B W2,only upper error
HD 3861B W3,only upper error
HD 3861B W4,only upper error
2MASS J00412179+3547133 W3,only upper error
2MASS J00412179+3547133 W4,only upper error
DENIS-P J0041353-562112 W4,only upper error
CWISE J004143.77-401929.9 W4,only upper error
SDSS J004154.54+134135.5 W3,only upper error
SDSS J004154.54+134135.5 W4,only upper error
WISEA J004206.84-584023.9 W3,only upper error
WISEA J004206.84-584023.9 W4,only upper error
SDSS J004221.15+145923.9 W3,only upper error
SDSS J004221.15+145923.9 W4,only upper error
2MASS J00425923+1142104 W3,only upper error
2MASS J00425923+1142104 W4,only upper error
CWISE J004311.24-382225.0 W3,only upper error
CWISE J004311.24-382225.0 W4,only upper error
HD 4113 C,missing wise designation name
HD 4113 C,missing proper motion values
HD 4113 C W1,only upper error
HD 4113 C W2,only upper error
HD 4113 C W3,only upper error
HD 4113 C W4,only upper error
WISEA J004326.26+222124.0 W3,only upper error
WISEA J004326.26+222124.0 W4,only upper error
LHS 1135 W3,only upper error
LHS 1135 W4,only upper error
ULAS J004355.61+141117.6 W3,only upper error
ULAS J004355.61+141117.6 W4,only upper error
WISEA J004403.39+022810.6 W3,only upper error
WISEA J004403.39+022810.6 W4,only upper error
PSO J011.1793-03.7847 W3,only upper error
PSO J011.1793-03.7847 W4,only upper error
ULAS J004539.97+135032.7 W3,only upper error
ULAS J004539.97+135032.7 W4,only upper error
WISE J004542.56+361139.1 W4,only upper error
2MASS J00461551+0252004 W4,only upper error
2MASS J00464841+0715177 W4,only upper error
WISEP J004701.06+680352.1,"duplicate, already ingested"
WISEP J004701.06+680352.1 W4,only upper error
WISEA J004713.81-371033.7 W3,only upper error
WISEA J004713.81-371033.7 W4,only upper error
ULAS J004757.41+154641.4 W3,only upper error
ULAS J004757.41+154641.4 W4,only upper error
WISEU J004851.21+250814.9,missing wise designation name
