# %ECSV 1.0
# ---
# datatype:
# - {name: Skipped, datatype: string}
# - {name: Reason, datatype: string}
# delimiter: ','
# schema: astropy-2.0
Skipped,Reason
2MASS J06143818+3950357 W4,only upper error
2MASSI J0614528+453655 W4,only upper error
DENIS-P J0615493-010041 W4,only upper error
WISEA J061557.21+152626.1,missing proper motion values
WISEA J061557.21+152626.1 W1,only upper error
WISEA J061557.21+152626.1 W3,only upper error
WISEA J061557.21+152626.1 W4,only upper error
2MASS J06160532-4557080 W4,only upper error
2MASS J06164006-6407194 W3,only upper error
2MASS J06164006-6407194 W4,only upper error
AB Pic b,missing wise designation name
AB Pic b,missing proper motion values
AB Pic b W1,only upper error
AB Pic b W2,only upper error
AB Pic b W3,only upper error
AB Pic b W4,only upper error
2MASS J06193544-5249367 W4,only upper error
WISEPA J062309.94-045624.6 W4,only upper error
WISE J062442.37+662625.6 W4,only upper error
2MASS J06244595-4521548 W4,only upper error
WISEPA J062542.21+564625.5 W4,only upper error
SDSS J062621.22+002934.2 W3,only upper error
SDSS J062621.22+002934.2 W4,only upper error
WISEPA J062720.07-111428.8 W4,only upper error
2MASS J06272161-5308428 W4,only upper error
WISE J062842.71-805725.0 W3,only upper error
WISE J062842.71-805725.0 W4,only upper error
WISE J062905.13+241804.9 W3,only upper error
WISE J062905.13+241804.9 W4,only upper error
DENIS-P J0630014-184014 W4,only upper error
2MASS J06320617+8305014 W4,only upper error
2MASS J06322402-5010349 W4,only upper error
LSPM J0632+5053B W3,only upper error
LSPM J0632+5053B W4,only upper error
PSO J098.2822-23.2845 W3,only upper error
PSO J098.2822-23.2845 W4,only upper error
2MASS J06353541-6234059 W4,only upper error
2MASS J06395596-7418446 W4,only upper error
2MASS J06411840-4322329 W4,only upper error
WISE J064205.58+410155.5 W4,only upper error
WISEA J064223.48+042343.1 W3,only upper error
WISEA J064223.48+042343.1 W4,only upper error
2MASS J06431685-1843375 W4,only upper error
WISE J064336.71-022315.4 W4,only upper error
DENIS-P J0644143-284141 W4,only upper error
WISEA J064503.72+524054.1,missing proper motion values
WISEA J064503.72+524054.1 W3,only upper error
WISEA J064503.72+524054.1 W4,only upper error
WISE J064528.38-030248.2 W3,only upper error
WISE J064528.38-030248.2 W4,only upper error
2MASS J06453153-6646120 W4,only upper error
HD 46588B,missing proper motion values
HD 46588B W4,only upper error
PSO J101.8428+39.7462 W3,only upper error
PSO J101.8428+39.7462 W4,only upper error
WISE J064723.23-623235.5 W3,only upper error
WISE J064723.23-623235.5 W4,only upper error
WISEA J064750.85-154616.4 W4,only upper error
HD 49197B,missing wise designation name
HD 49197B,missing proper motion values
HD 49197B W1,only upper error
HD 49197B W2,only upper error
HD 49197B W3,only upper error
HD 49197B W4,only upper error
HIP 32728B W3,only upper error
HIP 32728B W4,only upper error
WISEA J065113.90-835502.6 W3,only upper error
WISEA J065113.90-835502.6 W4,only upper error
2MASS J06512977-1446150 W4,only upper error
DENIS-P J0652197-253450 W4,only upper error
PSO J103.0927+41.4601 W4,only upper error
UGPS J065227.71+032431.0,missing wise designation name
UGPS J065227.71+032431.0,missing proper motion values
UGPS J065227.71+032431.0 W1,only upper error
UGPS J065227.71+032431.0 W2,only upper error
UGPS J065227.71+032431.0 W3,only upper error
UGPS J065227.71+032431.0 W4,only upper error
2MASS J06524851-5741376 W4,only upper error
SDSS J065405.63+652805.4 W3,only upper error
SDSS J065405.63+652805.4 W4,only upper error
WISEPA J065609.60+420531.0 W4,only upper error
2MASS J06572547-4019134 W4,only upper error
2MASS J06575576+4029420 W4,only upper error
WISEA J065958.55+171710.9 W4,only upper error
2MASS J07003664+3157266 W4,only upper error
WISE J070159.79+632129.2 W3,only upper error
WISE J070159.79+632129.2 W4,only upper error
ESO 207-61 W4,only upper error
2MASSW J0708213+295035 W3,only upper error
2MASS J07083261-4701475 W4,only upper error
2MASS J07123786-6155528 W4,only upper error
WISE J071301.84-585445.1 W3,only upper error
WISE J071301.84-585445.1 W4,only upper error
WISE J071322.55-291751.9 W4,only upper error
PSO J108.4590+38.2086 W3,only upper error
PSO J108.4590+38.2086 W4,only upper error
2MASS J07140394+3702459 W4,only upper error
WISEA J071552.38-114532.9 W4,only upper error
DENIS-P J0716478-063037 W4,only upper error
2MASSW J0717163+570543 W4,only upper error
PSO J109.4864+46.5278 W3,only upper error
PSO J109.4864+46.5278 W4,only upper error
2MASS J07193188-5051410 W4,only upper error
2MASS J07202582-5617224,missing proper motion values
UGPS J072227.51-054031.2 W4,only upper error
WISE J072312.44+340313.5 W3,only upper error
WISE J072312.44+340313.5 W4,only upper error
2MASS J07231462+5727081 W4,only upper error
2MASSI J0727182+171001,"duplicate, already ingested"
2MASSI J0727182+171001 W4,only upper error
2MASS J07290002-3954043,"duplicate, already ingested"
2MASS J07290002-3954043 W4,only upper error
WISE J073347.94+754439.2 W3,only upper error
WISE J073347.94+754439.2 W4,only upper error
WISE J073444.02-715744.0 W3,only upper error
SDSS J073519.59+410850.4 W3,only upper error
SDSS J073519.59+410850.4 W4,only upper error
2MASS J07354882+2720167 W3,only upper error
2MASS J07354882+2720167 W4,only upper error
SDSS J073922.26+661503.5 W3,only upper error
SDSS J073922.26+661503.5 W4,only upper error
HIP 37283B W4,only upper error
SDSS J074007.30+200921.9 W3,only upper error
SDSS J074007.30+200921.9 W4,only upper error
2MASSW J0740096+321203 W3,only upper error
2MASSW J0740096+321203 W4,only upper error
PSO J115.0659+59.0473 W3,only upper error
PSO J115.0659+59.0473 W4,only upper error
2MASS J07410404-0359495 W4,only upper error
2MASS J07410681+1738459 W4,only upper error
SDSS J074149.15+235127.5 W3,only upper error
SDSS J074149.15+235127.5 W4,only upper error
2MASS J07415784+0531568 W4,only upper error
SDSS J074201.41+205520.5 W3,only upper error
SDSS J074201.41+205520.5 W4,only upper error
SDSS J074227.46+412620.8 W3,only upper error
SDSS J074227.46+412620.8 W4,only upper error
SDSS J074231.29+180816.5 W3,only upper error
SDSS J074231.29+180816.5 W4,only upper error
SDSS J074434.60+320705.1 W3,only upper error
SDSS J074434.60+320705.1 W4,only upper error
WISEPA J074457.15+562821.8 W4,only upper error
ULAS J074502.79+233240.3,missing wise designation name
ULAS J074502.79+233240.3,missing proper motion values
ULAS J074502.79+233240.3 W1,only upper error
ULAS J074502.79+233240.3 W2,only upper error
ULAS J074502.79+233240.3 W3,only upper error
ULAS J074502.79+233240.3 W4,only upper error
SDSS J074515.08+254619.1 W3,only upper error
SDSS J074515.08+254619.1 W4,only upper error
2MASSI J0746425+200032 W4,only upper error
SDSS J074656.83+251019.0 W3,only upper error
SDSS J074656.83+251019.0 W4,only upper error
SDSS J074756.31+394732.9 W3,only upper error
SDSS J074756.31+394732.9 W4,only upper error
SDSS J074838.61+174332.9 W3,only upper error
SDSS J074838.61+174332.9 W4,only upper error
WISEPA J075003.84+272544.8 W3,only upper error
WISEPA J075003.84+272544.8 W4,only upper error
SDSS J075004.93+330618.0 W3,only upper error
SDSS J075004.93+330618.0 W4,only upper error
SDSS J075054.74+445418.7 W3,only upper error
SDSS J075054.74+445418.7 W4,only upper error
COCONUTS-2b W4,only upper error
DENIS-P J0751164-253043 W4,only upper error
SDSS J075256.70+173433.8 W3,only upper error
SDSS J075256.70+173433.8 W4,only upper error
SDSS J075259.43+413634.6 W3,only upper error
SDSS J075259.43+413634.6 W4,only upper error
2MASSI J0753321+291711 W3,only upper error
2MASSI J0753321+291711 W4,only upper error
HD 65216BC,missing wise designation name
HD 65216BC,missing proper motion values
HD 65216BC W1,only upper error
HD 65216BC W2,only upper error
HD 65216BC W3,only upper error
HD 65216BC W4,only upper error
NLTT 18587B W4,only upper error
WISE J075430.95+790957.8 W4,only upper error
WISEA J075438.20+090044.9 W1,only upper error
WISEA J075438.20+090044.9 W3,only upper error
WISEA J075438.20+090044.9 W4,only upper error
SDSS J075515.26+293445.4 W3,only upper error
SDSS J075515.26+293445.4 W4,only upper error
2MASSI J0755480+221218 W3,only upper error
2MASSI J0755480+221218 W4,only upper error
2MASSI J0756252+124456 W3,only upper error
2MASSI J0756252+124456 W4,only upper error
SDSS J075656.54+231458.5 W3,only upper error
SDSS J075656.54+231458.5 W4,only upper error
SDSS J075752.70+091410.0 W4,only upper error
HIP 38939B W3,only upper error
HIP 38939B W4,only upper error
ULAS J075829.83+222526.7 W3,only upper error
ULAS J075829.83+222526.7 W4,only upper error
SDSS J075840.33+324723.4 W4,only upper error
SDSS J075910.45+242712.5 W3,only upper error
SDSS J075910.45+242712.5 W4,only upper error
2MASS J07592947+0323564 W4,only upper error
WISEPC J075946.98-490454.0 W3,only upper error
WISEPC J075946.98-490454.0 W4,only upper error
SDSS J080027.57+551134.1 W4,only upper error
SDSS J080048.13+465825.5 W3,only upper error
SDSS J080048.13+465825.5 W4,only upper error
SDSS J080054.27+241316.8 W3,only upper error
SDSS J080054.27+241316.8 W4,only upper error
2MASSW J0801405+462850 W3,only upper error
2MASSW J0801405+462850 W4,only upper error
SDSS J080159.52+480628.6 W3,only upper error
SDSS J080255.75+332143.6 W3,only upper error
SDSS J080255.75+332143.6 W4,only upper error
SDSS J080322.77+123845.3 W3,only upper error
SDSS J080322.77+123845.3 W4,only upper error
2MASS J08034469+0827000 W4,only upper error
LSPM J0804+6153 W4,only upper error
2MASS J08041429+0330474 W4,only upper error
ULAS J080441.05+182611.6 W3,only upper error
ULAS J080441.05+182611.6 W4,only upper error
DENIS-P J080511.0-315811 W4,only upper error
SDSS J080519.69+492504.8 W4,only upper error
SDSS J080531.84+481233.0 W4,only upper error
SDSS J080549.90+511312.6 W4,only upper error
SDSS J080550.06+533531.4 W3,only upper error
SDSS J080550.06+533531.4 W4,only upper error
WISEA J080622.22-082046.5 W4,only upper error
WISE J080700.23+413026.8 W4,only upper error
2MASS J08072607+3213101 W4,only upper error
SDSS J080858.99+410741.0 W3,only upper error
SDSS J080858.99+410741.0 W4,only upper error
SDSS J080959.01+443422.2 W4,only upper error
2MASS J08105865+1420390 W4,only upper error
NLTT 19109B,missing wise designation name
NLTT 19109B,missing proper motion values
NLTT 19109B W1,only upper error
NLTT 19109B W2,only upper error
NLTT 19109B W3,only upper error
NLTT 19109B W4,only upper error
WISE J081220.04+402106.2 W3,only upper error
WISE J081220.04+402106.2 W4,only upper error
DENIS-P J0812316-244442 W4,only upper error
SDSS J081253.19+372104.2 W3,only upper error
SDSS J081253.19+372104.2 W4,only upper error
SDSS J081301.02+322807.9 W3,only upper error
SDSS J081301.02+322807.9 W4,only upper error
COCONUTS-3B W3,only upper error
COCONUTS-3B W4,only upper error
2MASS J08151407+1030117 W4,only upper error
SDSS J081556.74+452411.8 W3,only upper error
SDSS J081556.74+452411.8 W4,only upper error
SDSS J081653.72+344535.8 W3,only upper error
SDSS J081653.72+344535.8 W4,only upper error
SDSS J081733.99+393606.0 W3,only upper error
SDSS J081733.99+393606.0 W4,only upper error
SDSS J081752.63+194727.6 W3,only upper error
SDSS J081752.63+194727.6 W4,only upper error
SDSS J081757.49+182405.0 W4,only upper error
SDSS J081802.24+582920.9 W3,only upper error
SDSS J081802.24+582920.9 W4,only upper error
SDSS J081812.28+331048.2 W3,only upper error
SDSS J081812.28+331048.2 W4,only upper error
SDSS J081814.38+245337.4 W3,only upper error
SDSS J081814.38+245337.4 W4,only upper error
2MASS J08185804+2333522 W4,only upper error
ULAS J081918.58+210310.4 W3,only upper error
ULAS J081918.58+210310.4 W4,only upper error
2MASS J08194351-0450071 W4,only upper error
2MASS J08194602+1658539 W4,only upper error
ULAS J081948.09+073323.3 W4,only upper error
WISEPA J081958.05-033529.0 W4,only upper error
2MASSW J0820299+450031 W4,only upper error
SDSS J082030.12+103737.0 W4,only upper error
2MASS J08204440-7514571 W4,only upper error
SDSS J082115.06+333651.2 W3,only upper error
SDSS J082115.06+333651.2 W4,only upper error
WISEPA J082131.63+144319.3 W3,only upper error
WISEPA J082131.63+144319.3 W4,only upper error
ULAS J082155.49+250939.6 W3,only upper error
ULAS J082155.49+250939.6 W4,only upper error
DENIS-P J0823031-491201 W4,only upper error
2MASS J08230838+6125208 W4,only upper error
ULAS J082327.46+002424.4,missing wise designation name
ULAS J082327.46+002424.4,missing proper motion values
ULAS J082327.46+002424.4 W1,only upper error
ULAS J082327.46+002424.4 W2,only upper error
ULAS J082327.46+002424.4 W3,only upper error
ULAS J082327.46+002424.4 W4,only upper error
SDSS J082346.99+154947.4 W3,only upper error
SDSS J082346.99+154947.4 W4,only upper error
2MASS J08234818+2428577 W4,only upper error
ULAS J082428.08+055742.5 W3,only upper error
ULAS J082428.08+055742.5 W4,only upper error
WISEA J082507.37+280548.2 W3,only upper error
WISEA J082507.37+280548.2 W4,only upper error
2MASSI J0825196+211552 W4,only upper error
SDSS J082539.87+310040.7 W3,only upper error
SDSS J082539.87+310040.7 W4,only upper error
2MASS J08254335-0029110 W3,only upper error
2MASS J08254335-0029110 W4,only upper error
SDSS J082612.27+544735.4 W4,only upper error
WISEA J082640.45-164031.8 W4,only upper error
SDSS J082642.65+193922.0 W3,only upper error
SDSS J082642.65+193922.0 W4,only upper error
ULAS J082707.67-020408.2,missing wise designation name
ULAS J082707.67-020408.2,missing proper motion values
ULAS J082707.67-020408.2 W1,only upper error
ULAS J082707.67-020408.2 W2,only upper error
ULAS J082707.67-020408.2 W3,only upper error
ULAS J082707.67-020408.2 W4,only upper error
2MASS J08274661-1619256 W4,only upper error
2MASSW J0829066+145622 W3,only upper error
2MASSW J0829066+145622 W4,only upper error
SDSS J082928.21+343954.0 W4,only upper error
2MASS J08293244-0238543 W4,only upper error
2MASS J08294908-0012241 W4,only upper error
LHS 248,missing proper motion values
PSO J127.4696+10.5777 W4,only upper error
2MASSW J0829570+265510 W3,only upper error
2MASSW J0829570+265510 W4,only upper error
SDSSp J083008.12+482847.4 W4,only upper error
WISEA J083011.95+283716.0 W1,only upper error
PSO J127.5648-11.1861 W3,only upper error
PSO J127.5648-11.1861 W4,only upper error
SDSS J083027.24+220345.0 W3,only upper error
SDSS J083027.24+220345.0 W4,only upper error
LHS 2021 W4,only upper error
SDSS J083048.80+012831.1 W3,only upper error
SDSS J083048.80+012831.1 W4,only upper error
SDSS J083122.08+153850.3 W3,only upper error
SDSS J083122.08+153850.3 W4,only upper error
2MASSW J0832045-012835 W4,only upper error
LHS 2026 W4,only upper error
eta Cnc B,missing wise designation name
eta Cnc B,missing proper motion values
eta Cnc B W1,only upper error
eta Cnc B W2,only upper error
eta Cnc B W3,only upper error
eta Cnc B W4,only upper error
ULAS J083258.66+011241.9,missing wise designation name
ULAS J083258.66+011241.9,missing proper motion values
ULAS J083258.66+011241.9 W1,only upper error
ULAS J083258.66+011241.9 W2,only upper error
ULAS J083258.66+011241.9 W3,only upper error
ULAS J083258.66+011241.9 W4,only upper error
ULAS J083334.60-014454.7,missing wise designation name
ULAS J083334.60-014454.7,missing proper motion values
ULAS J083334.60-014454.7 W1,only upper error
ULAS J083334.60-014454.7 W2,only upper error
ULAS J083334.60-014454.7 W3,only upper error
ULAS J083334.60-014454.7 W4,only upper error
WISE J083337.82+005214.1 W1,only upper error
WISE J083337.82+005214.1 W3,only upper error
WISE J083337.82+005214.1 W4,only upper error
SDSS J083424.12+071916.2 W3,only upper error
SDSS J083424.12+071916.2 W4,only upper error
SDSS J083429.19+230855.0 W3,only upper error
SDSS J083429.19+230855.0 W4,only upper error
WISE J083450.79+642526.8 W3,only upper error
WISE J083450.79+642526.8 W4,only upper error
SDSS J083506.16+195304.4 W3,only upper error
SDSS J083506.16+195304.4 W4,only upper error
2MASS J08352366+1029318 W4,only upper error
2MASSI J0835425-081923 W4,only upper error
SDSS J083545.33+222430.9 W3,only upper error
SDSS J083545.33+222430.9 W4,only upper error
HD 72946 B,missing wise designation name
HD 72946 B,missing proper motion values
HD 72946 B W1,only upper error
HD 72946 B W2,only upper error
HD 72946 B W3,only upper error
HD 72946 B W4,only upper error
2MASS J08355829+0548308 W4,only upper error
SDSS J083611.43+450319.5 W3,only upper error
SDSS J083611.43+450319.5 W4,only upper error
ULAS J083613.47+022106.3 W3,only upper error
ULAS J083613.47+022106.3 W4,only upper error
SDSS J083621.98+494931.5 W3,only upper error
SDSS J083621.98+494931.5 W4,only upper error
WISEPC J083641.12-185947.2 W3,only upper error
WISEPC J083641.12-185947.2 W4,only upper error
SDSS J083646.35+052642.6 W3,only upper error
SDSS J083646.35+052642.6 W4,only upper error
SDSS J083652.36+183544.9 W3,only upper error
SDSS J083652.36+183544.9 W4,only upper error
SDSSp J083717.22-000018.3 W3,only upper error
SDSSp J083717.22-000018.3 W4,only upper error
SDSS J083724.78+081603.9 W3,only upper error
SDSS J083724.78+081603.9 W4,only upper error
SDSS J083732.80+161737.5 W3,only upper error
SDSS J083732.80+161737.5 W4,only upper error
eta Pyx B,missing wise designation name
eta Pyx B,missing proper motion values
eta Pyx B W1,only upper error
eta Pyx B W2,only upper error
eta Pyx B W3,only upper error
eta Pyx B W4,only upper error
SDSS J083759.75+195727.7 W3,only upper error
SDSS J083759.75+195727.7 W4,only upper error
2MASS J08381155+1511155 W3,only upper error
2MASS J08381155+1511155 W4,only upper error
ULAS J083842.51+081700.5 W3,only upper error
ULAS J083842.51+081700.5 W4,only upper error
2MASS J08391608+1253543 W4,only upper error
SDSS J083926.25+433936.0 W4,only upper error
SDSS J084001.62+451752.4 W3,only upper error
SDSS J084001.62+451752.4 W4,only upper error
SDSS J084016.42+543002.1 W3,only upper error
SDSS J084016.42+543002.1 W4,only upper error
LHS 2034 W4,only upper error
SDSS J084036.04+143424.3 W4,only upper error
SDSS J084106.85+603506.3 W3,only upper error
SDSS J084106.85+603506.3 W4,only upper error
SDSS J084149.77+005844.6 W3,only upper error
SDSS J084149.77+005844.6 W4,only upper error
WISEA J084254.56-061023.7 W3,only upper error
WISEA J084254.56-061023.7 W4,only upper error
ULAS J084302.02+001246.9 W3,only upper error
ULAS J084302.02+001246.9 W4,only upper error
SDSS J084307.95+314129.2 W4,only upper error
WISEA J084329.01+694709.8 W3,only upper error
WISEA J084329.01+694709.8 W4,only upper error
SDSS J084333.28+102443.5 W4,only upper error
SDSS J084407.00+284702.1 W3,only upper error
SDSS J084407.00+284702.1 W4,only upper error
ULAS J084410.65-015944.2 W3,only upper error
ULAS J084410.65-015944.2 W4,only upper error
2MASS J08441409-2924121 W3,only upper error
2MASS J08441409-2924121 W4,only upper error
SDSS J084444.58+403620.0 W3,only upper error
SDSS J084444.58+403620.0 W4,only upper error
UGCS J084510.66+214817.1 W3,only upper error
UGCS J084510.66+214817.1 W4,only upper error
SDSS J084520.21+360551.4 W3,only upper error
SDSS J084520.21+360551.4 W4,only upper error
SDSS J084610.73+030837.5 W4,only upper error
ULAS J084710.35+020413.3 W3,only upper error
ULAS J084710.35+020413.3 W4,only upper error
2MASSI J0847287-153237 W4,only upper error
SDSS J084751.48+013811.0 W3,only upper error
SDSS J084751.48+013811.0 W4,only upper error
SDSS J084758.93+260723.9 W3,only upper error
SDSS J084758.93+260723.9 W4,only upper error
SDSS J084934.05+591622.9 W3,only upper error
SDSS J084934.05+591622.9 W4,only upper error
2MASS J08500174-1924184 W4,only upper error
ULAS J085035.45+062152.7 W3,only upper error
ULAS J085035.45+062152.7 W4,only upper error
2MASSW J0850359+105716 W4,only upper error
WISEA J085039.11-022154.3 W4,only upper error
SDSS J085116.20+181730.0 W3,only upper error
SDSS J085116.20+181730.0 W4,only upper error
ULAS J085139.03+005340.9 W3,only upper error
ULAS J085139.03+005340.9 W4,only upper error
SDSS J085213.94+421921.3 W4,only upper error
SDSS J085214.41+094048.0 W3,only upper error
SDSS J085214.41+094048.0 W4,only upper error
WISEA J085224.36+513925.5 W3,only upper error
WISEA J085224.36+513925.5 W4,only upper error
SDSS J085234.90+472035.0 W4,only upper error
ULAS J085311.68+032147.7 W3,only upper error
ULAS J085311.68+032147.7 W4,only upper error
ULAS J085342.94+000651.8 W3,only upper error
ULAS J085342.94+000651.8 W4,only upper error
SDSS J085359.10+223335.8 W3,only upper error
SDSS J085359.10+223335.8 W4,only upper error
PSO J133.8016-02.5658 W3,only upper error
PSO J133.8016-02.5658 W4,only upper error
PSO J133.8302+06.0160 W3,only upper error
PSO J133.8302+06.0160 W4,only upper error
ULAS J085540.39-021923.9 W3,only upper error
ULAS J085540.39-021923.9 W4,only upper error
ULAS J085559.77+003048.3 W4,only upper error
SDSS J085602.05+124014.3 W3,only upper error
SDSS J085602.05+124014.3 W4,only upper error
2MASSI J0856479+223518 W4,only upper error
WISEPA J085716.25+560407.6 W3,only upper error
WISEPA J085716.25+560407.6 W4,only upper error
SDSS J085805.47+221457.8 W3,only upper error
SDSS J085805.47+221457.8 W4,only upper error
SDSS J085834.42+325627.7 W4,only upper error
SDSS J085836.98+271050.8 W4,only upper error
SDSS J085858.92+180445.7,missing proper motion values
SDSS J085858.92+180445.7 W3,only upper error
SDSS J085858.92+180445.7 W4,only upper error
ULAS J085910.69+101017.1 W3,only upper error
ULAS J085910.69+101017.1 W4,only upper error
2MASSI J0859254-194926 W4,only upper error
ULAS J085931.39+063600.6 W3,only upper error
ULAS J085931.39+063600.6 W4,only upper error
2MASS J08593854+6341355 W4,only upper error
CWISEP J085938.95+534908.7 W1,only upper error
CWISEP J085938.95+534908.7 W3,only upper error
CWISEP J085938.95+534908.7 W4,only upper error
2MASS J08594029+1145325 W4,only upper error
SDSS J085959.78+292205.3 W3,only upper error
SDSS J085959.78+292205.3 W4,only upper error
PSO J135.0395+32.0845,missing proper motion values
PSO J135.0395+32.0845 W3,only upper error
PSO J135.0395+32.0845 W4,only upper error
SDSS J090023.68+253934.3 W4,only upper error
SDSS J090040.61+422721.5 W3,only upper error
SDSS J090040.61+422721.5 W4,only upper error
ULAS J090116.23-030635.0 W3,only upper error
ULAS J090116.23-030635.0 W4,only upper error
CFBDS J090139.82+174051.3 W3,only upper error
CFBDS J090139.82+174051.3 W4,only upper error
SDSS J090154.73+381837.5 W3,only upper error
SDSS J090154.73+381837.5 W4,only upper error
2MASSI J0902146-064209 W4,only upper error
SDSS J090238.98+301840.3 W3,only upper error
SDSS J090238.98+301840.3 W4,only upper error
WISEA J090258.99+670833.1 W4,only upper error
PSO J135.7840+16.9932 W3,only upper error
PSO J135.7840+16.9932 W4,only upper error
2MASS J09033514-0637336 W3,only upper error
2MASS J09033514-0637336 W4,only upper error
SDSS J090347.55+011446.0 W3,only upper error
SDSS J090347.55+011446.0 W4,only upper error
CFBDS J090449.60+165347.0 W3,only upper error
SDSS J090509.00+043819.9 W3,only upper error
SDSS J090509.00+043819.9 W4,only upper error
ULAS J090521.61+100654.9 W3,only upper error
ULAS J090521.61+100654.9 W4,only upper error
SDSS J090531.00+195433.0 W3,only upper error
SDSS J090531.00+195433.0 W4,only upper error
2MASS J09054654+5623117 W4,only upper error
PSO J136.5380-14.3267 W3,only upper error
PSO J136.5380-14.3267 W4,only upper error
PSO J136.5494-06.1944 W4,only upper error
WISEPA J090649.36+473538.6 W3,only upper error
WISEPA J090649.36+473538.6 W4,only upper error
ULAS J090710.26-022145.7 W3,only upper error
ULAS J090710.26-022145.7 W4,only upper error
SDSS J090737.68+450935.7 W4,only upper error
2MASSI J0908380+503208 W4,only upper error
SDSS J090900.73+652527.2 W4,only upper error
SDSS J090948.13+194043.9 W4,only upper error
DENIS-P J090957.1-065806 W4,only upper error
CWISE J091105.02+214645.1 W3,only upper error
CWISE J091105.02+214645.1 W4,only upper error
2MASS J09111297+7401081 W4,only upper error
SDSS J091128.95+320644.7 W3,only upper error
SDSS J091128.95+320644.7 W4,only upper error
SDSS J091206.36+420330.6 W3,only upper error
SDSS J091206.36+420330.6 W4,only upper error
Gl 337CD,missing proper motion values
Gl 337CD W4,only upper error
PSO J138.1887-06.9862 W4,only upper error
2MASSW J0913032+184150 W3,only upper error
2MASSW J0913032+184150 W4,only upper error
2MASS J09130443-0733042,missing proper motion values
2MASS J09130443-0733042 W4,only upper error
WISE J091408.96-345941.5 W3,only upper error
WISE J091408.96-345941.5 W4,only upper error
SDSS J091414.38+105719.5 W3,only upper error
SDSS J091414.38+105719.5 W4,only upper error
SDSS J091524.34+383128.3 W3,only upper error
SDSS J091524.34+383128.3 W4,only upper error
2MASS J09153413+0422045 W4,only upper error
ULAS J091544.13+053104.1 W3,only upper error
ULAS J091544.13+053104.1 W4,only upper error
2MASS J09161504+2139512 W4,only upper error
SDSS J091656.32+105740.0 W3,only upper error
SDSS J091656.32+105740.0 W4,only upper error
WISEA J091657.18-112104.7 W4,only upper error
SDSS J091659.09+512450.4 W4,only upper error
SDSS J091714.76+314824.8 W3,only upper error
SDSS J091714.76+314824.8 W4,only upper error
ULAS J091740.85+004254.0 W3,only upper error
ULAS J091740.85+004254.0 W4,only upper error
SDSS J091750.34+294445.0 W3,only upper error
SDSS J091750.34+294445.0 W4,only upper error
2MASS J09175418+6028065 W3,only upper error
2MASS J09175418+6028065 W4,only upper error
2MASSW J0918382+213406 W4,only upper error
2MASSW J0920122+351742 W4,only upper error
SDSS J092026.43+265157.7 W3,only upper error
SDSS J092026.43+265157.7 W4,only upper error
WISE J092055.40+453856.3 W4,only upper error
2MASS J09211410-2104446 W4,only upper error
SDSS J092142.52+084202.7 W3,only upper error
SDSS J092142.52+084202.7 W4,only upper error
SDSS J092201.37+224935.1 W3,only upper error
SDSS J092201.37+224935.1 W4,only upper error
2MASS J09221952-8010399 W4,only upper error
SDSS J092300.89+052801.5 W3,only upper error
SDSS J092300.89+052801.5 W4,only upper error
SDSS J092308.70+234013.7 W4,only upper error
2MASS J09240328+3653444 W3,only upper error
2MASS J09240328+3653444 W4,only upper error
ULAS J092432.13+005835.6 W3,only upper error
ULAS J092432.13+005835.6 W4,only upper error
SDSS J092532.11+283550.9 W3,only upper error
SDSS J092532.11+283550.9 W4,only upper error
ULAS J092608.82+040239.7 W4,only upper error
SDSSp J092615.38+584720.9 W4,only upper error
ULAS J092624.76+071140.7 W3,only upper error
ULAS J092624.76+071140.7 W4,only upper error
ULAS J092646.81-015150.0 W3,only upper error
ULAS J092646.81-015150.0 W4,only upper error
ULAS J092659.46-005611.1 W3,only upper error
ULAS J092659.46-005611.1 W4,only upper error
SDSS J092757.46+602746.3 W3,only upper error
SDSS J092757.46+602746.3 W4,only upper error
2MASS J09282562+4230545 W4,only upper error
2MASSW J0928397-160312 W4,only upper error
WISEPC J092906.77+040957.9 W4,only upper error
2MASSW J0929336+342952 W4,only upper error
SDSS J093109.56+032732.5 W3,only upper error
SDSS J093109.56+032732.5 W4,only upper error
SDSS J093113.23+280227.1 W4,only upper error
2MASS J09312823+0528223 W4,only upper error
ULAS J093129.56-020902.8 W3,only upper error
ULAS J093129.56-020902.8 W4,only upper error
SDSS J093146.84+544227.1 W3,only upper error
SDSS J093146.84+544227.1 W4,only upper error
SDSS J093215.46+345624.8 W3,only upper error
SDSS J093215.46+345624.8 W4,only upper error
SDSS J093237.47+672514.5 W3,only upper error
SDSS J093237.47+672514.5 W4,only upper error
SDSS J093242.84+042215.2 W4,only upper error
SDSS J093328.00+265448.4 W3,only upper error
SDSS J093328.00+265448.4 W4,only upper error
NLTT 22073B W4,only upper error
2MASS J09342920-1352434 W4,only upper error
PSO J143.6774-29.8356 W4,only upper error
ULAS J093512.60+012347.4 W3,only upper error
ULAS J093512.60+012347.4 W4,only upper error
2MASS J09352803-2934596 W4,only upper error
SDSS J093535.49+234217.5 W3,only upper error
SDSS J093535.49+234217.5 W4,only upper error
SDSS J093600.12+043147.9 W3,only upper error
SDSS J093600.12+043147.9 W4,only upper error
SDSS J093706.72+284705.6 W3,only upper error
SDSS J093706.72+284705.6 W4,only upper error
2MASSI J0937347+293142 W4,only upper error
ULAS J093744.66+071903.3 W3,only upper error
ULAS J093744.66+071903.3 W4,only upper error
