source,access_url,regime,telescope,instrument,mode,observation_date,comments,reference
ULAS_J141832.35+025323.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J141832.35+025323.0_sdL0_OSIRIS_GTC46-14A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2014-03-13T05:33:21.877000,,Zhan18.1352
2MASS_J00412179+3547133,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/2MASS_J00412179+3547133_sdL0.5_OSIRIS_GTC80-15A_Primeval-I.fits,optical,GTC,OSIRIS,Missing,2015-08-21T02:37:58.373000,,Zhan18.1352
ULAS_J223623.17+034344.5,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J223623.17+034344.5_M9_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-06T01:57:53.744000,,Zhan18.1352
ULAS_J024035.36+060629.3,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J024035.36+060629.3_sdM7_Xshooter_VIS_Primevl-IV.fits,optical,ESO VLT,XShooter,Echelle,2015-01-17T01:22:00.947000,,Zhan18.1352
ULAS_J002009.35+160451.2,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J002009.35+160451.2_sdM9_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-08-01T01:05:15.695000,,Zhan18.1352
ULAS_J135122.15+141914.9,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J135122.15+141914.9_esdM7_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-05-09T03:19:43.102000,,Zhan18.1352
ULAS_J135058.85+081506.8,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J135058.85+081506.8_usdL3_Xshooter_VIS_Primeval-III.fits,optical,ESO VLT,XShooter,Echelle,2016-03-22T05:48:58.990000,,Zhan18.1352
ULAS_J020858.62+020657.0,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J020858.62+020657.0_esdL3_Xshooter_VIS_Primeval-III.fits,optical,ESO VLT,XShooter,Echelle,2014-11-29T01:58:57.238000,,Zhan18.1352
ULAS_J214816.13+012225.1,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J214816.13+012225.1_M7_OSIRIS_GTC63-13A_Primeval-IV.fits,optical,GTC,OSIRIS,Missing,2013-07-17T03:22:38.729000,,Zhan18.1352
ULAS_J024035.36+060629.3,/Users/guanying/SIMPLE Archieve/SIMPLE-db/scripts/ingests/Zhang18/sty2054_supplemental_files/ULAS_J024035.36+060629.3_sdM7_Xshooter_NIR_Primevl-IV.fits,nir,ESO VLT,XShooter,Echelle,2015-01-17T01:22:03.972100,,Zhan18.1352
