CatWISE,2MASS Designation,Other Name,Primary,RA,Dec,SpT Secondary,SpT Primary,Primary RA,Primary Dec,Distance (pc),d_error,Parallax (mas),ePlx,Separation (arcsec),Separation (AU),Age (Gyr),Ref
J005635.48-240401.9,,,HIP 4417,14.1478506,-24.0672083,L8,K0,14.14994287,-24.03882034,67.59634169,0.07667658353,14.7937,0.0168,102,6924,,Austin
J030005.73-062218.6,,,BPS CS 22963-0014,45.0238923,-6.371848,L9,K7,45.04083562,-6.367547834,67.12715898,0.07561645651,14.8971,0.0168,63,4200,,Austin
J055909.00-384219.8,,,HD 40781,89.787502,-38.7055027,L4,G0V,89.805745,-38.710543,60.65127337,1.304092365,16.4877,0.3623,54.5,3259,<1,Austin
J065752.45+163350.2,,,HD 51400,104.46857,16.563966,L6,G5,104.458324,16.578581,37.07905997,0.7768074169,26.9694,0.5771,64,2254,,Austin
J085131.24-603056.2,,,PM J08515-6029,132.8801846,-60.5156128,L3,K7,132.8970116,-60.49046264,30.92978012,0.01310057158,32.3313,0.0137,95.34,2948,<1,Austin
J133427.70-273053.1,,,HD 117987,203.61543,-27.514766,L0,K3V,203.60361,-27.506543,36.95040886,0.4567222641,27.0633,0.3387,50,1772,,Austin
J183207.94-540943.3,,,HD 170573,278.03311,-54.162028,T7,K4.5Vk,278.271169,-54.26319,19.12400579,0.008152248772,52.2903,0.0223,619.29,11843,9-13.5,Austin
,J00250365+4759191,2MASS J00250365+4759191,HD 2057,6.2669728,47.9877566,L4+L4,F8**,6.286472,48.047403,54.00676165,0.3952201539,18.5162,0.1365,210,8800,< 1,
J012217.01+033121.2,,HD 8291 B,HD 8291,20.5708829,3.522572,L1+T3,G5V,20.578001,3.513129,50.38087945,0.3536145893,19.8488,0.1403,44.9,2570,0.5-10,"36, 97"
J091214.03+145944.4,,Gl 337 CD,Gl 337,138.0584919,14.9956706,L8.5+L7.5,G9V**,138.073114,14.996049,20.34616973,0.1425169114,49.1493,0.3467,43,881,0.6-3.4,36
J111225.33+354810.4,,Gl 417 BC,Gl 417,168.1055653,35.8028953,L4.5+L6,G2,168.134793,35.81408,22.65375101,0.01963823136,44.1428,0.0383,90,2000,0.08-0.3,36
