name,name_simbadable,ref_discovery,ra_j2000_formula,dec_j2000_formula,source_j2000_formula,glon_j2000,glat_j2000,literature_flag,ref_literature_flag,exoplanet,multiplesystem_unresolved_in_this_table,multiplesystem_resolved_in_this_table,has_higher_mass_companion,sep_companion,youth_evidence,age_category,age_category_justification,age_singlevalue_gyr_formula,age_distribution_gyr_formula,designation_P1_formula,ra_j2000_P1,dec_j2000_P1,ra_epoch_P1,dec_epoch_P1,epoch_mjd_P1,ref_radec_P1,g_P1,gerr_P1,g_nphot_P1,g_src_P1,ref_g_P1,r_P1,rerr_P1,r_nphot_P1,r_src_P1,ref_r_P1,i_P1,ierr_P1,i_nphot_P1,i_src_P1,ref_i_P1,z_P1,zerr_P1,z_nphot_P1,z_src_P1,ref_z_P1,y_P1,yerr_P1,y_nphot_P1,y_src_P1,ref_y_P1,BP_Gaia,BPerr_Gaia,G_Gaia,Gerr_Gaia,RP_Gaia,RPerr_Gaia,ref_photom_Gaia,designation_2mass,ra_epoch_2mass,dec_epoch_2mass,epoch_2mass,J_2MASS,Jerr_2MASS,ref_J_2MASS,H_2MASS,Herr_2MASS,ref_H_2MASS,Ks_2MASS,Kserr_2MASS,ref_Ks_2MASS,Cflg_2MASS,designation_MKO,Y_MKO,Yerr_MKO,ref_Y_MKO,J_MKO,Jerr_MKO,ref_J_MKO,H_MKO,Herr_MKO,ref_H_MKO,K_MKO,Kerr_MKO,ref_K_MKO,Lp_MKO,Lperr_MKO,ref_Lp_MKO,Mp_MKO,Mperr_MKO,ref_Mp_MKO,designation_WISE,ra_j2000_WISE,dec_j2000_WISE,ra_epoch_WISE,dec_epoch_WISE,ref_astrom_WISE,W1,W1err,chi2_W1,ref_W1,W2,W2err,chi2_W2,ref_W2,W3,W3err,chi2_W3,ref_W3,W4,W4err,chi2_W4,ref_W4,flag_WISE,nb_AllWISE,neigh_AllWISE,ch1,ch1err,ch2,ch2err,ref_Spitzer,plx_formula,plxerr_formula,ref_plx_formula,pmra_formula,pmraerr_formula,pmdec_formula,pmdecerr_formula,ref_pm_formula,rv_formula,rverr_formula,ref_rv_formula,plx_lit,plxerr_lit,ref_plx_lit,pmra_lit,pmraerr_lit,pmdec_lit,pmdecerr_lit,pm_lit,pmerr_lit,angle_lit,angleerr_lit,ref_pm_lit,rv_lit,rverr_lit,ref_rv_lit,plx_UKIRT,plxerr_UKIRT,pmra_UKIRT,pmraerr_UKIRT,pmdec_UKIRT,pmdecerr_UKIRT,ref_plx_UKIRT,astrom_Gaia,ra_j2000_Gaia,dec_J2000_Gaia,ra_epoch_Gaia,dec_epoch_Gaia,plx_Gaia,plxerr_Gaia,pmra_Gaia,pmraerr_Gaia,pmdec_Gaia,pmdecerr_Gaia,RUWE_Gaia,nep_Gaia,rv_Gaia,rverr_Gaia,flags_Gaia,sourceID_Gaia_DR3,sourceID_Gaia_DR2,pmra_P1,pmraerr_P1,pmdec_P1,pmdecerr_P1,ref_pm_P1,pmra_catwise,pmraerr_catwise,pmdec_catwise,pmdecerr_catwise,grav_opt,ref_grav_opt,grav_ir,ref_grav_ir,spt_opt,ref_spt_opt,spt_ir,ref_spt_ir,sptnum_opt_formula,sptnum_ir_formula,sptnum_formula,sptnumabs_formula,dist_plx_formula,disterr_plx_formula,sptnum_photdist_formula,dist_J_2MASS_formula,disterr_J_2MASS_formula,dist_J_MKO_formula,disterr_J_MKO_formula,dist_Ks_2MASS_formula,disterr_Ks_2MASS_formula,dist_K_MKO_formula,disterr_K_MKO_formula,dist_W2_formula,disterr_W2_formula,dist_formula,disterr_formula,dist_formula_source,note,Best21_vollim_sample,Best24_vollim_sample,name_simbad,ra_j2000_simbad,dec_j2000_simbad,ref_radec_j2000_simbad,pmra_simbad,pmraerr_simbad,pmdec_simbad,pmdecerr_simbad,ref_pm_simbad,plx_simbad,plxerr_simbad,ref_plx_simbad,identifiers_simbad,firstref_simbad,pmra_P1_PV34,pmraerr_P1_PV34,pmdec_P1_PV34,pmdecerr_P1_PV34,ref_pm_P1_PV34,banyan_sigma_results,banyan_sigma_max_hypo_young,banyan_sigma_max_prob_young,banyan_sigma_input_params,name_simpleDB,url_simpleDB,ra_20240204_formula,dec_20240204_formula,source_radec_20240204_formula,gucds_shortname
PSO J260.3363+46.6739,2MASS J17212065+4640286,Best15,260.3361,46.6747,PS1,72.7066,34.4464,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),PSO J260.3363+46.6737,260.3361,46.6747,260.3363,46.6737,56041.69,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,20.0006,0.0266,14,C,Cham16,18.9209,0.0330,16,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,null,2MASS J17212065+4640286,260.336066,46.674637,2000-04-04,16.859,0.147,Cutr03,15.826,0.134,Cutr03,15.234,0.134,Cutr03,000,null,17.692,0.053,Schn23b;UCS_24,16.620,0.017,Schn23b,15.842,0.019,Best15,15.180,0.014,Schn23b,NaN,NaN,null,NaN,NaN,null,CWISE J172120.72+464024.6,260.3360549,46.6746941,260.3363348,46.6735032,Maro21,14.422,0.014,0.642,Maro21,13.913,0.012,0.739,Maro21,12.337,NaN,0.957,Cutr13,9.496,0.497,1.040,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,NaN,NaN,null,52,5,-275,5,Best18,NaN,NaN,null,NaN,NaN,null,54.10,8.82,-265.17,14.29,270.64,14.11,168.47,1.93,Best15,1.26,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,null,null,51.8,4.8,-275.1,4.7,Best18,44.9,6.4,-278.4,7.2,null,null,null,null,null,null,L9,Best15,NaN,19,19,19,NaN,NaN,19.0,27.4,4.4,25.9,4.2,30.3,5.1,27.7,3.8,27.8,3.6,28,4,dist_W2_formula,Schn16a find near-IR spectral type T0: (pec).,N,N,2MASS J17212065+4640286,260.3360670,46.6746360,Cutr03,54.000,9.000,-265.000,15.000,Best15,NaN,NaN,null,2MASS J17212065+4640286|PSO J260.3363+46.6739|TIC 316490916|WISEA J172120.69+464025.9|WISE J172120.70+464026.1,Best15,51.43,10.52,-276.76,10.20,Magn20,FIELD (99.9%),ABDMG,0.000,pm+phot-plx,PSO J260.3363+46.6739,https://simple-bd-archive.org/solo_result/PSO%20J260.3363%2B46.6739,260.3366,46.6728,PS1;Best18,J1721+4640
WISE J172134.46+111739.4,2MASS J17213449+1117379,Mace13a,260.3939,11.2939,PS1,33.1485,25.0119,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),PSO J260.3934+11.2943,260.3939,11.2939,260.3935,11.2944,56287.53,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,20.8029,0.0285,2,C,Cham16,19.2346,0.0407,8,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,null,2MASS J17213449+1117379,260.393747,11.293867,2000-05-23,16.660,0.070,Kirk21,16.410,0.100,Kirk21,15.950,0.150,Kirk21,000,null,17.455,0.057,Best21,16.420,0.020,Best20,16.693,0.059,Best21,16.509,0.059,Schn23b,NaN,NaN,null,NaN,NaN,null,CWISE J172134.43+111740.0,260.3938311,11.2939380,260.3934586,11.2944629,Maro21,15.849,0.023,0.779,Maro21,14.376,0.018,0.924,Maro21,12.463,0.498,0.796,Cutr13,8.485,NaN,0.921,Cutr13,0000,1,0,15.24,0.02,14.35,0.02,Mace13a,50.4,2.9,Kirk21,-91.1,1.8,132.2,1.8,Kirk21,NaN,NaN,null,50.40,2.90,Kirk21,-91.10,1.80,132.20,1.80,160.55,1.80,325.43,0.64,Kirk21,1.20,NaN,null,48.4,4.2,-97.1,3.5,135.8,1.6,Best20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,null,null,-72.8,4.3,142.0,3.2,Best18,-85.4,13.8,122.7,15.1,null,null,null,null,null,null,T6,Mace13a,NaN,26,26,26,19.8,1.1,26.0,20.8,3.9,21.6,4.3,15.1,4.1,19.1,4.7,19.6,2.9,19.8,1.1,dist_plx_formula,null,Y,Y,2MASS J17213449+1117379,260.3937460,11.2938670,Cutr03,-97.100,3.500,135.800,1.600,Best20,48.4000,4.2000,Best20,2MASS J17213449+1117379|TIC 319098254|WISEA J172134.46+111739.5|WISE J172134.46+111739.4|EQ J1721+1117,Kirk12,-115.62,65.26,133.24,37.58,Magn20,FIELD (98.1%); ARG (1.9%),ARG,0.019,pm+trig-plx,WISE J172134.46+111739.4,https://simple-bd-archive.org/solo_result/WISE%20J172134.46%2B111739.4,260.3933,11.2948,PS1;Kirk21,J1721+1117
PSO J260.9762+04.2354,2MASS J17235444+0414068,Best20,260.9770,4.2354,PS1,26.5348,21.3752,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),PSO J260.9762+04.2354,260.9770,4.2354,260.9762,4.2354,56075.71,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,20.4646,0.0175,10,C,Cham16,19.0788,0.1091,8,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,null,2MASS J17235444+0414068,260.976865,4.235243,2000-06-10,16.857,0.143,Cutr03,16.214,0.195,Cutr03,15.697,0.195,Cutr03,000,null,NaN,NaN,null,16.660,0.020,Schn23b,NaN,NaN,null,15.906,0.036,Schn23b,NaN,NaN,null,NaN,NaN,null,CWISE J172354.25+041407.6,260.9769782,4.2353122,260.9760431,4.2354517,Maro21,15.218,0.020,0.662,Maro21,14.258,0.018,0.784,Maro21,12.556,NaN,0.943,Cutr13,8.560,NaN,1.030,Cutr13,00O0,1,0,NaN,NaN,NaN,NaN,null,31.8,2.4,Best20,-212.9,2.2,15.7,1.1,Best20,NaN,NaN,null,NaN,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,1.03,NaN,null,31.8,2.4,-212.9,2.2,15.7,1.1,Best20,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,null,null,NaN,NaN,NaN,NaN,null,-218.0,12.0,32.6,13.6,null,null,null,null,null,null,T2.5,Best20,NaN,22.5,22.5,22.5,31.4,2.4,22.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.7,3.3,31.4,2.4,dist_plx_formula,null,N,N,2MASS J17235444+0414068,260.9768650,4.2352430,Cutr03,-212.900,2.200,15.700,1.100,Best20,31.8000,2.4000,Best20,2MASS J17235444+0414068|PSO J260.9762+04.2354|WISE J172354.32+041407.6,Best20,-223.47,19.97,7.18,16.27,Magn20,FIELD (99.9%),CARN,0.000,pm+trig-plx,PSO J260.9762+04.2354,https://simple-bd-archive.org/solo_result/PSO%20J260.9762%2B04.2354,260.9756,4.2355,PS1;Best20,J1723+0414
PSO J261.2881+22.9269,PSO J261.2881+22.9269,Best15,261.2882,22.9269,PS1,45.5859,28.6199,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),PSO J261.2881+22.9268,261.2882,22.9269,261.2881,22.9269,56153.80,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,21.5002,0.0789,13,W,Cham16,19.6330,0.0392,14,W,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,null,null,18.058,0.056,Schn23b;UCS_24,16.862,0.024,Schn23b,16.889,0.039,Best15,16.902,0.058,Schn23b,NaN,NaN,null,NaN,NaN,null,CWISE J172509.15+225536.7,261.2880663,22.9269743,261.2881336,22.9268772,Maro21,16.508,0.032,0.778,Maro21,15.141,0.027,0.837,Maro21,12.732,NaN,0.981,Cutr13,8.884,NaN,1.010,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,NaN,NaN,null,-32,10,-7,14,Best15,NaN,NaN,null,NaN,NaN,null,-31.97,10.42,-6.69,14.24,32.67,10.61,258.18,24.73,Best15,1.03,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,null,null,-19.8,32.0,-13.4,19.8,Best18,14.5,23.1,-22.7,24.2,null,null,null,null,null,null,T5,Best15,NaN,25,25,25,NaN,NaN,25.0,NaN,NaN,30.9,6.1,NaN,NaN,29.8,7.3,31.2,4.6,31,5,dist_W2_formula,null,N,N,PSO J261.2881+22.9269,261.2881700,22.9268900,Best15,-43.000,12.000,0.000,15.000,Best15,NaN,NaN,null,PSO J261.2881+22.9269|WISEA J172509.16+225536.7|WISE J172509.16+225536.8,Best15,-18.70,31.24,-13.46,27.90,Magn20,FIELD (99.8%); ARG (0.2%),ARG,0.002,pm+phot-plx,PSO J261.2881+22.9269,https://simple-bd-archive.org/solo_result/PSO%20J261.2881%2B22.9269,261.2880,22.9269,PS1;Best15,J1725+2255
SDSS J172533.04+553332.5,2MASS J17253303+5533322,West08,261.3877,55.5590,PS1,83.4813,34.0765,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),PSO J261.3879+55.5589,261.3877,55.5590,261.3879,55.5589,56007.22,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,20.8087,0.0199,23,W,Cham16,19.2987,0.0227,13,C,Cham16,18.3414,0.0131,18,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,null,2MASS J17253303+5533322,261.387665,55.558971,2000-03-16,16.623,0.167,Cutr03,15.725,0.193,Cutr03,15.526,0.193,Cutr03,000,null,NaN,NaN,null,16.490,0.015,Schn23b,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,CWISE J172533.10+553332.1,261.3876394,55.5590277,261.3879541,55.5589421,Maro21,15.062,0.014,0.631,Maro21,14.788,0.016,0.631,Maro21,12.826,NaN,0.962,Cutr13,9.701,NaN,0.937,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,NaN,NaN,null,42,7,-16,7,Best18,-29,NaN,West08,NaN,NaN,null,41.6,6.6,-15.5,7.2,44.39,6.63,110.44,9.32,Best18,1.00,NaN,West08,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,null,null,41.6,6.6,-15.5,7.2,Best18,41.6,8.5,-20.0,9.8,null,null,null,null,L0,West08,null,null,10,NaN,10,10,NaN,NaN,10.0,100.3,19.2,98.6,14.5,106.0,20.4,NaN,NaN,94.3,7.0,94,7,dist_W2_formula,null,N,N,2MASS J17253303+5533322,261.3876650,55.5589710,Cutr03,NaN,NaN,NaN,NaN,null,NaN,NaN,null,2MASS J17253303+5533322|SDSS J172533.04+553332.4|SDSS J172533.04+553332.5|SDSS J172533.03+553332.4|TIC 356109659|WISEA J172533.07+553332.2|WISE J172533.08+553332.3,West08,41.38,7.44,-14.64,8.26,Magn20,FIELD (99.9%),ABDMG,0.000,pm+phot-plx+rv,SDSS J172533.04+553332.5,https://simple-bd-archive.org/solo_result/SDSS%20J172533.04%2B553332.5,261.3882,55.5589,PS1;Best18,J1725+5533
SDSS J172545.59+640501.2,2MASS J17254557+6405005,Kell15,261.4397,64.0836,PS1,93.7216,33.5169,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),PSO J261.4387+64.0846,261.4397,64.0836,261.4387,64.0847,56037.94,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,21.6771,0.0440,2,C,Cham16,20.0420,0.0291,14,C,Cham16,19.0390,0.0188,7,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,null,2MASS J17254557+6405005,261.439890,64.083488,1999-05-12,17.400,0.080,Kell15,16.660,0.070,Kell15,16.200,0.070,Kell15,null,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,CWISE J172545.23+640505.6,261.4399445,64.0836268,261.4383755,64.0849760,Maro21,15.397,0.014,1.520,Maro21,15.179,0.016,0.974,Maro21,13.773,NaN,0.945,Cutr13,9.967,NaN,0.933,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,NaN,NaN,null,-160,7,315,8,Maro21,NaN,NaN,null,NaN,NaN,null,126.80,340.30,596.70,313.00,610.00,330.00,12.00,33.00,Zhan09,0.90,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,null,null,-136.6,9.7,326.2,6.2,Best18,-160.3,6.5,315.4,7.5,null,null,null,null,null,null,L2 pec (blue),Kell15,NaN,12,12,12,NaN,NaN,12.0,103.6,18.5,NaN,NaN,107.8,18.7,NaN,NaN,91.9,6.8,92,7,dist_W2_formula,Zhan09 find photometric spectral type L6.5,N,N,2MASS J17254557+6405005,261.4398920,64.0834890,Cutr03,NaN,NaN,NaN,NaN,null,NaN,NaN,null,2MASS J17254557+6405005|SDSS J172545.58+640501.1|TIC 219753309,Zhan09,-124.18,27.30,307.21,20.47,Magn20,FIELD (99.9%),ARG,0.000,pm+phot-plx,SDSS J172545.59+640501.2,https://simple-bd-archive.org/solo_result/SDSS%20J172545.59%2B640501.2,261.4373,64.0858,PS1;Maro21,J1725+6405
CWISE J172617.09-484424.9,2MASS J17261728-4844223,Kirk21,261.5717,-48.7395,CatWISE,341.2275,-7.4513,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),null,NaN,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,NaN,NaN,20.6288,0.0130,NaN,NaN,Gaia23,2MASS J17261728-4844223,261.572013,-48.739529,1999-06-26,14.893,0.026,Cutr03,14.213,0.030,Cutr03,14.122,0.059,Cutr03,000,VHS J172617.16-484424.2,NaN,NaN,null,14.623,0.004,McMa21,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,CWISE J172617.09-484424.9,261.5717348,-48.7395243,261.5712451,-48.7402759,Maro21,13.170,0.012,9.310,Maro21,12.422,0.010,1.320,Maro21,11.516,0.202,0.918,Cutr13,8.986,NaN,1.040,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,NaN,NaN,null,-76,5,-176,5,Maro21,NaN,NaN,null,NaN,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,0.48,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,null,O,261.5713196,-48.7403107,261.5713294,-48.7403096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,11,NaN,NaN,null,5950104450430632192,5950104450430632192,NaN,NaN,NaN,NaN,null,-75.5,5.1,-175.7,5.0,null,null,null,null,null,null,T2.5,Kirk21,NaN,22.5,22.5,22.5,NaN,NaN,22.5,11.0,1.8,11.2,1.7,12.6,2.2,NaN,NaN,11.0,1.4,11,1.4,dist_W2_formula,null,N,N,2MASS J17261728-4844223,261.5720130,-48.7395290,Cutr03,NaN,NaN,NaN,NaN,null,NaN,NaN,null,2MASS J17261728-4844223|CWISE J172617.09-484424.9|WISEA J172617.14-484424.0|WISE J172617.16-484423.9,Kirk21,NaN,NaN,NaN,NaN,null,FIELD (99.9%); ARG (0.1%),ARG,0.001,pm+phot-plx,null,null,261.5710,-48.7407,CatWISE;Maro21,J1726-4844
VVV BD001,VVV BD001,Beam13,261.6693,-27.6333,Gaia23,358.8537,4.2159,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),PSO J261.6672-27.6344,261.6693,-27.6334,261.6672,-27.6344,56032.20,Magn20,NaN,NaN,NaN,null,null,20.1420,0.0076,4,C,Cham16,18.1429,0.0079,3,C,Cham16,16.3618,0.0025,5,C,Cham16,15.3550,0.0051,3,C,Cham16,20.8908,0.2252,18.2185,0.0037,16.6610,0.0097,Gaia23,2MASS J17264070-2737593,261.669599,-27.633142,1998-07-12,13.403,0.029,Cutr03,12.659,0.029,Cutr03,12.225,0.028,Cutr03,00s,VVV J172640.19-273803.35,14.290,0.012,Smit18,13.200,0.010,Smit18,12.670,0.010,Smit18,12.210,0.030,Best21,NaN,NaN,null,NaN,NaN,null,null,NaN,NaN,NaN,NaN,null,NaN,NaN,NaN,null,NaN,NaN,NaN,null,NaN,NaN,NaN,null,NaN,NaN,NaN,null,null,NaN,NaN,11.48,0.01,11.47,0.02,Kirk21,54.5,0.3,Gaia23,-549.5,0.3,-329.43,0.24,Gaia23,NaN,NaN,null,57.00,4.00,Beam13,-545.50,4.00,-325.50,4.00,635.23,4.00,239.18,0.36,Beam13,0.25,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,null,O,261.6693420,-27.6332970,261.6665649,-27.6347618,54.4713,0.3169,-549.527,0.337,-329.432,0.239,1.523,17,NaN,NaN,null,4059973524888355584,4059973524888355584,-548.7,2.2,-329.6,4.4,Best18,NaN,NaN,NaN,NaN,null,null,null,null,null,null,L5: blue,Beam13,NaN,15,15,15,18.35,0.1,15.0,9.3,1.4,9.1,1.5,11.5,1.8,12.5,1.7,NaN,NaN,18.35,0.1,dist_plx_formula,Updated parallax in Beam17 (conference proceeding).,Y,Y,VVV BD001,261.6693288,-27.6332975,Gaia21a,-549.527,0.337,-329.432,0.239,Gaia21a,54.4713,0.3169,Gaia21a,2MASS J17264070-2737593|EPIC 251248366|EPIC 236324763|VVV BD001|Gaia DR2 4059973524888355584|Gaia DR3 4059973524888355584,Beam13,-548.94,6.29,-309.02,6.30,Magn20,FIELD (99.9%),LCC,0.000,pm+trig-plx,VVV BD001,https://simple-bd-archive.org/solo_result/VVV%20BD001,261.6652,-27.6355,Gaia23,J1726-2738
2MASS J17281134+0839590,2MASS J17281134+0839590,Reid08b,262.0472,8.6664,Gaia23,31.3164,22.4154,null,null,N,N,N,N,NaN,N,Field,UCS+BANYAN,2.5,2.5(+4.3/-2),PSO J262.0473+08.6658,262.0473,8.6664,262.0474,8.6659,55831.82,Magn20,21.9000,0.1870,4,C,Cham16,20.4813,0.0260,8,C,Cham16,17.6705,0.0018,11,C,Cham16,16.2418,0.0029,13,C,Cham16,15.3953,0.0050,13,C,Cham16,21.2440,0.1362,18.2827,0.0052,16.5845,0.0065,Gaia23,2MASS J17281134+0839590,262.047273,8.666412,2000-05-02,13.634,0.029,Cutr03,12.974,0.025,Cutr03,12.504,0.030,Cutr03,000,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,NaN,NaN,null,CWISE J172811.36+083956.7,262.0472457,8.6664164,262.0473509,8.6657529,Maro21,12.127,0.011,1.680,Maro21,11.913,0.009,1.320,Maro21,11.328,0.174,0.973,Cutr13,9.147,0.499,1.120,Cutr13,0000,1,0,NaN,NaN,NaN,NaN,null,27.6,0.3,Gaia23,34.99,0.29,-161.79,0.25,Gaia23,NaN,NaN,null,NaN,NaN,null,28.10,7.20,-166.00,7.20,168.36,7.19,170.39,2.45,Zach15,0.18,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,null,O,262.0472412,8.6664047,262.0473938,8.6656857,27.5693,0.3233,34.993,0.291,-161.793,0.249,1.610,21,NaN,NaN,null,4490357663379552256,4490357663379552256,31.9,2.0,-158.7,2.0,Magn20,24.3,4.4,-155.1,4.1,null,null,null,null,M9 pec,Reid08b,M9.8,Bard14,9,9.8,9,9,36.2,0.4,9.0,29.2,5.1,NaN,NaN,30.4,5.2,NaN,NaN,27.7,2.6,36.2,0.4,dist_plx_formula,null,N,N,2MASS J17281134+0839590,262.0472469,8.6664049,Gaia21a,34.993,0.291,-161.793,0.249,Gaia21a,27.5693,0.3233,Gaia21a,2MASS J17281134+0839590|TIC 302358683|Gaia DR2 4490357663379552256|Gaia DR3 4490357663379552256,Reid08b,31.95,2.04,-158.74,1.99,Magn20,FIELD (99.9%),ABDMG,0.000,pm+trig-plx,2MASS J17281134+0839590,https://simple-bd-archive.org/solo_result/2MASS%20J17281134%2B0839590,262.0475,8.6653,Gaia23,J1728+0839
2MASSW J1728114+394859,** BOY   10Ab,Kirk00,262.0479,39.8165,PS1,64.7479,32.3346,null,null,N+N,Y: Gizi03,N,N,NaN,N,2MASSW J1728114+394859,system_age,3.4,3.4(+2.1/-2.8),PSO J262.0480+39.8163,262.0479,39.8165,262.0481,39.8164,56150.82,Magn20,NaN,NaN,NaN,null,null,NaN,NaN,NaN,null,null,21.4918,0.0262,44,W,Cham16,19.1939,0.0095,16,C,Cham16,18.1075,0.0236,15,C,Cham16,NaN,NaN,NaN,NaN,NaN,NaN,null,2MASS J17281150+3948593,262.047919,39.816475,1998-05-12,15.988,0.076,Cutr03,14.756,0.048,Cutr03,13.909,0.048,Cutr03,000,null,17.021,0.051,Schn23b;UCS_24,15.777,0.009,Schn23b,14.810,0.070,Fahe12,13.886,0.006,Schn23b,NaN,NaN,null,NaN,NaN,null,CWISE J172811.54+394859.0,262.0479089,39.8164372,262.0481172,39.8163910,Maro21,13.065,0.011,0.930,Maro21,12.659,0.009,0.777,Maro21,11.743,0.150,0.979,Cutr13,9.664,NaN,0.942,Cutr13,0000,1,0,12.72,0.02,12.66,0.01,Patt06,36.4,0.6,Dupu17,34.8,0.7,-22,0.8,Dupu17,NaN,NaN,null,36.40,0.60,Dupu17,34.80,0.70,-22.00,0.80,41.17,0.73,122.30,1.08,Dupu17,0.1,NaN,null,NaN,NaN,NaN,NaN,NaN,NaN,null,null,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,null,null,null,35.6,3.5,-21.1,2.9,Best18,37.4,4.1,-10.8,4.5,null,null,FLD-G,UCS_xx,L7,Kirk00,L6.5,Schn14,17,16.5,17,17,27.5,0.5,15.0,40.6,6.2,39.9,6.5,31.5,5.0,33.7,4.7,NaN,NaN,27.5,0.5,dist_plx_formula,"binary: sep=0.130"" @ 27 deg on 8/12/2000 (Gizi03)",N,N,** BOY   10Ab,262.0479750,39.8164890,Burg11a,NaN,NaN,NaN,NaN,null,NaN,NaN,null,** BOY   10Ab|WDS J17282+3949Ab|[BBG2011] 2MASS J1728+3948B,Burg11a,41.60,5.60,-19.34,5.96,Magn20,FIELD (99.9%),ABDMG,0.000,pm+trig-plx,2MASS J17281150+3948593,https://simple-bd-archive.org/solo_result/2MASS%20J17281150%2B3948593,262.0482,39.8163,PS1;Dupu17,J1728+3948
